timestamp, ts, flux, flux_error, photon_index, photon_index_interval, fit_tolerance, fit_convergence, reasons_for_removal
243604801, 1.82, 6.9e-08, 5.41e-08, 4.24, 4.54, 1e-08, 102, non_zero_quality
249048001, 4.96, 9.9e-08, 5.86e-07, 7.28, 2.3, 1e-08, 1, non_zero_quality
250862401, 4.2, 8.74e-08, 5.44e-08, 3.81, 3.43, 1e-08, 102, non_zero_quality
252936001, 3.17, 8.47e-08, 5.41e-08, 4.57, 3.5, 1e-08, 102, non_zero_quality
253972801, 4.01, 7.61e-08, 4.57e-08, 4.57, 3.32, 1e-08, 102, non_zero_quality
255787201, 1.07, 5.3e-08, 7.19e-07, 7.04, 5.26, 1e-08, 102, non_zero_quality||outlier_in_relative_flux
257342401, 2.42, 6.56e-08, 6.05e-08, 3.21, 4.6, 1e-08, 102, non_zero_quality
257860801, 4.47, 8.28e-08, 6.03e-08, 3.28, 3.51, 1e-08, 102, non_zero_quality
261489601, 1.37, 6.8e-08, 6.62e-08, 4.54, 5.23, 1e-08, 102, non_zero_quality
263304001, 2.7, 6.69e-08, 4.62e-08, 4.41, 3.92, 1e-08, 102, non_zero_quality
270561601, 6.41, 1.53e-07, 8.5e-08, 3.45, 2.86, 1e-08, 102, non_zero_quality
271857601, 2.36, 5.32e-08, 5.49e-07, 7.04, 4, 1e-08, 102, non_zero_quality||outlier_in_relative_flux
273931201, 1.4, 6.97e-08, 7.66e-08, 3.45, 5.7, 1e-08, 102, non_zero_quality
281188801, 10.22, 1.36e-07, 5.5e-08, 4.61, 2.23, 1e-08, 102, non_zero_quality
282484801, 3.72, 8.69e-08, 7.36e-07, 7.23, 3.28, 1e-08, 102, non_zero_quality||outlier_in_relative_flux
283003201, 1.16, 5.56e-08, 5.73e-08, 5.06, 5.66, 1e-08, 102, non_zero_quality
285336001, 3.5, 1.44e-07, 8.91e-08, 5.81, 3.35, 1e-08, 102, non_zero_quality
286372801, 1.16, 3.62e-08, 4.02e-08, 3.21, 6.38, 1e-08, 102, non_zero_quality
290001601, 1.88, 8.89e-08, 7.13e-08, 4.01, 4.58, 1e-08, 102, non_zero_quality
291816001, 2.97, 8.56e-08, 5.85e-08, 6.2, 3.79, 1e-08, 102, non_zero_quality
298555201, 3.13, 1.21e-07, 7.59e-07, 7.35, 2.43, 1e-08, 102, non_zero_quality
