timestamp, ts, flux, flux_error, photon_index, photon_index_interval, fit_tolerance, fit_convergence, reasons_for_removal
247147201, 6.17, 1.31e-09, 5.93e-09, 0.0, 0, 1e-08, 0, spectral_index_error_too_small
248961601, 2.96, 4.74e-08, 2.88e-08, 4.81, 3.5, 1e-08, 102, non_zero_quality
253800001, 1.79, 3.5e-08, 2.66e-08, 4.22, 4.47, 1e-08, 102, non_zero_quality
261662401, 1.65, 4.31e-08, 3.56e-08, 4.5, 4.66, 1e-08, 102, non_zero_quality
273758401, 2.12, 5.52e-08, 4.02e-08, 4.88, 4.14, 1e-08, 102, non_zero_quality
281016001, 2.49, 4.43e-08, 2.36e-08, 4.97, 3.29, 1e-08, 1, non_zero_quality
293716801, 1.63, 4.94e-08, 1.19e-07, 3.2, 6.11, 1e-08, 102, non_zero_quality
294926401, 2.02, 3.57e-08, 5.34e-08, 2.94, 5.24, 1e-08, 102, non_zero_quality
299764801, 1.55, 3.3e-08, 3.67e-08, 3.19, 5.51, 1e-08, 102, non_zero_quality
305208001, 3.18, 3.71e-08, 4.01e-08, 2.95, 4.43, 1e-08, 102, non_zero_quality
308836801, 5.46, 6.67e-08, 9.34e-07, 6.17, 2.73, 1e-08, 102, non_zero_quality||outlier_in_relative_flux
312465601, 4.27, 6.9e-08, 3.79e-08, 4.26, 3.18, 1e-08, 102, non_zero_quality
323352001, 1.53, 3.21e-08, 2.85e-08, 3.31, 5.1, 1e-08, 102, non_zero_quality
348148801, 2.19, 4.79e-08, 1.26e-07, 2.99, 5.78, 1e-08, 102, non_zero_quality
351777601, 3.59, 6.77e-08, 6.14e-08, 3.08, 3.75, 1e-08, 102, non_zero_quality
360244801, 6.18, 6.63e-08, 3.79e-08, 3.29, 2.78, 1e-08, 102, non_zero_quality
363268801, 7.1, 9.28e-08, 1.29e-07, 3.06, 3.34, 1e-08, 102, non_zero_quality
365083201, 6.52, 7.14e-08, 3.26e-08, 3.51, 2.6, 1e-08, 102, non_zero_quality
374760001, 5.88, 8.29e-08, 5.42e-08, 3.43, 2.95, 1e-08, 102, non_zero_quality
378993601, 3.15, 4.25e-08, 2.72e-08, 6.24, 3.55, 1e-08, 102, non_zero_quality
383832001, 1.16, 3.77e-08, 3.65e-08, 4.45, 5.44, 1e-08, 102, non_zero_quality
388670401, 1.6, 4.08e-08, 4.33e-07, 6.94, 4.12, 1e-08, 102, non_zero_quality
391694401, 1.6, 3.65e-08, 3.36e-08, 3.29, 5.12, 1e-08, 102, non_zero_quality
392299201, 22.25, 1.24e-09, 1.24e-09, 0.0, 0, 1e-08, 0, spectral_index_error_too_small
392904001, 3.3, 5.54e-08, 3.44e-08, 5.82, 3.39, 1e-08, 102, non_zero_quality
395323201, 3.05, 6.13e-08, 5.37e-08, 3.26, 4.05, 1e-08, 102, non_zero_quality
396532801, 5.88, 5.69e-08, 3.78e-07, 7.07, 2.58, 1e-08, 102, non_zero_quality
412862401, 2.06, 3.32e-08, 7.8e-08, 2.82, 5.66, 1e-08, 102, non_zero_quality
415886401, 6.71, 1e-07, 6.52e-07, 7.28, 2.52, 1e-08, 102, non_zero_quality
417096001, 4.44, 2.04e-07, 1.24e-07, 3.84, 3.27, 1e-08, 102, non_zero_quality
429192001, 1.74, 4.72e-08, 3.99e-08, 3.48, 4.91, 1e-08, 102, non_zero_quality
435240001, 5.02, 2e-07, 1.11e-06, 7.54, 2.14, 1e-08, 102, non_zero_quality
450360001, 5.66, 9.46e-08, 1.16e-07, 3.21, 3.31, 1e-08, 102, non_zero_quality
461851201, 1.75, 4.6e-08, 1.04e-06, 5.05, 4.47, 1e-08, 102, non_zero_quality||outlier_in_relative_flux
463665601, 3.53, 7.55e-08, 3.48e-07, 7.17, 1.79, 1e-08, 102, non_zero_quality
477576001, 1.85, 6.68e-08, 5.3e-08, 4.79, 4.35, 1e-08, 102, non_zero_quality
493300801, 7.3, 6.96e-08, 4.04e-08, 3.5, 2.71, 1e-08, 102, non_zero_quality
497534401, 3.86, 5.63e-08, 3.18e-08, 4.41, 3.32, 1e-08, 102, non_zero_quality
504187201, 2.54, 4.75e-08, 6.14e-08, 3.23, 4.48, 1e-08, 102, non_zero_quality
509630401, 1.14, 4.29e-08, 8.22e-08, 3.08, 6.62, 1e-08, 102, non_zero_quality
510840001, 1.0, NaN, NaN, NaN, NaN, 1e-08, 102, missing_flux||missing_flux_error||non_zero_quality
523540801, 4.36, 8.35e-08, 5.89e-07, 7.21, 2.74, 1e-08, 102, non_zero_quality
524145601, 3.5, 6.31e-08, 3.77e-08, 6.25, 3.34, 1e-08, 102, non_zero_quality
528984001, 4.04, 6.3e-08, 3.54e-08, 5.1, 3.12, 1e-08, 102, non_zero_quality
529588801, 1.21, 2.24e-08, 3.23e-08, 3.08, 6.62, 1e-08, 102, non_zero_quality
559224001, 5.86, 8.18e-08, 4.01e-08, 3.54, 2.7, 1e-08, 102, non_zero_quality
564062401, 5.16, 1.09e-07, 5.52e-08, 4.0, 2.84, 1e-08, 102, non_zero_quality
567691201, 2.52, 4.35e-08, 3.07e-08, 3.53, 3.94, 1e-08, 102, non_zero_quality
573739201, 5.97, 1.31e-07, 8.4e-08, 3.21, 2.84, 1e-08, 102, non_zero_quality
574948801, 4.98, 7.94e-08, 3.95e-08, 6.46, 2.73, 1e-08, 102, non_zero_quality
576158401, 7.04, 1.02e-07, 4.72e-08, 3.82, 2.53, 1e-08, 102, non_zero_quality
577368001, 1.17, 6.29e-08, 1.69e-06, 3.88, 5.57, 1e-08, 102, non_zero_quality||outlier_in_relative_flux
580996801, 6.16, 6.42e-08, 4.16e-08, 3.52, 2.84, 1e-08, 102, non_zero_quality
596116801, 5.92, 1.01e-07, 5.1e-08, 4.05, 2.87, 1e-08, 102, non_zero_quality
596721601, 2.59, 6.52e-08, 5.84e-07, 7.12, 3.48, 1e-08, 102, non_zero_quality
599140801, 2.68, 3.53e-08, 3.63e-08, 2.9, 4.45, 1e-08, 102, non_zero_quality
602164801, 2.83, 5.74e-08, 3.6e-08, 4.17, 3.71, 1e-08, 102, non_zero_quality
603374401, 1.35, 5.75e-08, 5.26e-08, 4.21, 5.16, 1e-08, 102, non_zero_quality
608817601, 3.92, 7.02e-08, 1.33e-07, 3.03, 4.19, 1e-08, 102, non_zero_quality
611236801, 6.03, 6.73e-08, 3.89e-08, 3.23, 2.99, 1e-08, 102, non_zero_quality
637848001, 2.03, 6.98e-08, 5.31e-08, 3.8, 4.31, 1e-08, 102, non_zero_quality
644500801, 13.61, 9.2e-10, 9.19e-10, 0.0, 0, 1e-08, 0, spectral_index_error_too_small
645710401, 1.42, 3.74e-08, 3.95e-07, 6.91, 4.1, 1e-08, 102, non_zero_quality
649339201, 4.37, 1.05e-07, 6.92e-08, 3.44, 3.26, 1e-08, 102, non_zero_quality
651758401, 3.19, 7.01e-08, 6.09e-08, 3.39, 3.9, 1e-08, 102, non_zero_quality
660830401, 2.69, 6.34e-08, 5.67e-07, 7.11, 3.47, 1e-08, 102, non_zero_quality
662644801, 4.74, 5.46e-08, 2.7e-08, 4.87, 2.83, 1e-08, 102, non_zero_quality
665668801, 1.95, 5.87e-08, 5.14e-08, 3.61, 4.53, 1e-08, 102, non_zero_quality
666273601, 1.2, 3.39e-08, 4.84e-08, 3.34, 6.33, 1e-08, 102, non_zero_quality
