timestamp, ts, flux, flux_error, photon_index, photon_index_interval, fit_tolerance, fit_convergence
239976001, 1.53, 5e-08, 4.27e-08, 4.46, 5.48, 1e-08, 102
240494401, 2.66, 5.83e-08, 4.58e-08, 2.6, 0.69, 1e-08, 0
240753601, 3.54, 1.21e-08, 2.12e-08, 1.9, 0.92, 1e-08, 0
241012801, 4.85, 8.74e-08, 5.15e-08, 2.94, 0.65, 1e-08, 0
241272001, 1.42, 4.84e-08, 6.84e-08, 3.68, 6.37, 1e-08, 102
242308801, 3.18, 8.32e-08, 5.76e-08, 3.27, 1.07, 1e-08, 0
243086401, 1.07, 4.99e-08, 5.02e-08, 5.87, 6.31, 1e-08, 102
243604801, 1.59, 2.23e-08, 2.69e-08, 2.04, 0.6, 1e-08, 0
243864001, 1.19, 1.13e-08, 2.29e-08, 2.19, 1.16, 1e-08, 0
244123201, 3.59, 6.69e-08, 4.39e-08, 2.92, 0.93, 1e-08, 0
244382401, 10.14, 7.23e-08, 4.29e-08, 2.33, 0.43, 1e-08, 0
244900801, 2.82, 7.05e-08, 5.16e-08, 3.62, 0.93, 1e-08, 0
245419201, 6.89, 4.19e-09, 5.35e-09, 1.24, 0.61, 1e-08, 0
245678401, 2.36, 7.96e-08, 7.57e-07, 7.76, 3.97, 1e-08, 102
245937601, 9.01, 5.97e-08, 4.04e-08, 2.2, 0.43, 1e-08, 0
246196801, 38.71, 1.3e-07, 4.89e-08, 2.05, 0.25, 1e-08, 0
246456001, 4.86, 3.58e-08, 3.23e-08, 1.96, 0.5, 1e-08, 0
246715201, 3.21, 9.34e-09, 1.1e-08, 1.52, 0.6, 1e-08, 0
246974401, 3.47, 7.58e-08, 5.4e-08, 2.66, 0.63, 1e-08, 0
247233601, 4.64, 4.49e-08, 3.45e-08, 2.05, 0.46, 1e-08, 0
249825601, 2.44, 3.5e-08, 3.47e-08, 2.45, 0.75, 1e-08, 0
250084801, 1.4, 3.84e-08, 4.43e-08, 2.84, 1.07, 1e-08, 0
250862401, 38.05, 1.24e-07, 5.19e-08, 2.09, 0.27, 1e-08, 0
251640001, 2.9, 1.03e-07, 7.19e-08, 5.42, 4.05, 1e-08, 102
251899201, 1.09, 1.45e-08, 2.05e-08, 1.84, 0.71, 1e-08, 0
252417601, 1.83, 5.17e-08, 7.03e-08, 2.83, 1.58, 1e-08, 0
252936001, 7.11, 9.02e-09, 1.26e-08, 1.58, 0.64, 1e-08, 0
253195201, 3.01, 1.75e-08, 2.53e-08, 2.02, 0.91, 1e-08, 0
253454401, 11.03, 7.31e-08, 4.08e-08, 2.26, 0.41, 1e-08, 0
253713601, 1.7, 3.73e-08, 3.7e-08, 2.61, 0.78, 1e-08, 0
253972801, 4.42, 9.87e-08, 5.63e-08, 3.55, 0.83, 1e-08, 0
254232001, 3.89, 6.42e-08, 4.2e-08, 2.55, 0.58, 1e-08, 0
254491201, 5.7, 4.82e-08, 3.68e-08, 1.98, 0.44, 1e-08, 0
255009601, 2.23, 6.96e-08, 5.44e-08, 2.81, 0.74, 1e-08, 0
255787201, 16.71, 5.68e-08, 3.31e-08, 1.82, 0.32, 1e-08, 0
256046401, 1.81, 3.94e-08, 4.08e-08, 2.3, 0.74, 1e-08, 0
256564801, 1.83, 4.01e-08, 4.34e-08, 2.2, 0.68, 1e-08, 0
256824001, 10.27, 3.15e-08, 2.31e-08, 1.72, 0.38, 1e-08, 0
257342401, 1.34, 4.92e-08, 5.49e-08, 3.34, 6.49, 1e-08, 102
257860801, 3.36, 7.63e-08, 8.27e-08, 3.25, 4.43, 1e-08, 102
258897601, 1.92, 4.82e-08, 4.81e-08, 2.47, 0.95, 1e-08, 0
259156801, 2.58, 8.37e-08, 5.61e-08, 5.92, 4.06, 1e-08, 102
259934401, 49.95, 3.91e-07, 8.45e-08, 2.32, 0.19, 1e-08, 0
260193601, 3.08, 1.06e-07, 7.2e-08, 3.01, 0.85, 1e-08, 0
261489601, 1.3, 4.74e-08, 5.16e-08, 2.97, 1.68, 1e-08, 0
261748801, 2.03, 7.6e-08, 6.9e-08, 3.46, 5.08, 1e-08, 102
262785601, 2.42, 6.03e-08, 6.37e-08, 3.53, 5.07, 1e-08, 102
263563201, 1.09, 4.41e-08, 4.85e-08, 2.86, 0.98, 1e-08, 0
263822401, 5.06, 7.71e-08, 5.1e-08, 2.47, 0.62, 1e-08, 0
264081601, 1.57, 9.84e-09, 1.66e-08, 1.97, 0.94, 1e-08, 0
264600001, 2.09, 5.1e-08, 5.1e-08, 2.64, 0.68, 1e-08, 0
264859201, 3.17, 9.17e-08, 5.84e-08, 4.82, 3.92, 1e-08, 102
266414401, 2.0, 6.98e-08, 5.6e-08, 5.56, 4.61, 1e-08, 102
266673601, 2.89, 3.43e-08, 3.49e-08, 2.23, 0.65, 1e-08, 0
266932801, 10.66, 7.87e-08, 5.91e-08, 2.42, 0.5, 1e-08, 0
267451201, 5.3, 4.46e-09, 6.23e-09, 1.32, 0.67, 1e-08, 0
267710401, 3.83, 5.88e-08, 3.97e-08, 2.65, 0.6, 1e-08, 0
267969601, 3.1, 7.99e-08, 5.43e-08, 6.04, 3.85, 1e-08, 102
268488001, 1.85, 5.97e-08, 5.03e-08, 3.72, 5.1, 1e-08, 102
269265601, 7.77, 3.14e-08, 3.32e-08, 1.98, 0.61, 1e-08, 0
269524801, 3.39, 5.99e-08, 4.79e-08, 2.5, 0.62, 1e-08, 0
269784001, 11.81, 1.56e-07, 7.41e-08, 3.01, 0.57, 1e-08, 0
270820801, 1.24, 2.35e-08, 3.04e-08, 2.23, 0.73, 1e-08, 0
271080001, 3.49, 4.61e-08, 4.11e-08, 2.36, 0.61, 1e-08, 0
271857601, 1.85, 5.72e-08, 4.98e-08, 7.62, 0.36, 1e-08, 0
273153601, 4.21, 5.96e-08, 4.74e-08, 2.38, 0.54, 1e-08, 0
274449601, 1.04, 3.43e-08, 4.66e-08, 2.16, 0.68, 1e-08, 0
274708801, 12.26, 2.14e-08, 2.23e-08, 1.48, 0.52, 1e-08, 0
275745601, 2.89, 5.75e-08, 6.44e-08, 2.38, 0.8, 1e-08, 0
276264001, 6.7, 1.83e-07, 8.8e-08, 4.64, 2.85, 1e-08, 102
279374401, 1.14, 5.66e-08, 6.24e-08, 3.98, 6.46, 1e-08, 102
279633601, 3.82, 1.08e-07, 6.9e-08, 4.18, 3.89, 1e-08, 102
279892801, 2.92, 1.09e-07, 1.01e-06, 7.89, 3.87, 1e-08, 102
280929601, 4.38, 6.57e-08, 4.85e-08, 2.15, 0.48, 1e-08, 0
282225601, 1.74, 7.85e-08, 6.42e-08, 4.94, 4.96, 1e-08, 102
283003201, 2.16, 7.97e-08, 8.72e-07, 7.76, 4.56, 1e-08, 102
283262401, 4.23, 8.19e-08, 6.02e-08, 2.51, 0.59, 1e-08, 0
283521601, 4.24, 1.3e-07, 8.32e-08, 3.31, 3.76, 1e-08, 102
284040001, 6.3, 9.2e-08, 7.41e-08, 2.7, 0.88, 1e-08, 0
284817601, 5.55, 1.42e-07, 7.4e-08, 4.78, 3.15, 1e-08, 102
285595201, 4.44, 8.31e-08, 5.48e-08, 2.61, 0.56, 1e-08, 0
288446401, 1.64, 8.33e-08, 7.45e-08, 5.97, 5.13, 1e-08, 102
289483201, 4.3, 1.57e-07, 9.51e-08, 3.65, 3.5, 1e-08, 102
289742401, 4.59, 1.28e-07, 7.51e-08, 3.3, 0.95, 1e-08, 0
291297601, 6.14, 1.66e-07, 8.31e-08, 3.21, 0.69, 1e-08, 0
291556801, 9.22, 2e-07, 9e-08, 4.32, 2.51, 1e-08, 102
292075201, 4.2, 1.02e-07, 8.55e-07, 7.86, 3.51, 1e-08, 102
293371201, 6.17, 4.51e-09, 4.85e-09, 0.72, 0.71, 1e-08, 0
295704001, 1.0, NaN, NaN, NaN, NaN, 1e-08, 102
299073601, 1.7, 6.8e-08, 6.89e-08, 2.71, 0.99, 1e-08, 0
300110401, 1.12, 1.44e-08, 1.97e-08, 1.62, 0.64, 1e-08, 0
301147201, 1.26, 1.09e-08, 2.21e-08, 1.75, 0.95, 1e-08, 0
301924801, 1.14, 6.21e-08, 6.19e-08, 4.23, 6.35, 1e-08, 102
302443201, 4.7, 1.76e-08, 1.77e-08, 1.61, 0.49, 1e-08, 0
303480001, 1.16, 2.68e-08, 6.52e-08, 2.05, 1.35, 1e-08, 0
305553601, 2.63, 9.84e-08, 6.78e-08, 6.82, 4.18, 1e-08, 102
306331201, 1.66, 7.66e-08, 9.24e-08, 3.28, 8.4, 1e-08, 0
