timestamp, ts, flux_upper_limits, fit_tolerance, fit_convergence
239889601, 0.64, 4.55e-08, 1e-08, 0
241704001, 0.0, 3.94e-08, 1e-08, 0
242308801, 0.0, 2.87e-08, 1e-08, 0
242913601, 0.07, 3.78e-08, 1e-08, 0
243518401, 0.1, 5.1e-08, 1e-08, 0
244728001, 0.0, 5.77e-08, 1e-08, 0
246542401, 0.0, 3.49e-08, 1e-08, 0
247752001, 0.02, 5.6e-08, 1e-08, 0
248356801, 0.44, 5.07e-08, 1e-08, 0
248961601, 0.24, 5.47e-08, 1e-08, 0
251985601, 0.0, 5.12e-08, 1e-08, 0
252590401, 0.0, 4.97e-08, 1e-08, 0
253195201, 0.03, 5.2e-08, 1e-08, 0
253800001, 0.48, 6.53e-08, 1e-08, 0
255614401, 0.0, 4.08e-08, 1e-08, 0
256219201, 0.3, 5.32e-08, 1e-08, 0
256824001, 0.0, 3.92e-08, 1e-08, 0
257428801, 0.72, 6.61e-08, 1e-08, 0
258638401, 0.0, 7.51e-08, 1e-08, 0
259848001, 0.76, 5.49e-08, 1e-08, 0
260452801, 0.2, 5.66e-08, 1e-08, 0
261057601, 0.33, 5.32e-08, 1e-08, 0
261662401, 0.0, 4.17e-08, 1e-08, 0
262872001, 0.0, 4.18e-08, 1e-08, 0
263476801, 0.0, 4.11e-08, 1e-08, 0
264081601, 0.0, 2.92e-08, 1e-08, 0
264686401, 0.97, 7.06e-08, 1e-08, 0
265291201, 0.0, 3.95e-08, 1e-08, 0
265896001, 0.33, 5.68e-08, 1e-08, 0
267105601, 0.0, 3.25e-08, 1e-08, 0
268315201, 0.16, 5.91e-08, 1e-08, 0
269524801, 0.0, 2.45e-08, 1e-08, 0
270734401, 0.0, 4.37e-08, 1e-08, 0
273153601, 0.0, 2.91e-08, 1e-08, 0
273758401, 0.0, 3.03e-08, 1e-08, 0
274363201, 0.0, 2.81e-08, 1e-08, 0
274968001, 0.0, 4.32e-08, 1e-08, 0
275572801, 0.0, 3.19e-08, 1e-08, 0
277387201, 0.38, 4.53e-08, 1e-08, 0
