timestamp, ts, flux, flux_error, photon_index, photon_index_interval, fit_tolerance, fit_convergence
243475201, 20.23, 2.21e-08, 7.1e-09, 2.12, 0, 1e-08, 0
246067201, 4.66, 9.16e-09, 5.63e-09, 2.12, 0, 1e-08, 0
251251201, 2.36, 5.39e-09, 4.63e-09, 2.12, 0, 1e-08, 0
253843201, 1.39, 4.03e-09, 4.22e-09, 2.12, 0, 1e-08, 0
259027201, 45.59, 2.93e-08, 7.6e-09, 2.12, 0, 1e-08, 0
261619201, 44.34, 3.22e-08, 8.2e-09, 2.12, 0, 1e-08, 0
264211201, 37.22, 2.68e-08, 7.2e-09, 2.12, 0, 1e-08, 0
266803201, 12.01, 1.5e-08, 6e-09, 2.12, 0, 1e-08, 0
269395201, 4.92, 1.1e-08, 6.12e-09, 2.12, 0, 1e-08, 0
271987201, 2.1, 5.9e-09, 4.92e-09, 2.12, 0, 1e-08, 0
277171201, 3.09, 6.47e-09, 4.44e-09, 2.12, 0, 1e-08, 0
279763201, 40.08, 2.13e-08, 6.3e-09, 2.12, 0, 1e-08, 0
282355201, 1.07, 2.86e-09, 3.5e-09, 2.12, 0, 1e-08, 0
284947201, 4.88, 5.63e-09, 3.88e-09, 2.12, 0, 1e-08, 0
290131201, 3.37, 3.93e-09, 3.05e-09, 2.12, 0, 1e-08, 0
292723201, 20.33, 2.5e-08, 8.1e-09, 2.12, 0, 1e-08, 0
295315201, 407.84, 1.24e-07, 1.1e-08, 2.12, 0, 1e-08, 0
297907201, 94.13, 5.69e-08, 9.7e-09, 2.12, 0, 1e-08, 0
300499201, 17.13, 1.41e-08, 5.21e-09, 2.12, 0, 1e-08, 0
303091201, 84.13, 4.55e-08, 8.4e-09, 2.12, 0, 1e-08, 0
308275201, 66.32, 3.59e-08, 7.6e-09, 2.12, 0, 1e-08, 0
310867201, 20.2, 1.66e-08, 6e-09, 2.12, 0, 1e-08, 0
326419201, 2.55, 6.41e-09, 4.89e-09, 2.12, 0, 1e-08, 0
339379201, 1.93, 3.27e-09, 3.49e-09, 2.12, 0, 1e-08, 0
344563201, 4.32, 7.79e-09, 4.89e-09, 2.12, 0, 1e-08, 0
352339201, 1.33, 5.11e-09, 5.11e-09, 2.12, 0, 1e-08, 0
380851201, 2.28, 5.95e-09, 4.97e-09, 2.12, 0, 1e-08, 0
419731201, 2.42, 6.83e-09, 5.55e-09, 2.12, 0, 1e-08, 0
461203201, 3.9, 4.58e-09, 3.29e-09, 2.12, 0, 1e-08, 0
468979201, 1.39, 2.36e-09, 2.58e-09, 2.12, 0, 1e-08, 0
471571201, 3.27, 4.65e-09, 3.65e-09, 2.12, 0, 1e-08, 0
492307201, 1.89, 3.26e-09, 3.02e-09, 2.12, 0, 1e-08, 0
497491201, 3.68, 4.88e-09, 3.92e-09, 2.12, 0, 1e-08, 0
526003201, 12.45, 1.13e-08, 5.29e-09, 2.12, 0, 1e-08, 0
538963201, 7.63, 7.81e-09, 4.38e-09, 2.12, 0, 1e-08, 0
541555201, 3.55, 8.24e-09, 5.47e-09, 2.12, 0, 1e-08, 0
544147201, 1.87, 2.55e-09, 3e-09, 2.12, 0, 1e-08, 0
549331201, 2.59, 3.52e-09, 2.94e-09, 2.12, 0, 1e-08, 0
562291201, 2.65, 4.08e-09, 3.22e-09, 2.12, 0, 1e-08, 0
567475201, 4.84, 9.59e-09, 5.7e-09, 2.12, 0, 1e-08, 0
572659201, 1.63, 3.94e-09, 4e-09, 2.12, 0, 1e-08, 0
575251201, 4.62, 4.26e-09, 2.91e-09, 2.12, 0, 1e-08, 0
580435201, 3.63, 4.75e-09, 3.6e-09, 2.12, 0, 1e-08, 0
583027201, 24.61, 1.72e-08, 5.5e-09, 2.12, 0, 1e-08, 0
585619201, 3.44, 1.02e-08, 6.5e-09, 2.12, 0, 1e-08, 0
611539201, 8.19, 8.12e-09, 4.19e-09, 2.12, 0, 1e-08, 0
627091201, 3.13, 5.06e-09, 3.67e-09, 2.12, 0, 1e-08, 0
629683201, 2.05, 3.05e-09, 2.98e-09, 2.12, 0, 1e-08, 0
689299201, 1.97, 3.59e-09, 3.21e-09, 2.12, 0, 1e-08, 0
722995201, 2.77, 4.67e-09, 3.57e-09, 2.12, 0, 1e-08, 0
730771201, 3.7, 6.44e-09, 4.64e-09, 2.12, 0, 1e-08, 0
