timestamp, ts, flux, flux_error, photon_index, photon_index_interval, fit_tolerance, fit_convergence
240883201, 285.73, 1.19e-07, 1.5e-08, 2.29, 0.1, 1e-08, 0
243475201, 115.43, 7.7e-08, 1.4e-08, 2.26, 0.14, 1e-08, 0
246067201, 20.65, 2.52e-08, 1.23e-08, 2.25, 0.33, 1e-08, 0
248659201, 6.31, 1.49e-08, 1.14e-08, 2.63, 0.61, 1e-08, 0
251251201, 21.33, 1.51e-08, 8.81e-09, 2.04, 0.35, 1e-08, 0
253843201, 97.12, 5.57e-08, 1.13e-08, 2.33, 0.16, 1e-08, 0
256435201, 90.16, 1.02e-07, 2.03e-08, 2.63, 0.18, 1e-08, 0
259027201, 17.99, 2.68e-08, 1.33e-08, 2.22, 0.32, 1e-08, 0
261619201, 53.84, 4.7e-08, 1.24e-08, 2.29, 0.19, 1e-08, 0
264211201, 24.05, 2.56e-08, 1.02e-08, 2.21, 0.27, 1e-08, 0
266803201, 44.31, 2.78e-08, 8.95e-09, 2.09, 0.21, 1e-08, 0
269395201, 8.74, 1.47e-08, 1.08e-08, 2.27, 0.46, 1e-08, 0
271987201, 88.29, 6.88e-08, 1.28e-08, 2.43, 0.16, 1e-08, 0
274579201, 59.34, 5.55e-08, 1.52e-08, 2.14, 0.2, 1e-08, 0
277171201, 610.4, 1.96e-07, 1.7e-08, 2.29, 0.08, 1e-08, 0
279763201, 104.48, 9.55e-08, 1.85e-08, 2.38, 0.16, 1e-08, 0
282355201, 160.41, 9.47e-08, 1.45e-08, 2.36, 0.13, 1e-08, 0
284947201, 138.24, 5.44e-08, 1.22e-08, 1.99, 0.15, 1e-08, 0
287539201, 19.39, 1.52e-08, 9.12e-09, 1.92, 0.33, 1e-08, 0
292723201, 8.74, 3.42e-08, 1.65e-08, 2.66, 0.44, 1e-08, 0
295315201, 20.46, 4.36e-08, 1.45e-08, 2.95, 0.45, 1e-08, 0
297907201, 132.56, 7.53e-08, 1.58e-08, 2.03, 0.15, 1e-08, 0
300499201, 131.19, 6.27e-08, 1.27e-08, 2.22, 0.15, 1e-08, 0
303091201, 194.53, 9.84e-08, 1.67e-08, 2.19, 0.13, 1e-08, 0
305683201, 41.01, 4.15e-08, 1.38e-08, 2.31, 0.24, 1e-08, 0
308275201, 29.52, 5.13e-08, 1.53e-08, 2.57, 0.25, 1e-08, 0
310867201, 37.92, 3.71e-08, 1.49e-08, 2.06, 0.26, 1e-08, 0
313459201, 38.37, 4.21e-08, 1.19e-08, 2.52, 0.24, 1e-08, 0
318643201, 35.01, 3.81e-08, 1.22e-08, 2.52, 0.25, 1e-08, 0
321235201, 137.28, 6.57e-08, 1.56e-08, 1.94, 0.15, 1e-08, 0
323827201, 61.63, 5.35e-08, 1.42e-08, 2.18, 0.19, 1e-08, 0
326419201, 31.77, 4.78e-08, 1.59e-08, 2.49, 0.25, 1e-08, 0
329011201, 86.7, 7.47e-08, 1.67e-08, 2.4, 0.19, 1e-08, 0
331603201, 49.33, 3.54e-08, 1.12e-08, 2.24, 0.22, 1e-08, 0
334195201, 13.9, 2.37e-08, 1.39e-08, 2.24, 0.38, 1e-08, 0
336787201, 8.94, 9.54e-09, 6.87e-09, 1.93, 0.41, 1e-08, 0
339379201, 10.57, 2.06e-08, 1.32e-08, 2.26, 0.44, 1e-08, 0
341971201, 4.22, 1.25e-08, 8.49e-09, 2.37, 0.49, 1e-08, 0
349747201, 32.98, 4.78e-08, 1.43e-08, 2.43, 0.24, 1e-08, 0
354931201, 12.42, 1.1e-08, 1.19e-08, 2.04, 0.63, 1e-08, 0
357523201, 50.22, 7.57e-08, 1.94e-08, 2.53, 0.21, 1e-08, 0
360115201, 112.53, 7.93e-08, 1.44e-08, 2.39, 0.15, 1e-08, 0
362707201, 26.51, 5.01e-08, 1.62e-08, 2.42, 0.25, 1e-08, 0
365299201, 73.7, 3.36e-08, 1.19e-08, 1.91, 0.22, 1e-08, 0
367891201, 230.27, 1.43e-07, 1.9e-08, 2.31, 0.11, 1e-08, 0
370483201, 336.55, 1.71e-07, 2.1e-08, 2.07, 0.09, 1e-08, 0
373075201, 62.12, 2.73e-08, 1e-08, 1.86, 0.21, 1e-08, 0
375667201, 99.74, 7.75e-08, 1.87e-08, 2.17, 0.18, 1e-08, 0
378259201, 64.74, 6.28e-08, 1.36e-08, 2.48, 0.18, 1e-08, 0
380851201, 47.6, 6.08e-08, 1.82e-08, 2.27, 0.22, 1e-08, 0
383443201, 25.11, 4.25e-08, 1.37e-08, 2.56, 0.27, 1e-08, 0
386035201, 8.26, 2.6e-08, 1.37e-08, 2.41, 0.41, 1e-08, 0
388627201, 57.01, 7.49e-08, 1.88e-08, 2.42, 0.23, 1e-08, 0
391219201, 4.83, 1.71e-08, 1.38e-08, 2.45, 0.58, 1e-08, 0
393811201, 4.75, 1.59e-08, 1.65e-08, 2.2, 0.71, 1e-08, 0
401587201, 9.75, 2.56e-08, 1.21e-08, 2.59, 0.4, 1e-08, 0
404179201, 2.89, 3.12e-08, 5.93e-08, 3.12, 5.58, 1e-08, 102
406771201, 77.09, 8.48e-08, 1.64e-08, 2.54, 0.18, 1e-08, 0
409363201, 117.02, 8.83e-08, 2.06e-08, 2.28, 0.18, 1e-08, 0
411955201, 2.21, 2.06e-08, 1.89e-08, 2.97, 1.04, 1e-08, 0
414547201, 1.46, 1.34e-08, 1.36e-08, 3.18, 0.94, 1e-08, 0
417139201, 3.08, 3.61e-09, 6.79e-09, 1.68, 0.97, 1e-08, 0
422323201, 31.69, 3.86e-08, 1.38e-08, 2.44, 0.27, 1e-08, 0
424915201, 10.51, 1.92e-08, 1.2e-08, 2.45, 0.53, 1e-08, 0
427507201, 23.0, 3.17e-08, 1.5e-08, 2.23, 0.31, 1e-08, 0
430099201, 38.14, 8.59e-08, 2.29e-08, 2.75, 0.28, 1e-08, 0
432691201, 65.2, 7.74e-08, 1.82e-08, 2.52, 0.21, 1e-08, 0
435283201, 37.13, 6.79e-08, 2.24e-08, 2.24, 0.25, 1e-08, 0
437875201, 372.7, 1.61e-07, 1.8e-08, 2.23, 0.09, 1e-08, 0
440467201, 267.78, 1.38e-07, 2e-08, 2.13, 0.11, 1e-08, 0
443059201, 256.11, 1.16e-07, 1.5e-08, 2.24, 0.1, 1e-08, 0
445651201, 62.44, 4.2e-08, 1.38e-08, 2.1, 0.2, 1e-08, 0
448243201, 24.18, 3.24e-08, 1.41e-08, 2.23, 0.32, 1e-08, 0
450835201, 38.42, 4.2e-08, 1.48e-08, 2.26, 0.27, 1e-08, 0
453427201, 48.81, 3.15e-08, 1.06e-08, 1.87, 0.21, 1e-08, 0
456019201, 36.75, 2.29e-08, 8.9e-09, 1.92, 0.24, 1e-08, 0
458611201, 50.43, 2.58e-08, 9.9e-09, 1.92, 0.23, 1e-08, 0
461203201, 24.34, 2.29e-08, 1e-08, 2.27, 0.3, 1e-08, 0
463795201, 21.71, 2.84e-08, 1.28e-08, 2.15, 0.29, 1e-08, 0
466387201, 24.15, 3.97e-08, 1.41e-08, 2.63, 0.29, 1e-08, 0
468979201, 4.6, 2e-08, 1.43e-08, 2.75, 0.98, 1e-08, 0
471571201, 25.25, 3.73e-08, 1.51e-08, 2.29, 0.27, 1e-08, 0
474163201, 133.82, 9.15e-08, 1.54e-08, 2.51, 0.16, 1e-08, 0
476755201, 22.58, 4.42e-08, 1.76e-08, 2.61, 0.32, 1e-08, 0
479347201, 99.3, 2.45e-08, 8.85e-09, 1.77, 0.21, 1e-08, 0
481939201, 74.02, 5.76e-08, 1.41e-08, 2.12, 0.17, 1e-08, 0
484531201, 66.02, 5.71e-08, 1.47e-08, 2.35, 0.2, 1e-08, 0
487123201, 24.13, 3.66e-08, 1.45e-08, 2.57, 0.32, 1e-08, 0
489715201, 34.16, 4.12e-08, 1.54e-08, 2.41, 0.28, 1e-08, 0
492307201, 127.47, 3.49e-08, 8.7e-09, 1.95, 0.16, 1e-08, 0
494899201, 60.67, 3.44e-08, 1.42e-08, 1.98, 0.25, 1e-08, 0
497491201, 31.76, 7.57e-08, 2.08e-08, 3.28, 0.76, 1e-08, 0
500083201, 9.92, 1.58e-08, 9.62e-09, 2.02, 0.39, 1e-08, 0
502675201, 36.18, 1.85e-08, 7.1e-09, 1.99, 0.26, 1e-08, 0
505267201, 21.09, 1.81e-08, 1.07e-08, 2.29, 0.39, 1e-08, 0
