timestamp, ts, flux_upper_limits, fit_tolerance, fit_convergence
241012801, 0.0, 8.27e-08, 1e-08, 102
241790401, 0.0, 9.11e-08, 1e-08, 102
242049601, 0.82, 1.85e-07, 1e-08, 0
242308801, 0.0, 1.13e-07, 1e-08, 0
243345601, 0.64, 1.26e-07, 1e-08, 0
243864001, 0.0, 9.71e-08, 1e-08, 102
244123201, 0.0, 5.92e-08, 1e-08, 102
244382401, 0.04, 9.78e-08, 1e-08, 0
244641601, 0.0, 8.82e-08, 1e-08, 0
244900801, 0.35, 1.07e-07, 1e-08, 0
245160001, 0.0, 8.21e-08, 1e-08, 102
245419201, 0.0, 9.58e-08, 1e-08, 102
245678401, 0.24, 8.65e-08, 1e-08, 0
245937601, 0.0, 1.1e-07, 1e-08, 102
246196801, 0.0, 9.8e-08, 1e-08, 102
246456001, 0.0, 8.45e-08, 1e-08, 102
247233601, 0.0, 1.05e-07, 1e-08, 102
247752001, 0.0, 7.15e-08, 1e-08, 102
248011201, 0.0, 8.55e-08, 1e-08, 102
248270401, 0.0, 8.75e-08, 1e-08, 0
248529601, 0.0, 7.92e-08, 1e-08, 102
249307201, 0.0, 8.93e-08, 1e-08, 102
249566401, 0.74, 8.78e-08, 1e-08, 0
249825601, 0.0, 8.08e-08, 1e-08, 102
250084801, 0.96, 1.08e-07, 1e-08, 102
250862401, 0.0, 7.78e-08, 1e-08, 0
251121601, 0.01, 1.07e-07, 1e-08, 0
251640001, 0.0, 8.64e-08, 1e-08, 0
252417601, 0.0, 9.91e-08, 1e-08, 102
252676801, 0.0, 8.75e-08, 1e-08, 102
253195201, 0.46, 1.03e-07, 1e-08, 0
253713601, 0.1, 9.16e-08, 1e-08, 1
254491201, 0.0, 5.52e-08, 1e-08, 102
254750401, 0.0, 6.47e-08, 1e-08, 102
255009601, 0.31, 1.37e-07, 1e-08, 0
255787201, 0.0, 1.43e-07, 1e-08, 102
256046401, 0.0, 1.23e-07, 1e-08, 102
256305601, 0.0, 9.11e-08, 1e-08, 102
256564801, 0.06, 1.23e-07, 1e-08, 102
256824001, 0.0, 6.16e-08, 1e-08, 102
257083201, 0.05, 1.21e-07, 1e-08, 0
257601601, 0.46, 1.22e-07, 1e-08, 102
257860801, 0.81, 1.27e-07, 1e-08, 0
