timestamp, ts, flux_upper_limits, fit_tolerance, fit_convergence
242308801, 0.86, 7.61e-08, 1e-08, 0
264686401, 0.0, 5.09e-08, 1e-08, 0
268920001, 0.09, 5.44e-08, 1e-08, 0
273153601, 0.06, 4.11e-08, 1e-08, 0
380808001, 0.32, 4.3e-08, 1e-08, 0
438868801, 0.11, 6.53e-08, 1e-08, 0
462456001, 0.78, 5.36e-08, 1e-08, 0
464875201, 0.08, 5.94e-08, 1e-08, 0
466689601, 0.91, 5.87e-08, 1e-08, 0
468504001, 0.0, 4.82e-08, 1e-08, 0
478785601, 0.81, 7.48e-08, 1e-08, 0
479995201, 0.41, 5.11e-08, 1e-08, 0
483019201, 0.23, 7.13e-08, 1e-08, 0
485438401, 0.0, 2.67e-08, 1e-08, 0
486648001, 0.14, 5.38e-08, 1e-08, 0
487857601, 0.48, 7.15e-08, 1e-08, 0
489067201, 0.67, 5.51e-08, 1e-08, 0
489672001, 0.0, 3.94e-08, 1e-08, 0
499348801, 0.77, 7.98e-08, 1e-08, 0
545918401, 0.0, -1.0, 1e-08, 101
563457601, 0.0, -1.0, 1e-08, 101
594907201, 0.0, -1.0, 1e-08, 101
595512001, 0.0, -1.0, 1e-08, 101
597326401, 0.0, 5.03e-08, 1e-08, 0
597931201, 0.11, 4.94e-08, 1e-08, 0
600350401, 0.68, 6.92e-08, 1e-08, 0
607003201, 0.21, 8.03e-08, 1e-08, 0
607608001, 0.41, 6.55e-08, 1e-08, 0
608817601, 0.0, 7.04e-08, 1e-08, 0
609422401, 0.36, 2.05e-07, 1e-08, 0
613656001, 0.31, 7.04e-08, 1e-08, 0
623937601, 0.0, 4.75e-08, 1e-08, 0
624542401, 0.47, 5.68e-08, 1e-08, 0
625147201, 0.0, 4.25e-08, 1e-08, 0
625752001, 0.0, 4.78e-08, 1e-08, 0
626356801, 0.04, 4.6e-08, 1e-08, 0
626961601, 0.0, 6.18e-06, 1e-08, 101
627566401, 0.0, 8.76e-06, 1e-08, 101
628171201, 0.59, 8.21e-08, 1e-08, 0
630590401, 0.18, 7.78e-08, 1e-08, 0
641476801, 0.0, 5.74e-07, 1e-08, 0
659620801, 0.89, 1.14e-06, 1e-08, 101
664459201, 0.6, 5.11e-08, 1e-08, 0
672926401, 0.0, 1.21e-06, 1e-08, 0
673531201, 0.0, 4.06e-05, 1e-08, 0
683812801, 0.75, 5.12e-08, 1e-08, 0
686836801, 0.0, 1.29e-07, 1e-08, 0
687441601, 0.02, 1.13e-07, 1e-08, 0
688046401, 0.88, 5.55e-08, 1e-08, 0
690465601, 0.0, 1.6e-07, 1e-08, 0
691070401, 0.16, 2.5e-07, 1e-08, 0
691675201, 0.0, 1.39e-07, 1e-08, 0
695908801, 0.0, 2.68e-08, 1e-08, 0
696513601, 0.5, 4.63e-08, 1e-08, 0
700747201, 0.03, 5.84e-08, 1e-08, 0
702561601, 0.04, 7.01e-08, 1e-08, 0
704376001, 0.0, 9.51e-08, 1e-08, 0
705585601, 0.0, 1.22e-07, 1e-08, 0
708004801, 0.33, 6.81e-08, 1e-08, 0
708609601, 0.65, 6.48e-08, 1e-08, 0
709819201, 0.0, 2.83e-08, 1e-08, 0
715867201, 0.12, 4.97e-08, 1e-08, 0
717076801, 0.1, 4.44e-08, 1e-08, 0
718286401, 0.51, 7.2e-08, 1e-08, 0
719496001, 0.91, 7.18e-08, 1e-08, 0
720100801, 0.07, 5.82e-08, 1e-08, 0
720705601, 0.89, 7.26e-08, 1e-08, 0
721310401, 0.0, 3.51e-08, 1e-08, 0
722520001, 0.0, 3.96e-07, 1e-08, 101
723124801, 0.58, 5.8e-07, 1e-08, 0
724334401, 0.0, 4.57e-08, 1e-08, 0
725544001, 0.67, 7.61e-08, 1e-08, 0
726753601, 0.61, 5.98e-08, 1e-08, 0
732196801, 0.0, 3.83e-08, 1e-08, 0
733406401, 0.35, 5.98e-08, 1e-08, 0
734011201, 0.0, 4.41e-08, 1e-08, 0
736430401, -0.01, 1.3e-06, 1e-08, 0
737035201, 0.0, 8.97e-07, 1e-08, 0
737640001, 0.0, 5.05e-08, 1e-08, 0
740059201, 0.0, 4.17e-08, 1e-08, 0
740664001, 0.0, 3.17e-08, 1e-08, 0
