timestamp, ts, flux, flux_error, photon_index, photon_index_interval, fit_tolerance, fit_convergence
239889601, 1.42, 2.08e-08, 2.69e-08, 2.68, 1.04, 1e-08, 0
240494401, 1.14, 3.08e-08, 3e-08, 4.2, 5.01, 1e-08, 102
242913601, 2.49, 4.31e-08, 3.31e-08, 2.69, 0.78, 1e-08, 0
248356801, 1.17, 1.79e-08, 2.1e-08, 2.43, 0.69, 1e-08, 0
248961601, 2.3, 2.22e-08, 2.15e-08, 2.39, 0.7, 1e-08, 0
249566401, 1.41, 4.48e-09, 1e-08, 1.76, 1.04, 1e-08, 0
250171201, 8.87, 1.25e-09, 1.57e-09, 0.0, 0, 1e-08, 0
252590401, 5.74, 2.48e-09, 3.24e-09, 1.37, 0.64, 1e-08, 0
257428801, 4.11, 4.46e-08, 3.16e-08, 3.01, 1.98, 1e-08, 0
259243201, 4.77, 3.57e-09, 5.66e-09, 1.46, 0.73, 1e-08, 0
259848001, 1.95, 4.4e-08, 3.78e-08, 3.13, 1.12, 1e-08, 0
260452801, 18.18, 1.37e-08, 1.2e-08, 1.57, 0.4, 1e-08, 0
263476801, 6.69, 1.6e-08, 1.67e-08, 1.99, 0.52, 1e-08, 0
265896001, 13.41, 6.98e-09, 7.43e-09, 1.47, 0.51, 1e-08, 0
266500801, 1.48, 5.83e-09, 9.98e-09, 1.98, 0.92, 1e-08, 0
267105601, 5.41, 5.53e-08, 3.8e-07, 7.07, 2.37, 1e-08, 102
270734401, 6.9, 3.14e-09, 5.1e-09, 1.31, 0.76, 1e-08, 0
271944001, 6.51, 9.65e-09, 9.16e-09, 1.77, 0.44, 1e-08, 0
272548801, 4.0, 4.12e-08, 3.25e-07, 6.97, 2.72, 1e-08, 102
273153601, 1.01, 2.23e-08, 2.56e-08, 2.93, 1.07, 1e-08, 0
273758401, 4.76, 3.64e-08, 3.82e-08, 2.18, 0.74, 1e-08, 0
276177601, 1.72, 1.8e-09, 2.97e-09, 1.25, 0.77, 1e-08, 0
276782401, 5.17, 5.31e-08, 2.56e-08, 4.28, 2.45, 1e-08, 102
277387201, 10.14, 2.77e-08, 2.27e-08, 2.15, 0.45, 1e-08, 0
277992001, 5.1, 3.5e-09, 5.15e-09, 1.37, 0.7, 1e-08, 0
279201601, 2.61, 1.32e-08, 1.85e-08, 1.85, 0.65, 1e-08, 0
280411201, 1.53, 3.1e-08, 2.87e-08, 4.31, 4.49, 1e-08, 102
281016001, 6.31, 3.49e-09, 3.37e-09, 1.29, 0.46, 1e-08, 0
282225601, 22.02, 1.14e-08, 9.11e-09, 1.39, 0.35, 1e-08, 0
283435201, 7.25, 5.39e-08, 3.9e-08, 2.55, 0.57, 1e-08, 0
284644801, 2.47, 1.98e-08, 2.03e-08, 2.45, 0.7, 1e-08, 0
285249601, 8.94, 7.1e-08, 4.39e-08, 3.16, 2.26, 1e-08, 102
287668801, 1.49, 2.14e-08, 2.59e-08, 2.15, 0.81, 1e-08, 0
289483201, 8.88, 7.54e-09, 9.84e-09, 1.56, 0.55, 1e-08, 0
290088001, 1.1, 1.39e-08, 2.04e-08, 2.55, 1.1, 1e-08, 0
290692801, 16.81, 1.04e-08, 7.88e-09, 1.4, 0.35, 1e-08, 0
291297601, 1.27, 2.36e-08, 2.46e-08, 3.04, 1.23, 1e-08, 0
293112001, 3.41, 1.12e-08, 1.27e-08, 1.75, 0.56, 1e-08, 0
296136001, 7.47, 2.33e-09, 3.04e-09, 1.23, 0.66, 1e-08, 0
298555201, 2.98, 3.32e-09, 5.05e-09, 1.33, 0.68, 1e-08, 0
300369601, 1.27, 2.04e-08, 2.17e-08, 2.79, 1.08, 1e-08, 0
302788801, 1.68, 1.47e-08, 2.09e-08, 2.23, 0.84, 1e-08, 0
303393601, 5.37, 2.12e-09, 2.83e-09, 1.2, 0.67, 1e-08, 0
304603201, 4.56, 1.36e-08, 1.24e-08, 2.12, 0.51, 1e-08, 0
308232001, 2.58, 2.58e-08, 2.37e-08, 2.51, 0.66, 1e-08, 0
308836801, 1.87, 1.5e-09, 2.18e-09, 1.25, 0.66, 1e-08, 0
310651201, 5.61, 4e-08, 3.8e-08, 2.34, 0.66, 1e-08, 0
311860801, 2.64, 3.42e-08, 3.86e-08, 2.76, 0.84, 1e-08, 0
312465601, 1.51, 2.46e-09, 4.16e-09, 1.58, 0.83, 1e-08, 0
313675201, 7.1, 5.48e-09, 5.93e-09, 1.36, 0.48, 1e-08, 0
316699201, 12.55, 3.02e-08, 2.71e-08, 2.0, 0.46, 1e-08, 0
317908801, 1.85, 2.78e-08, 3.94e-08, 3.31, 4.7, 1e-08, 102
321537601, 8.55, 5.82e-09, 5.68e-09, 1.33, 0.47, 1e-08, 0
