timestamp, ts, flux_upper_limits, fit_tolerance, fit_convergence
239976001, 0.69, 8.15e-08, 1e-08, 0
240235201, 0.04, 7.17e-08, 1e-08, 0
240753601, 0.42, 5.87e-08, 1e-08, 0
241012801, 0.52, 9.82e-08, 1e-08, 0
241272001, 0.0, 4.83e-08, 1e-08, 0
241790401, 0.7, 1.01e-07, 1e-08, 0
242568001, 0.62, 1.1e-07, 1e-08, 0
244123201, 0.0, 4.13e-08, 1e-08, 0
245160001, 0.0, 4.29e-08, 1e-08, 0
245419201, 0.55, 9.78e-08, 1e-08, 0
245678401, 0.0, 6.24e-08, 1e-08, 0
246196801, 0.0, 7.84e-08, 1e-08, 0
246456001, 0.44, 6.81e-08, 1e-08, 0
247233601, 0.08, 5.67e-08, 1e-08, 0
248011201, 0.33, 6.74e-08, 1e-08, 0
248529601, 0.0, 5.03e-08, 1e-08, 0
250344001, 0.41, 8.64e-08, 1e-08, 0
250603201, 0.61, 8.42e-08, 1e-08, 0
252676801, 0.05, 6.77e-08, 1e-08, 0
253454401, 0.29, 8.2e-08, 1e-08, 0
256046401, 0.9, 1.11e-07, 1e-08, 0
256305601, 0.75, 8.92e-08, 1e-08, 0
257342401, 0.0, 6.18e-08, 1e-08, 0
274449601, 0.29, 1.01e-07, 1e-08, 0
284040001, 0.85, 1.07e-07, 1e-08, 0
329400001, 0.0, 1.04e-07, 1e-08, 0
333806401, 0.76, 1.32e-07, 1e-08, 0
334065601, 0.0, 8.09e-08, 1e-08, 102
342619201, 0.18, 1.06e-07, 1e-08, 0
344433601, 0.1, 8.28e-08, 1e-08, 102
356356801, 0.03, 3.86e-07, 1e-08, 0
358171201, 0.29, 1.06e-07, 1e-08, 0
370353601, 0.0, 1.04e-05, 1e-08, 0
370612801, 0.0, -1.0, 1e-08, 101
371131201, 0.35, 1.14e-07, 1e-08, 0
375537601, 0.0, 6.92e-08, 1e-08, 0
378388801, 0.11, 5.21e-08, 1e-08, 1
378648001, 0.07, 6.73e-08, 1e-08, 0
378907201, 0.18, 8.61e-08, 1e-08, 102
380203201, 0.83, 1.44e-07, 1e-08, 0
380462401, 0.97, 1.22e-07, 1e-08, 0
380980801, 0.33, 9.97e-08, 1e-08, 0
381240001, 0.0, 6.83e-08, 1e-08, 0
381499201, 0.0, 4.11e-08, 1e-08, 0
382017601, 0.01, 5.59e-08, 1e-08, 0
382536001, 0.6, 6.33e-08, 1e-08, 0
383054401, 0.26, 6.92e-08, 1e-08, 0
385387201, 0.98, 8.42e-08, 1e-08, 0
386164801, 0.88, 7e-08, 1e-08, 0
386942401, 0.04, 5.26e-08, 1e-08, 0
387720001, 0.27, 1.17e-07, 1e-08, 0
387979201, 0.0, 6.31e-08, 1e-08, 0
388497601, 0.52, 1.26e-07, 1e-08, 0
389016001, 0.03, 1.3e-07, 1e-08, 0
389534401, 0.23, 1.02e-07, 1e-08, 0
389793601, 0.0, 1e-07, 1e-08, 0
390052801, 0.9, 1.01e-07, 1e-08, 0
390830401, 0.0, 6.49e-08, 1e-08, 0
391089601, 0.0, 3.76e-08, 1e-08, 0
391348801, 0.45, 6.64e-08, 1e-08, 0
391867201, 0.25, 5.25e-08, 1e-08, 0
