timestamp, ts, flux, flux_error, photon_index, photon_index_interval, fit_tolerance, fit_convergence
247147201, 2.17, 1.99e-08, 2.02e-08, 2.23, 0, 1e-08, 0
250171201, 2.22, 3.28e-08, 2.65e-08, 2.23, 0, 1e-08, 0
253195201, 1.83, 2.75e-08, 2.31e-08, 2.23, 0, 1e-08, 0
253800001, 1.51, 2.39e-08, 2.3e-08, 2.23, 0, 1e-08, 0
255009601, 1.64, 3.2e-08, 2.93e-08, 2.23, 0, 1e-08, 0
259243201, 3.66, 2.98e-08, 2.3e-08, 2.23, 0, 1e-08, 0
274968001, 5.71, 2.14e-08, 1.87e-08, 2.23, 0, 1e-08, 0
275572801, 2.96, 5.36e-08, 3.63e-08, 2.23, 0, 1e-08, 0
285249601, 6.44, 4.45e-08, 2.77e-08, 2.23, 0, 1e-08, 0
288273601, 6.26, 4.79e-08, 2.93e-08, 2.23, 0, 1e-08, 0
288878401, 2.51, 3.59e-08, 2.77e-08, 2.23, 0, 1e-08, 0
292507201, 1.18, 1.31e-08, 1.7e-08, 2.23, 0, 1e-08, 0
302788801, 4.54, 5.09e-08, 3.29e-08, 2.23, 0, 1e-08, 0
305812801, 1.19, 2.97e-08, 3.15e-08, 2.23, 0, 1e-08, 0
308232001, 2.05, 2.95e-08, 2.53e-08, 2.23, 0, 1e-08, 0
310046401, 3.05, 3.1e-08, 2.55e-08, 2.23, 0, 1e-08, 0
310651201, 3.47, 3.63e-08, 2.71e-08, 2.23, 0, 1e-08, 0
311256001, 4.86, 4.98e-08, 2.88e-08, 2.23, 0, 1e-08, 0
313675201, 1.82, 4.39e-08, 3.67e-08, 2.23, 0, 1e-08, 0
317908801, 1.67, 3.19e-08, 2.84e-08, 2.23, 0, 1e-08, 0
319723201, 1.41, 3.19e-08, 3.02e-08, 2.23, 0, 1e-08, 0
321537601, 1.14, 2.35e-08, 2.55e-08, 2.23, 0, 1e-08, 0
322747201, 3.85, 5.43e-08, 3.87e-08, 2.23, 0, 1e-08, 0
333633601, 2.77, 4.61e-08, 3.23e-08, 2.23, 0, 1e-08, 0
339076801, 2.37, 3.11e-08, 2.6e-08, 2.23, 0, 1e-08, 0
340286401, 4.63, 4.14e-08, 2.64e-08, 2.23, 0, 1e-08, 0
344520001, 1.22, 3.71e-08, 3.68e-08, 2.23, 0, 1e-08, 0
345729601, 2.39, 4.98e-08, 3.69e-08, 2.23, 0, 1e-08, 0
346334401, 3.25, 2.69e-08, 2.52e-08, 2.23, 0, 1e-08, 0
352382401, 3.13, 2.67e-08, 2.19e-08, 2.23, 0, 1e-08, 0
368107201, 1.04, 1.8e-08, 2.16e-08, 2.23, 0, 1e-08, 0
376574401, 2.05, 4.33e-08, 3.7e-08, 2.23, 0, 1e-08, 0
377784001, 2.53, 1.8e-08, 1.83e-08, 2.23, 0, 1e-08, 0
380203201, 1.09, 2.31e-08, 2.6e-08, 2.23, 0, 1e-08, 0
385646401, 3.35, 4.88e-08, 3.34e-08, 2.23, 0, 1e-08, 0
391694401, 1.66, 4.08e-08, 3.64e-08, 2.23, 0, 1e-08, 0
397742401, 2.43, 2.71e-08, 2.39e-08, 2.23, 0, 1e-08, 0
454593601, 1.91, 3.69e-08, 3.17e-08, 2.23, 0, 1e-08, 0
455198401, 2.46, 3.9e-08, 3.19e-08, 2.23, 0, 1e-08, 0
455803201, 9.84, 6.64e-08, 3.28e-08, 2.23, 0, 1e-08, 0
456408001, 10.78, 5.9e-08, 3.08e-08, 2.23, 0, 1e-08, 0
460641601, 4.12, 2.71e-08, 2.2e-08, 2.23, 0, 1e-08, 0
464270401, 2.26, 2.21e-08, 2.06e-08, 2.23, 0, 1e-08, 0
464875201, 8.93, 4.73e-08, 2.49e-08, 2.23, 0, 1e-08, 0
466084801, 1.93, 1.8e-08, 1.94e-08, 2.23, 0, 1e-08, 0
466689601, 1.41, 3.33e-08, 3.23e-08, 2.23, 0, 1e-08, 0
469108801, 5.46, 2.48e-08, 1.83e-08, 2.23, 0, 1e-08, 0
478180801, 1.47, 2.98e-08, 2.85e-08, 2.23, 0, 1e-08, 0
481809601, 2.4, 1.71e-08, 1.76e-08, 2.23, 0, 1e-08, 0
482414401, 2.28, 3.69e-08, 2.98e-08, 2.23, 0, 1e-08, 0
484228801, 3.96, 5.42e-08, 3.43e-08, 2.23, 0, 1e-08, 0
492696001, 1.59, 1.5e-08, 1.7e-08, 2.23, 0, 1e-08, 0
495720001, 1.94, 2.88e-08, 2.62e-08, 2.23, 0, 1e-08, 0
497534401, 2.59, 1.2e-08, 1.13e-08, 2.23, 0, 1e-08, 0
499348801, 1.5, 1.57e-08, 1.85e-08, 2.23, 0, 1e-08, 0
503582401, 11.09, 4.45e-08, 2.77e-08, 2.23, 0, 1e-08, 0
506001601, 4.32, 4.08e-08, 2.75e-08, 2.23, 0, 1e-08, 0
510235201, 16.31, 8.9e-08, 3.1e-08, 2.23, 0, 1e-08, 0
512654401, 2.45, 3.7e-08, 2.97e-08, 2.23, 0, 1e-08, 0
515073601, 3.57, 4.3e-08, 3.16e-08, 2.23, 0, 1e-08, 0
518702401, 1.07, 1.59e-08, 1.92e-08, 2.23, 0, 1e-08, 0
519912001, 1.15, 3.35e-08, 3.48e-08, 2.23, 0, 1e-08, 0
521726401, 1.27, 2.58e-08, 2.69e-08, 2.23, 0, 1e-08, 0
524750401, 2.37, 2.88e-08, 2.28e-08, 2.23, 0, 1e-08, 0
528379201, 4.43, 3.05e-08, 2.15e-08, 2.23, 0, 1e-08, 0
529588801, 4.81, 4.05e-08, 2.71e-08, 2.23, 0, 1e-08, 0
532008001, 3.55, 5.32e-08, 3.37e-08, 2.23, 0, 1e-08, 0
535032001, 2.17, 2.9e-08, 2.63e-08, 2.23, 0, 1e-08, 0
537451201, 1.01, 3.23e-08, 3.55e-08, 2.23, 0, 1e-08, 0
538056001, 5.29, 6.23e-08, 3.59e-08, 2.23, 0, 1e-08, 0
547128001, 1.78, 4.93e-08, 6.36e-08, 2.23, 0, 1e-08, 102
