timestamp, ts, flux, flux_error, photon_index, photon_index_interval, fit_tolerance, fit_convergence
240883201, 4.78, 4.77e-08, 2.53e-08, 2.56, 0.34, 1e-08, 0
243475201, 3.63, 1.35e-08, 1.53e-08, 2.02, 0.45, 1e-08, 0
246067201, 3.6, 5.12e-08, 2.89e-08, 2.83, 0.48, 1e-08, 0
248659201, 5.81, 2.02e-08, 1.63e-08, 2.03, 0.33, 1e-08, 0
251251201, 1.37, 1.74e-08, 1.83e-08, 2.29, 0.43, 1e-08, 0
253843201, 6.57, 3.77e-08, 2.22e-08, 2.35, 0.31, 1e-08, 0
256435201, 3.35, 4.52e-08, 2.79e-08, 2.8, 0.71, 1e-08, 0
261619201, 13.35, 5.2e-08, 2.3e-08, 2.37, 0.24, 1e-08, 0
266803201, 2.08, 2.91e-08, 2.19e-08, 2.59, 0.53, 1e-08, 0
269395201, 6.92, 5.02e-08, 2.96e-08, 2.56, 0.43, 1e-08, 0
271987201, 9.11, 6.6e-08, 2.67e-08, 2.66, 0.31, 1e-08, 0
274579201, 1.16, 2.91e-08, 2.8e-08, 4.1, 1.34, 1e-08, 0
279763201, 1.07, 2.46e-08, 2.48e-08, 2.76, 0.66, 1e-08, 0
284947201, 1.59, 6.83e-09, 1.01e-08, 1.85, 0.56, 1e-08, 0
287539201, 6.33, 6.49e-08, 2.7e-08, 3.2, 0.64, 1e-08, 0
290131201, 8.6, 6.54e-08, 3e-08, 2.69, 0.36, 1e-08, 0
297907201, 2.36, 4.24e-08, 2.88e-08, 3.1, 1.09, 1e-08, 0
303091201, 5.22, 6.42e-08, 3.02e-08, 4.62, 1.08, 1e-08, 0
308275201, 1.84, 3.29e-08, 2.63e-08, 2.88, 0.61, 1e-08, 0
316051201, 3.42, 2.48e-08, 2.13e-08, 2.22, 0.43, 1e-08, 0
321235201, 5.94, 3.03e-08, 2.2e-08, 2.19, 0.34, 1e-08, 0
323827201, 1.55, 2.63e-08, 2.47e-08, 2.84, 0.9, 1e-08, 0
326419201, 1.92, 4.03e-08, 3.03e-08, 3.63, 1.04, 1e-08, 0
334195201, 4.16, 3e-08, 2.37e-08, 2.24, 0.43, 1e-08, 0
336787201, 2.16, 2.25e-08, 1.98e-08, 2.27, 0.41, 1e-08, 0
339379201, 3.59, 8.08e-09, 9.7e-09, 1.79, 0.44, 1e-08, 0
344563201, 5.29, 6.85e-08, 3.14e-08, 3.38, 0.83, 1e-08, 0
347155201, 1.95, 1.88e-08, 2.31e-08, 2.3, 0.61, 1e-08, 0
349747201, 9.09, 6.84e-08, 2.84e-08, 2.61, 0.32, 1e-08, 0
352339201, 2.17, 3.27e-08, 2.32e-08, 2.92, 0.77, 1e-08, 0
357523201, 4.7, 1.27e-08, 1.51e-08, 2.02, 0.45, 1e-08, 0
360115201, 1.89, 2.87e-08, 2.33e-08, 2.58, 0.49, 1e-08, 0
362707201, 4.42, 4.9e-08, 2.55e-08, 2.99, 0.59, 1e-08, 0
365299201, 7.74, 7.21e-08, 2.81e-08, 2.98, 0.42, 1e-08, 0
367891201, 3.8, 5.3e-08, 2.85e-08, 3.52, 0.79, 1e-08, 0
375667201, 5.94, 5.61e-08, 2.61e-08, 2.66, 0.38, 1e-08, 0
378259201, 1.0, 3e-08, 3.11e-08, 3.92, 1.89, 1e-08, 0
380851201, 2.18, 4.04e-08, 2.83e-08, 3.13, 0.79, 1e-08, 0
383443201, 4.03, 3.54e-08, 2.35e-08, 2.55, 0.43, 1e-08, 0
386035201, 1.57, 3.7e-08, 3.08e-08, 3.62, 0.93, 1e-08, 0
391219201, 7.04, 6.42e-08, 2.75e-08, 2.75, 0.4, 1e-08, 0
393811201, 3.76, 5.06e-08, 2.77e-08, 3.37, 1.34, 1e-08, 0
396403201, 16.04, 6.51e-08, 2.66e-08, 2.35, 0.24, 1e-08, 0
398995201, 2.55, 1.08e-08, 1.05e-08, 1.91, 0.38, 1e-08, 0
401587201, 9.77, 8.62e-08, 2.97e-08, 3.43, 0.56, 1e-08, 0
404179201, 7.07, 5.96e-08, 2.6e-08, 6.59, 2.46, 1e-08, 0
409363201, 3.3, 2.79e-08, 2.74e-08, 2.26, 0.43, 1e-08, 0
411955201, 4.52, 4.68e-08, 2.3e-08, 3.64, 1.1, 1e-08, 0
414547201, 2.34, 5.25e-09, 6.66e-09, 1.65, 0.44, 1e-08, 0
417139201, 1.83, 3.1e-08, 2.46e-08, 2.78, 0.6, 1e-08, 0
422323201, 3.72, 9.96e-09, 1.23e-08, 1.96, 0.45, 1e-08, 0
424915201, 4.42, 5.62e-08, 2.94e-08, 5.38, 2.08, 1e-08, 0
430099201, 1.23, 2.41e-08, 2.73e-08, 5.63, 0.4, 1e-08, 102
432691201, 19.22, 1.35e-07, 3.4e-08, 3.24, 0.34, 1e-08, 0
435283201, 20.03, 9.76e-08, 2.71e-08, 2.62, 0.25, 1e-08, 0
437875201, 1.97, 2.77e-08, 2.62e-08, 2.53, 0.57, 1e-08, 0
440467201, 5.32, 6.43e-08, 3.04e-08, 3.4, 4.97, 1e-08, 102
443059201, 2.46, 2.07e-08, 1.98e-08, 2.21, 0.49, 1e-08, 0
445651201, 8.43, 6.41e-08, 3.08e-08, 2.63, 0.43, 1e-08, 0
448243201, 6.19, 6.04e-08, 2.65e-08, 2.82, 0.45, 1e-08, 0
450835201, 1.08, 1.08e-08, 1.95e-08, 2.15, 0.7, 1e-08, 0
453427201, 1.63, 2.8e-08, 2.8e-08, 2.68, 1.05, 1e-08, 0
458611201, 8.7, 2.64e-08, 2.03e-08, 2.09, 0.32, 1e-08, 0
463795201, 11.86, 8.82e-08, 2.87e-08, 4.81, 1.21, 1e-08, 0
466387201, 2.51, 3.25e-08, 2.51e-08, 8.08, 6.18, 1e-08, 102
474163201, 4.96, 5.39e-08, 2.53e-08, 3.22, 0.97, 1e-08, 0
476755201, 1.7, 3.42e-08, 2.72e-08, 3.45, 1.42, 1e-08, 0
479347201, 2.26, 3.48e-08, 3.91e-08, 2.75, 1.32, 1e-08, 0
481939201, 2.09, 3.27e-08, 2.53e-08, 2.7, 0.65, 1e-08, 0
484531201, 2.07, 3.86e-08, 2.8e-08, 3.58, 1.32, 1e-08, 0
487123201, 8.02, 7.31e-08, 3.19e-08, 2.75, 0.49, 1e-08, 0
489715201, 1.3, 2.22e-08, 2.38e-08, 2.53, 0.6, 1e-08, 0
492307201, 4.95, 5.1e-08, 2.78e-08, 2.58, 0.35, 1e-08, 0
494899201, 2.81, 4.25e-08, 2.65e-08, 3.11, 0.67, 1e-08, 0
497491201, 13.36, 8.32e-08, 2.46e-08, 3.39, 0.54, 1e-08, 0
500083201, 3.21, 4.36e-08, 2.6e-08, 2.92, 0.56, 1e-08, 0
505267201, 1.93, 3.2e-08, 2.64e-08, 2.69, 0.57, 1e-08, 0
510451201, 4.86, 4.05e-09, 3.98e-09, 1.4, 0.37, 1e-08, 0
513043201, 2.08, 3.38e-08, 2.68e-08, 6.56, 4.85, 1e-08, 0
515635201, 2.34, 1.72e-08, 2.07e-08, 2.16, 0.53, 1e-08, 0
518227201, 1.03, 2.23e-08, 2.37e-08, 6.48, 4.16, 1e-08, 0
528595201, 2.74, 4.03e-08, 2.68e-08, 2.88, 0.62, 1e-08, 0
531187201, 2.62, 3.81e-08, 2.59e-08, 5.7, 2.83, 1e-08, 0
541555201, 1.44, 2.98e-08, 2.56e-08, 3.5, 1.47, 1e-08, 0
544147201, 2.98, 3.14e-07, 2.45e-07, 6.7, 6.93, 1e-08, 102
549331201, 7.17, 3.67e-07, 1.57e-07, 3.42, 1, 1e-08, 0
551923201, 5.22, 7.52e-08, 3.87e-08, 2.46, 0.3, 1e-08, 0
554515201, 2.0, 2.87e-09, 5.1e-09, 1.64, 0.58, 1e-08, 0
557107201, 1.56, 2.72e-08, 2.67e-08, 2.62, 0.61, 1e-08, 0
559699201, 2.24, 3.1e-08, 2.26e-08, 3.04, 3.12, 1e-08, 0
562291201, 4.83, 7.01e-08, 3.49e-08, 4.75, 1.56, 1e-08, 0
570067201, 7.4, 5.49e-08, 3.14e-08, 2.47, 0.44, 1e-08, 0
577843201, 2.93, 2.42e-08, 2.16e-08, 2.27, 0.43, 1e-08, 0
580435201, 5.38, 8.25e-08, 3.77e-08, 2.96, 0.49, 1e-08, 0
585619201, 2.53, 4.28e-08, 3.07e-08, 8.9, 4.71, 1e-08, 0
590803201, 6.46, 5.46e-08, 2.4e-08, 2.74, 0.37, 1e-08, 0
595987201, 8.46, 1.1e-07, 4.11e-08, 2.87, 0.38, 1e-08, 0
608947201, 3.26, 3.96e-08, 2.45e-08, 6.89, 3.2, 1e-08, 0
611539201, 7.97, 4.14e-10, 6.95e-10, 0.43, 0.39, 1e-08, 0
616723201, 3.46, 5.13e-08, 3.17e-08, 2.69, 0.42, 1e-08, 0
619315201, 1.3, 2.57e-09, 4.82e-09, 1.58, 0.62, 1e-08, 0
621907201, 4.01, 4.6e-08, 2.68e-08, 2.92, 1.3, 1e-08, 0
627091201, 3.53, 4.26e-08, 4.09e-08, 2.37, 0.5, 1e-08, 0
629683201, 5.97, 8.9e-08, 3.9e-08, 3.38, 0.75, 1e-08, 0
637459201, 3.83, 3.08e-08, 3.27e-08, 2.38, 0.57, 1e-08, 0
645235201, 8.78, 1.51e-07, 5.61e-08, 4.21, 1.1, 1e-08, 0
