timestamp, ts, flux, flux_error, photon_index, photon_index_interval, fit_tolerance, fit_convergence
239889601, 2.73, 7.45e-08, 5.16e-08, 2.63, 0.52, 1e-08, 0
240494401, 4.21, 1.07e-07, 5.7e-08, 2.95, 0.45, 1e-08, 0
241704001, 4.14, 5.62e-08, 4.25e-08, 2.07, 0.37, 1e-08, 0
242308801, 3.31, 7.61e-09, 1.13e-08, 1.54, 0.56, 1e-08, 0
243518401, 2.6, 7.19e-08, 6.42e-08, 2.74, 0.93, 1e-08, 0
244728001, 4.0, 7.37e-08, 4.75e-08, 2.31, 0.37, 1e-08, 0
245332801, 1.34, 6.51e-08, 5.98e-08, 3.52, 1.94, 1e-08, 0
247147201, 1.44, 5.31e-08, 5.38e-08, 2.54, 0.65, 1e-08, 0
247752001, 6.21, 3.78e-08, 3.06e-08, 1.94, 0.34, 1e-08, 0
248961601, 2.54, 4.88e-08, 4.88e-08, 2.39, 0.6, 1e-08, 0
250776001, 3.02, 1.17e-07, 7.3e-08, 3.2, 0.76, 1e-08, 0
252590401, 3.05, 6.87e-08, 5.01e-08, 2.51, 0.46, 1e-08, 0
253195201, 2.2, 5.34e-08, 4.16e-08, 2.44, 0.46, 1e-08, 0
253800001, 1.05, 4.5e-08, 5.18e-08, 2.59, 0.97, 1e-08, 0
254404801, 4.62, 2.36e-08, 2.65e-08, 1.88, 0.46, 1e-08, 0
255009601, 2.62, 1.1e-07, 7.32e-08, 3.64, 1.18, 1e-08, 0
256824001, 3.89, 1.03e-07, 5.61e-08, 3.19, 0.63, 1e-08, 0
257428801, 3.46, 1.63e-08, 2.22e-08, 1.77, 0.52, 1e-08, 0
260452801, 2.22, 2.64e-08, 5.42e-08, 2.11, 0.98, 1e-08, 0
261057601, 2.21, 5.34e-09, 8.65e-09, 1.53, 0.6, 1e-08, 0
261662401, 1.09, 4.66e-08, 4.89e-08, 2.77, 0.65, 1e-08, 0
262267201, 14.12, 1.28e-07, 5.09e-08, 2.36, 0.25, 1e-08, 0
262872001, 1.24, 5.73e-08, 5.49e-08, 2.89, 0.79, 1e-08, 0
263476801, 2.35, 4.1e-08, 4.29e-08, 2.29, 0.53, 1e-08, 0
