timestamp, ts, flux_upper_limits, fit_tolerance, fit_convergence
241272001, 0.78, 4.83e-07, 1e-08, 0
248788801, 0.0, 2.99e-07, 1e-08, 0
250862401, 0.0, 3.7e-07, 1e-08, 0
251380801, 0.58, 4.53e-07, 1e-08, 0
264600001, 0.0, 3.53e-07, 1e-08, 0
273672001, 0.0, 3.52e-07, 1e-08, 0
279892801, 0.02, 3.72e-07, 1e-08, 0
280929601, 0.82, 5.63e-07, 1e-08, 0
284040001, 0.2, 4.07e-07, 1e-08, 0
285076801, 0.39, 4.32e-07, 1e-08, 0
285336001, 0.0, 3.89e-07, 1e-08, 0
285854401, 0.35, 3.91e-07, 1e-08, 0
286113601, 0.88, 4.93e-07, 1e-08, 0
288964801, 0.0, 3.2e-07, 1e-08, 0
289224001, 0.14, 3.91e-07, 1e-08, 0
293630401, 0.0, 3.5e-07, 1e-08, 0
293889601, 0.27, 4.36e-07, 1e-08, 0
294148801, 0.31, 4.35e-07, 1e-08, 0
295444801, 0.81, 4.71e-07, 1e-08, 0
299332801, 0.95, 5.43e-07, 1e-08, 0
304257601, 0.04, 4.38e-07, 1e-08, 0
304516801, 0.98, 5.77e-07, 1e-08, 0
306072001, 0.93, 4.72e-07, 1e-08, 0
310737601, 0.62, 3.99e-07, 1e-08, 0
311256001, 0.0, 2.83e-07, 1e-08, 0
311515201, 0.65, 4.41e-07, 1e-08, 102
311774401, 0.94, 4.8e-07, 1e-08, 0
312033601, 0.54, 4.82e-07, 1e-08, 0
312811201, 0.0, 3.82e-07, 1e-08, 0
313070401, 0.0, 3.43e-07, 1e-08, 0
316699201, 0.49, 4.46e-07, 1e-08, 0
326808001, 0.0, 3.58e-07, 1e-08, 0
332251201, 0.27, 4.32e-07, 1e-08, 0
333288001, 0.0, 3.24e-07, 1e-08, 0
334584001, 0.24, 3.86e-07, 1e-08, 0
336398401, 0.6, 4.57e-07, 1e-08, 0
336657601, 0.0, 3.28e-07, 1e-08, 0
337176001, 0.52, 5.07e-07, 1e-08, 0
337694401, 0.85, 4.52e-07, 1e-08, 0
339249601, 0.0, 3.24e-07, 1e-08, 0
339508801, 0.0, 3.06e-07, 1e-08, 0
340027201, 0.0, 2.7e-07, 1e-08, 0
340545601, 0.41, 4.91e-07, 1e-08, 0
340804801, 0.04, 3.89e-07, 1e-08, 0
341323201, 0.0, 2.81e-07, 1e-08, 0
341582401, 0.0, 3.45e-07, 1e-08, 0
344174401, 0.18, 4.28e-07, 1e-08, 0
344433601, 0.32, 4.41e-07, 1e-08, 0
344692801, 0.0, 3.28e-07, 1e-08, 0
345211201, 0.15, 4.6e-07, 1e-08, 0
346248001, 0.91, 5.4e-07, 1e-08, 0
347025601, 0.01, 3.36e-07, 1e-08, 0
351172801, 0.89, 4.72e-07, 1e-08, 0
356356801, 0.17, 1.21e-06, 1e-08, 0
357912001, 0.0, 3.37e-07, 1e-08, 0
358171201, 0.0, 3.46e-07, 1e-08, 0
359467201, 0.23, 4.7e-07, 1e-08, 0
359726401, 0.71, 5.26e-07, 1e-08, 0
360244801, 0.16, 4.06e-07, 1e-08, 0
361540801, 0.17, 3.9e-07, 1e-08, 0
361800001, 0.48, 4.2e-07, 1e-08, 0
362577601, 0.25, 4.73e-07, 1e-08, 0
364651201, 0.0, 3.56e-07, 1e-08, 0
365428801, 0.0, 2.84e-07, 1e-08, 0
365947201, 0.64, 4.45e-07, 1e-08, 0
373464001, 0.44, 4.8e-07, 1e-08, 0
396273601, 0.48, 4.33e-07, 1e-08, 0
396532801, 0.0, 3.34e-07, 1e-08, 0
396792001, 0.0, 2.15e-07, 1e-08, 0
398088001, 0.0, 2.91e-07, 1e-08, 0
399902401, 0.0, 3.92e-07, 1e-08, 0
404568001, 0.0, 7.97e-07, 1e-08, 0
408196801, 0.0, 8.1e-06, 1e-08, 101
408715201, 0.14, 6.45e-07, 1e-08, 0
413899201, 0.17, 4.46e-07, 1e-08, 0
415195201, 0.0, 5.8e-07, 1e-08, 0
415454401, 0.48, 4.7e-07, 1e-08, 0
419860801, 0.14, 4.25e-07, 1e-08, 0
421675201, 0.4, 3.84e-07, 1e-08, 0
422712001, 0.73, 5.25e-07, 1e-08, 0
423230401, 0.41, 5.17e-07, 1e-08, 0
423748801, 0.55, 5.02e-07, 1e-08, 0
425044801, 0.73, 4.51e-07, 1e-08, 0
426859201, 0.19, 4.1e-07, 1e-08, 0
427377601, 0.0, 3.81e-07, 1e-08, 0
431265601, 0.53, 4.63e-07, 1e-08, 0
431784001, 0.02, 4.41e-07, 1e-08, 0
432820801, 0.0, 3.71e-07, 1e-08, 0
433080001, 0.01, 4.19e-07, 1e-08, 0
433598401, 0.94, 5.09e-07, 1e-08, 0
434635201, 0.0, 3.48e-07, 1e-08, 0
434894401, 0.33, 4.46e-07, 1e-08, 0
436449601, 0.0, 3.86e-07, 1e-08, 0
436708801, 0.45, 4.96e-07, 1e-08, 0
437486401, 0.0, 3.68e-07, 1e-08, 0
441374401, 0.95, 5.36e-07, 1e-08, 0
444484801, 0.23, 4.92e-07, 1e-08, 0
446040001, 0.01, 4.14e-07, 1e-08, 0
446299201, 0.93, 5.58e-07, 1e-08, 0
448113601, 0.74, 4.57e-07, 1e-08, 0
449668801, 0.93, 5.35e-07, 1e-08, 0
450964801, 0.0, 3.37e-07, 1e-08, 0
451483201, 0.65, 5.25e-07, 1e-08, 0
452260801, 0.0, 3.34e-07, 1e-08, 0
452520001, 0.26, 3.93e-07, 1e-08, 0
452779201, 0.93, 4.41e-07, 1e-08, 0
453556801, 0.79, 4.35e-07, 1e-08, 0
455630401, 0.37, 4.85e-07, 1e-08, 0
456148801, 0.0, 3.89e-07, 1e-08, 0
456408001, 0.07, 4.65e-07, 1e-08, 0
457963201, 0.15, 3.8e-07, 1e-08, 0
459000001, 0.0, 3.15e-07, 1e-08, 0
459518401, 0.63, 4.63e-07, 1e-08, 0
459777601, 0.69, 4.76e-07, 1e-08, 0
461073601, 0.0, 2.93e-07, 1e-08, 0
461592001, 0.59, 3.9e-07, 1e-08, 0
462369601, 0.52, 4.05e-07, 1e-08, 0
463147201, 0.88, 4.56e-07, 1e-08, 0
463665601, 0.0, 2.37e-07, 1e-08, 0
464443201, 0.0, 3.34e-07, 1e-08, 0
464702401, 0.87, 4.57e-07, 1e-08, 0
466257601, 0.7, 4.29e-07, 1e-08, 0
468590401, 0.0, 3.29e-07, 1e-08, 0
475070401, 0.68, 4.74e-07, 1e-08, 0
476366401, 0.36, 4.06e-07, 1e-08, 0
477662401, 0.0, 2.81e-07, 1e-08, 0
477921601, 0.0, 3.53e-07, 1e-08, 0
478958401, 0.09, 4.56e-07, 1e-08, 0
480513601, 0.63, 4.24e-07, 1e-08, 0
482587201, 0.04, 4.26e-07, 1e-08, 0
483105601, 0.0, 3.32e-07, 1e-08, 0
486734401, 0.3, 4.84e-07, 1e-08, 0
490363201, 0.73, 4.6e-07, 1e-08, 0
493473601, 0.85, 4.6e-07, 1e-08, 0
501249601, 0.31, 4.77e-07, 1e-08, 0
508248001, 0.0, 3.23e-07, 1e-08, 0
509025601, 0.4, 4.26e-07, 1e-08, 0
516283201, 0.0, 3.29e-07, 1e-08, 0
517060801, 0.51, 4.29e-07, 1e-08, 0
527428801, 0.0, 3.03e-07, 1e-08, 0
534427201, 0.05, 3.79e-07, 1e-08, 0
536760001, 0.0, 3.63e-07, 1e-08, 0
537278401, 0.53, 4.83e-07, 1e-08, 0
537537601, 0.38, 4.58e-07, 1e-08, 0
538315201, 0.0, 3.94e-07, 1e-08, 0
538574401, 0.81, 5.34e-07, 1e-08, 0
540129601, 0.0, 2.93e-07, 1e-08, 0
541166401, 0.0, 2.6e-07, 1e-08, 0
545313601, 0.0, -1.0, 1e-08, 101
545572801, 0.0, 3.29e-06, 1e-08, 101
545832001, 0.0, 1.18e-06, 1e-08, 0
546091201, 0.77, 8.46e-07, 1e-08, 0
547905601, 0.02, 3.64e-07, 1e-08, 0
548164801, 0.02, 3.15e-06, 1e-08, 0
548424001, 0.0, 5.37e-05, 1e-08, 101
548683201, 0.33, 5.95e-06, 1e-08, 0
548942401, 0.0, 1.95e-06, 1e-08, 0
549720001, 0.44, 1.6e-06, 1e-08, 0
550238401, 0.0, 1.7e-06, 1e-08, 0
551275201, 0.1, 4.86e-07, 1e-08, 0
551534401, 0.0, 3.49e-07, 1e-08, 0
552052801, 0.0, 3.3e-07, 1e-08, 0
553089601, 0.78, 7.84e-07, 1e-08, 0
553348801, 0.41, 7.21e-07, 1e-08, 0
553608001, 0.23, 6.69e-07, 1e-08, 0
553867201, 0.07, 6.95e-07, 1e-08, 0
