timestamp, ts, flux_upper_limits, fit_tolerance, fit_convergence
293716801, 0.07, 2.58e-07, 1e-08, 0
339681601, 0.04, 2.3e-07, 1e-08, 0
341496001, 0.0, 2.1e-07, 1e-08, 0
344520001, 0.0, 2.27e-07, 1e-08, 0
357825601, 0.56, 3.01e-07, 1e-08, 0
359640001, 0.36, 3.11e-07, 1e-08, 0
365688001, 0.05, 2.34e-07, 1e-08, 0
396532801, 0.0, 1.65e-07, 1e-08, 0
415281601, 0.0, 2.71e-07, 1e-08, 0
431611201, 0.9, 3.49e-07, 1e-08, 0
432820801, 0.08, 2.78e-07, 1e-08, 0
460036801, 0.91, 3.24e-07, 1e-08, 0
463665601, 0.77, 2.93e-07, 1e-08, 0
477576001, 0.0, 2.47e-07, 1e-08, 0
516283201, 0.6, 2.91e-07, 1e-08, 0
545313601, 0.06, 1.06e-05, 1e-08, 101
545918401, 0.51, 6.84e-07, 1e-08, 0
548337601, 0.0, 2.44e-06, 1e-08, 0
550152001, 0.0, 1.14e-06, 1e-08, 0
551361601, 0.24, 3.23e-07, 1e-08, 0
553780801, 0.0, 3.69e-07, 1e-08, 0
557409601, 0.94, 2.52e-07, 1e-08, 0
567086401, 0.0, 6.68e-06, 1e-08, 101
580392001, 0.81, 3.72e-07, 1e-08, 0
580996801, 0.0, 5.86e-07, 1e-08, 102
584020801, 0.0, 2.5e-07, 1e-08, 0
584625601, 0.18, 3.73e-07, 1e-08, 0
599140801, 0.0, 1.3e-05, 1e-08, 101
599745601, 0.0, 4.21e-06, 1e-08, 101
608817601, 0.92, 3.1e-07, 1e-08, 0
613656001, 0.0, 3.1e-05, 1e-08, 0
630590401, 0.0, 2.62e-06, 1e-08, 101
631195201, 0.0, 2.73e-06, 1e-08, 101
645105601, 0.0, 4.34e-06, 1e-08, 0
645710401, 0.0, 5.02e-06, 1e-08, 0
659620801, 0.22, 1.38e-06, 1e-08, 0
660225601, 0.21, 3.17e-07, 1e-08, 0
662040001, 0.64, 3.88e-07, 1e-08, 0
662644801, 0.0, 2.15e-06, 1e-08, 0
690465601, 0.88, 9.07e-07, 1e-08, 0
691070401, 0.0, 2.14e-06, 1e-08, 0
696513601, 0.0, 1.84e-07, 1e-08, 0
722520001, 0.87, 1.95e-06, 1e-08, 0
723124801, 0.0, 1.32e-06, 1e-08, 0
729172801, 0.91, 3.29e-07, 1e-08, 0
730382401, 0.0, 2.01e-07, 1e-08, 0
732196801, 0.95, 2.83e-07, 1e-08, 0
734011201, 0.0, 2.51e-07, 1e-08, 0
740059201, 0.0, 2.88e-06, 1e-08, 0
740664001, 0.0, 2.89e-06, 1e-08, 0
