timestamp, ts, flux, flux_error, photon_index, photon_index_interval, fit_tolerance, fit_convergence
239889601, 48.39, 6.21e-07, 1.06e-07, 4.06, 0.41, 1e-08, 0
240494401, 53.05, 7.41e-07, 1.19e-07, 3.67, 0.36, 1e-08, 0
241099201, 4.91, 2.1e-07, 1.09e-07, 5.97, 1.34, 1e-08, 0
241704001, 16.99, 4.62e-07, 1.32e-07, 4.06, 0.69, 1e-08, 0
242308801, 16.93, 3.76e-07, 1.08e-07, 5.4, 0.93, 1e-08, 0
242913601, 42.54, 5.94e-07, 1.1e-07, 4.37, 0.48, 1e-08, 0
243518401, 63.88, 7.31e-07, 1.09e-07, 4.0, 0.37, 1e-08, 0
244123201, 82.41, 8.72e-07, 1.15e-07, 3.95, 0.33, 1e-08, 0
244728001, 102.18, 9.68e-07, 1.2e-07, 4.06, 0.33, 1e-08, 0
245332801, 103.4, 1.15e-06, 1.3e-07, 3.52, 0.24, 1e-08, 0
245937601, 35.23, 6.94e-07, 1.4e-07, 4.02, 0.51, 1e-08, 0
246542401, 21.51, 5.03e-07, 1.28e-07, 4.23, 0.58, 1e-08, 0
247147201, 63.69, 7.62e-07, 1.16e-07, 4.23, 0.42, 1e-08, 0
247752001, 211.93, 1.36e-06, 1.15e-07, 3.77, 0.2, 1e-08, 0
248356801, 92.08, 9.05e-07, 1.13e-07, 3.65, 0.26, 1e-08, 0
248961601, 17.05, 3.51e-07, 1.01e-07, 5.09, 0.72, 1e-08, 0
249566401, 29.39, 5.27e-07, 1.13e-07, 3.87, 0.46, 1e-08, 0
250171201, 28.88, 5.76e-07, 1.27e-07, 3.99, 0.53, 1e-08, 0
250776001, 17.99, 4.67e-07, 1.31e-07, 4.37, 0.69, 1e-08, 0
251380801, 11.58, 3.48e-07, 1.2e-07, 4.28, 0.83, 1e-08, 0
251985601, 11.78, 3.38e-07, 1.1e-07, 3.42, 0.53, 1e-08, 0
252590401, 19.13, 4.09e-07, 1.07e-07, 3.6, 0.5, 1e-08, 0
253195201, 112.8, 9.17e-07, 1.05e-07, 4.45, 0.33, 1e-08, 0
253800001, 146.67, 1.12e-06, 1.1e-07, 3.87, 0.25, 1e-08, 0
254404801, 79.13, 9.14e-07, 1.24e-07, 3.66, 0.3, 1e-08, 0
255009601, 145.66, 1.51e-06, 1.6e-07, 4.0, 0.29, 1e-08, 0
255614401, 414.86, 2.67e-06, 1.7e-07, 3.62, 0.17, 1e-08, 0
256219201, 141.88, 1.2e-06, 1.3e-07, 3.97, 0.28, 1e-08, 0
256824001, 165.28, 1.19e-06, 1.1e-07, 3.82, 0.24, 1e-08, 0
257428801, 138.23, 1.06e-06, 1.1e-07, 3.96, 0.27, 1e-08, 0
258033601, 137.97, 1.09e-06, 1.1e-07, 3.67, 0.23, 1e-08, 0
258638401, 25.11, 6.09e-07, 1.42e-07, 3.63, 0.49, 1e-08, 0
259243201, 102.97, 1.06e-06, 1.3e-07, 4.28, 0.35, 1e-08, 0
259848001, 88.65, 1.05e-06, 1.4e-07, 4.24, 0.39, 1e-08, 0
260452801, 41.83, 6.34e-07, 1.19e-07, 4.51, 0.5, 1e-08, 0
261057601, 48.12, 6.35e-07, 1.1e-07, 4.25, 0.45, 1e-08, 0
261662401, 86.82, 8.28e-07, 1.08e-07, 4.28, 0.35, 1e-08, 0
262267201, 57.2, 6.4e-07, 1.03e-07, 4.64, 0.44, 1e-08, 0
262872001, 26.43, 4.96e-07, 1.08e-07, 3.39, 0.39, 1e-08, 0
263476801, 34.16, 5.3e-07, 1.13e-07, 5.9, 0.65, 1e-08, 0
264081601, 52.94, 8.11e-07, 1.33e-07, 3.69, 0.37, 1e-08, 0
264686401, 13.22, 4.33e-07, 1.34e-07, 3.46, 0.55, 1e-08, 0
265291201, 336.22, 2.09e-06, 1.4e-07, 3.57, 0.15, 1e-08, 0
265896001, 232.65, 1.51e-06, 1.2e-07, 3.99, 0.22, 1e-08, 0
266500801, 75.4, 8.58e-07, 1.19e-07, 4.21, 0.37, 1e-08, 0
267105601, 151.35, 1.21e-06, 1.2e-07, 3.72, 0.22, 1e-08, 0
267710401, 129.47, 1.09e-06, 1.19e-07, 4.25, 0.3, 1e-08, 0
268315201, 164.92, 1.35e-06, 1.3e-07, 3.76, 0.24, 1e-08, 0
268920001, 78.89, 9.35e-07, 1.35e-07, 4.91, 0.59, 1e-08, 0
269524801, 77.59, 9.28e-07, 1.32e-07, 4.4, 0.4, 1e-08, 0
270129601, 96.4, 1.02e-06, 1.27e-07, 3.67, 0.27, 1e-08, 0
270734401, 55.45, 6.63e-07, 1.1e-07, 5.36, 0.5, 1e-08, 0
271339201, 54.66, 7.04e-07, 1.14e-07, 4.22, 0.4, 1e-08, 0
271944001, 56.19, 7.6e-07, 1.2e-07, 4.04, 0.38, 1e-08, 0
272548801, 50.46, 6.7e-07, 1.14e-07, 4.11, 0.45, 1e-08, 0
273153601, 37.7, 6.45e-07, 1.27e-07, 4.17, 0.51, 1e-08, 0
273758401, 16.64, 4.24e-07, 1.21e-07, 3.88, 0.63, 1e-08, 0
274363201, 13.05, 3.59e-07, 1.17e-07, 4.28, 0.74, 1e-08, 0
274968001, 19.72, 5.39e-07, 1.38e-07, 3.37, 0.42, 1e-08, 0
275572801, 21.24, 6.05e-07, 1.5e-07, 3.53, 0.43, 1e-08, 0
276177601, 47.73, 9.15e-07, 1.55e-07, 3.61, 0.34, 1e-08, 0
276782401, 39.26, 8.09e-07, 1.49e-07, 3.47, 0.34, 1e-08, 0
277387201, 8.88, 2.75e-07, 1.1e-07, 5.77, 0.99, 1e-08, 0
277992001, 25.86, 5.51e-07, 1.26e-07, 3.86, 0.52, 1e-08, 0
278596801, 17.92, 4.1e-07, 1.19e-07, 4.77, 0.78, 1e-08, 0
279201601, 17.85, 4.33e-07, 1.19e-07, 4.07, 0.61, 1e-08, 0
279806401, 14.6, 3.73e-07, 1.18e-07, 6.62, 0.89, 1e-08, 0
280411201, 11.64, 4.14e-07, 1.4e-07, 3.95, 0.72, 1e-08, 0
281016001, 5.06, 2.86e-07, 1.4e-07, 3.46, 0.92, 1e-08, 0
281620801, 88.3, 1.17e-06, 1.5e-07, 3.58, 0.26, 1e-08, 0
282225601, 34.72, 6.77e-07, 1.31e-07, 3.27, 0.31, 1e-08, 0
282830401, 24.46, 5.1e-07, 1.24e-07, 4.74, 0.62, 1e-08, 0
283435201, 14.81, 3.96e-07, 1.21e-07, 4.49, 0.69, 1e-08, 0
284040001, 3.34, 1.68e-07, 1.05e-07, 6.42, 1.51, 1e-08, 0
284644801, 6.56, 2.99e-07, 1.32e-07, 3.77, 0.92, 1e-08, 0
285249601, 3.61, 2.15e-07, 1.26e-07, 3.99, 1.37, 1e-08, 0
285854401, 2.08, 1.27e-07, 1.01e-07, 6.55, 2.04, 1e-08, 0
286459201, 33.25, 6.25e-07, 1.28e-07, 4.1, 0.52, 1e-08, 0
287064001, 34.28, 5.87e-07, 1.21e-07, 4.39, 0.55, 1e-08, 0
287668801, 46.92, 7.41e-07, 1.29e-07, 3.71, 0.42, 1e-08, 0
288273601, 31.99, 5.29e-07, 1.14e-07, 4.88, 0.6, 1e-08, 0
288878401, 3.18, 1.58e-07, 1.01e-07, 6.68, 1.49, 1e-08, 0
289483201, 52.22, 8.39e-07, 1.35e-07, 3.56, 0.32, 1e-08, 0
290088001, 26.32, 6.04e-07, 1.33e-07, 3.32, 0.34, 1e-08, 0
290692801, 36.06, 6.88e-07, 1.34e-07, 3.89, 0.43, 1e-08, 0
291297601, 20.39, 4.77e-07, 1.23e-07, 4.17, 0.58, 1e-08, 0
291902401, 17.04, 3.18e-07, 9.6e-08, 8.07, 2.19, 1e-08, 0
292507201, 59.88, 7.65e-07, 1.23e-07, 4.32, 0.47, 1e-08, 0
293112001, 53.29, 8.22e-07, 1.34e-07, 3.89, 0.39, 1e-08, 0
294321601, 7.91, 2.81e-07, 1.18e-07, 5.08, 1.12, 1e-08, 0
294926401, 25.81, 5.47e-07, 1.24e-07, 3.79, 0.6, 1e-08, 0
295531201, 45.14, 7.28e-07, 1.26e-07, 3.52, 0.33, 1e-08, 0
296136001, 80.3, 9.51e-07, 1.3e-07, 4.05, 0.36, 1e-08, 0
296740801, 93.46, 1.09e-06, 1.39e-07, 4.07, 0.34, 1e-08, 0
297345601, 31.04, 6.3e-07, 1.31e-07, 3.69, 0.44, 1e-08, 0
297950401, 56.26, 9.14e-07, 1.48e-07, 4.28, 0.44, 1e-08, 0
298555201, 26.06, 6.81e-07, 1.51e-07, 3.45, 0.38, 1e-08, 0
299160001, 12.13, 3.83e-07, 1.29e-07, 5.77, 0.87, 1e-08, 0
299764801, 24.76, 5.58e-07, 1.35e-07, 5.41, 0.68, 1e-08, 0
300369601, 62.39, 8.75e-07, 1.36e-07, 4.32, 0.44, 1e-08, 0
300974401, 137.94, 1.27e-06, 1.35e-07, 3.88, 0.28, 1e-08, 0
301579201, 85.27, 1.01e-06, 1.31e-07, 3.74, 0.32, 1e-08, 0
302184001, 18.52, 4.73e-07, 1.25e-07, 3.44, 0.49, 1e-08, 0
302788801, 25.44, 5.98e-07, 1.39e-07, 4.27, 0.54, 1e-08, 0
303393601, 25.38, 6.54e-07, 1.47e-07, 3.46, 0.39, 1e-08, 0
303998401, 9.09, 3.73e-07, 1.4e-07, 3.92, 0.64, 1e-08, 0
304603201, 4.75, 2.77e-07, 1.41e-07, 3.45, 0.91, 1e-08, 0
305208001, 15.47, 4.11e-07, 1.22e-07, 3.79, 0.63, 1e-08, 0
305812801, 11.19, 3.5e-07, 1.19e-07, 3.52, 0.63, 1e-08, 0
306417601, 43.73, 8e-07, 1.4e-07, 3.54, 0.36, 1e-08, 0
307022401, 188.13, 9.28e-07, 8.3e-08, 4.01, 0.25, 1e-08, 0
307627201, 64.82, 1.03e-06, 1.5e-07, 3.54, 0.29, 1e-08, 0
308232001, 52.38, 9e-07, 1.49e-07, 3.97, 0.39, 1e-08, 0
308836801, 17.79, 5.31e-07, 1.45e-07, 3.89, 0.54, 1e-08, 0
309441601, 51.37, 8.41e-07, 1.41e-07, 3.93, 0.42, 1e-08, 0
310046401, 47.1, 6.7e-07, 1.19e-07, 4.96, 0.5, 1e-08, 0
310651201, 3.26, 1.8e-07, 1.1e-07, 4.17, 1.49, 1e-08, 0
311256001, 1.39, 1.2e-07, 1.09e-07, 4.03, 12.5, 1e-08, 102
311860801, 2.08, 1.32e-07, 1.03e-07, 6.56, 1.93, 1e-08, 0
312465601, 4.06, 2.03e-07, 1.19e-07, 7.31, 1.6, 1e-08, 0
313070401, 1.79, 1.63e-07, 2.56e-07, 3.21, 8.27, 1e-08, 102
313675201, 18.68, 5.27e-07, 1.41e-07, 3.83, 0.56, 1e-08, 0
314280001, 17.13, 4.39e-07, 1.26e-07, 4.63, 0.68, 1e-08, 0
314884801, 47.08, 7.61e-07, 1.3e-07, 3.52, 0.35, 1e-08, 0
315489601, 33.4, 7.56e-07, 1.57e-07, 3.75, 0.49, 1e-08, 0
316094401, 23.81, 5.39e-07, 1.27e-07, 3.64, 0.49, 1e-08, 0
316699201, 25.27, 5.34e-07, 1.25e-07, 4.33, 0.54, 1e-08, 0
317304001, 10.24, 3.49e-07, 1.26e-07, 4.28, 0.74, 1e-08, 0
317908801, 23.6, 4.68e-07, 1.16e-07, 5.36, 0.76, 1e-08, 0
