timestamp, ts, flux_upper_limits, fit_tolerance, fit_convergence
240883201, 0.0, 1.36e-08, 1e-08, 0
246067201, 0.0, 1.2e-08, 1e-08, 0
261619201, 0.0, 1.06e-08, 1e-08, 0
264211201, 0.89, 1.89e-08, 1e-08, 0
266803201, 0.28, 1.37e-08, 1e-08, 0
269395201, 0.59, 1.39e-08, 1e-08, 0
274579201, 0.0, 1.07e-08, 1e-08, 1
277171201, 0.81, 1.59e-08, 1e-08, 0
282355201, 0.0, 1.26e-08, 1e-08, 102
287539201, 0.0, 9.62e-09, 1e-08, 0
300499201, 0.46, 9.75e-09, 1e-08, 0
303091201, 0.18, 1.08e-08, 1e-08, 0
310867201, 0.29, 1.17e-08, 1e-08, 1
313459201, 0.49, 1.73e-08, 1e-08, 0
316051201, 0.0, 1.32e-08, 1e-08, 102
321235201, 0.77, 1.48e-08, 1e-08, 0
323827201, 0.59, 1.2e-08, 1e-08, 0
326419201, 0.0, 8.68e-09, 1e-08, 0
329011201, 0.09, 1.44e-08, 1e-08, 0
331603201, 0.37, 1.33e-08, 1e-08, 0
334195201, 0.0, 1.28e-08, 1e-08, 0
336787201, 0.0, 1.13e-08, 1e-08, 102
341971201, 0.7, 1.15e-08, 1e-08, 0
362707201, 0.96, 1.49e-08, 1e-08, 0
370483201, 0.15, 1.33e-08, 1e-08, 0
401587201, 0.0, 1.05e-08, 1e-08, 102
404179201, 0.01, 1.21e-08, 1e-08, 0
406771201, 0.31, 1.26e-08, 1e-08, 0
409363201, 0.0, 1.61e-08, 1e-08, 0
417139201, 0.86, 1.4e-08, 1e-08, 0
422323201, 0.16, 9.71e-09, 1e-08, 1
424915201, 0.29, 1.42e-08, 1e-08, 0
427507201, 0.12, 1.42e-08, 1e-08, 0
430099201, 0.0, 8.56e-09, 1e-08, 0
432691201, 0.04, 1.43e-08, 1e-08, 0
437875201, 0.78, 1.49e-08, 1e-08, 0
463795201, 0.23, 8.66e-09, 1e-08, 0
468979201, 0.63, 1.25e-08, 1e-08, 0
476755201, 0.05, 1.16e-08, 1e-08, 1
484531201, 0.0, 9.93e-09, 1e-08, 0
487123201, 0.46, 1.72e-08, 1e-08, 0
489715201, 0.94, 1.65e-08, 1e-08, 0
492307201, 0.42, 1.91e-08, 1e-08, 0
494899201, 0.0, 9.83e-09, 1e-08, 0
505267201, 0.2, 1.52e-08, 1e-08, 0
507859201, 0.89, 2.12e-08, 1e-08, 0
513043201, 0.0, 1.2e-08, 1e-08, 0
515635201, 0.0, 1.31e-08, 1e-08, 102
531187201, 0.28, 1.44e-08, 1e-08, 0
533779201, 0.0, 1.08e-08, 1e-08, 0
544147201, 0.0, 2.03e-07, 1e-08, 0
585619201, 0.27, 3.22e-08, 1e-08, 0
598579201, 0.1, 2.38e-08, 1e-08, 1
603763201, 0.37, 2.11e-08, 1e-08, 0
627091201, 0.46, 1.46e-08, 1e-08, 0
629683201, 0.43, 1.29e-08, 1e-08, 0
632275201, 0.0, 1.19e-08, 1e-08, 0
634867201, 0.0, 1.12e-08, 1e-08, 0
640051201, 0.51, 1.11e-08, 1e-08, 0
642643201, 0.5, 1.73e-08, 1e-08, 0
650419201, 0.91, 1.64e-08, 1e-08, 0
653011201, 0.0, 9.46e-09, 1e-08, 0
655603201, 0.91, 1.3e-08, 1e-08, 0
658195201, 0.22, 1.11e-08, 1e-08, 0
663379201, 0.66, 3.38e-08, 1e-08, 0
673747201, 0.0, 8.03e-09, 1e-08, 1
676339201, 0.0, 1.17e-08, 1e-08, 102
678931201, 0.88, 1.91e-08, 1e-08, 0
691891201, 0.0, 1.07e-08, 1e-08, 102
694483201, 0.59, 2.24e-08, 1e-08, 0
699667201, 0.6, 1.82e-08, 1e-08, 0
710035201, 0.71, 2.16e-08, 1e-08, 0
