timestamp, ts, flux, flux_error, photon_index, photon_index_interval, fit_tolerance, fit_convergence
240883201, 1.94, 1.54e-08, 1.34e-08, 2.62, 0, 1e-08, 0
246067201, 38.17, 6.32e-08, 1.37e-08, 2.62, 0, 1e-08, 0
248659201, 24.56, 4.85e-08, 1.22e-08, 2.62, 0, 1e-08, 0
251251201, 18.67, 4.75e-08, 1.51e-08, 2.62, 0, 1e-08, 0
253843201, 7.3, 2.81e-08, 1.35e-08, 2.62, 0, 1e-08, 0
256435201, 7.01, 2.5e-08, 1.11e-08, 2.62, 0, 1e-08, 0
259027201, 7.97, 3.24e-08, 1.45e-08, 2.62, 0, 1e-08, 0
261619201, 10.13, 3.01e-08, 1.16e-08, 2.62, 0, 1e-08, 0
264211201, 27.01, 5.2e-08, 1.32e-08, 2.62, 0, 1e-08, 0
266803201, 28.44, 5.11e-08, 1.26e-08, 2.62, 0, 1e-08, 0
269395201, 29.63, 6.95e-08, 1.68e-08, 2.62, 0, 1e-08, 0
271987201, 5.03, 2.47e-08, 1.3e-08, 2.62, 0, 1e-08, 0
284947201, 1.75, 1.67e-08, 1.41e-08, 2.62, 0, 1e-08, 0
290131201, 2.25, 1.5e-08, 1.16e-08, 2.62, 0, 1e-08, 0
292723201, 17.27, 4.71e-08, 1.42e-08, 2.62, 0, 1e-08, 0
295315201, 1.23, 1.19e-08, 1.18e-08, 2.62, 0, 1e-08, 0
297907201, 2.13, 1.69e-08, 1.42e-08, 2.62, 0, 1e-08, 0
300499201, 2.06, 1.59e-08, 1.3e-08, 2.62, 0, 1e-08, 0
303091201, 5.0, 2.77e-08, 1.53e-08, 2.62, 0, 1e-08, 0
318643201, 5.09, 2.34e-08, 1.21e-08, 2.62, 0, 1e-08, 0
323827201, 7.65, 2.69e-08, 1.18e-08, 2.62, 0, 1e-08, 0
326419201, 5.66, 2.42e-08, 1.25e-08, 2.62, 0, 1e-08, 0
329011201, 15.12, 3.78e-08, 1.24e-08, 2.62, 0, 1e-08, 0
349747201, 5.07, 2.73e-08, 1.46e-08, 2.62, 0, 1e-08, 0
375667201, 9.97, 3.52e-08, 1.4e-08, 2.62, 0, 1e-08, 0
378259201, 21.18, 5.38e-08, 1.59e-08, 2.62, 0, 1e-08, 0
380851201, 3.1, 2.23e-08, 1.51e-08, 2.62, 0, 1e-08, 0
383443201, 3.99, 1.77e-08, 1.04e-08, 2.62, 0, 1e-08, 0
386035201, 8.86, 3.52e-08, 1.45e-08, 2.62, 0, 1e-08, 0
388627201, 9.96, 3.25e-08, 1.35e-08, 2.62, 0, 1e-08, 0
398995201, 2.19, 1.65e-08, 1.32e-08, 2.62, 0, 1e-08, 0
414547201, 1.04, 9.23e-09, 1.09e-08, 2.62, 0, 1e-08, 0
422323201, 2.34, 1.86e-08, 1.33e-08, 2.62, 0, 1e-08, 0
432691201, 1.03, 8.21e-09, 9.46e-09, 2.62, 0, 1e-08, 0
443059201, 4.56, 2.37e-08, 1.26e-08, 2.62, 0, 1e-08, 0
448243201, 3.09, 1.92e-08, 1.35e-08, 2.62, 0, 1e-08, 0
458611201, 48.21, 8.79e-08, 1.83e-08, 2.62, 0, 1e-08, 0
463795201, 6.04, 2.45e-08, 1.22e-08, 2.62, 0, 1e-08, 0
466387201, 5.58, 2.14e-08, 1.13e-08, 2.62, 0, 1e-08, 0
468979201, 17.65, 4.82e-08, 1.42e-08, 2.62, 0, 1e-08, 0
474163201, 7.46, 2.69e-08, 1.2e-08, 2.62, 0, 1e-08, 0
