timestamp, ts, flux_upper_limits, fit_tolerance, fit_convergence
239716801, 0.0, 1.45e-07, 1e-08, 102
239976001, 0.0, 1.88e-07, 1e-08, 102
240235201, 0.5, 3.47e-07, 1e-08, 0
240494401, 0.0, 3.28e-07, 1e-08, 102
240753601, 0.0, 2.46e-07, 1e-08, 102
241012801, 0.37, 3.95e-07, 1e-08, 102
241272001, 0.5, 4.19e-07, 1e-08, 0
241531201, 0.0, 3.11e-07, 1e-08, 102
241790401, 0.0, 3.5e-07, 1e-08, 102
242049601, 0.0, 2.02e-07, 1e-08, 102
242308801, 0.0, 2.57e-07, 1e-08, 102
242568001, 0.0, 2.42e-07, 1e-08, 102
243604801, 0.0, 3.26e-07, 1e-08, 0
244123201, 0.0, 2.87e-07, 1e-08, 102
244382401, 0.03, 3.76e-07, 1e-08, 0
244641601, 0.39, 3.74e-07, 1e-08, 0
244900801, 0.23, 3.88e-07, 1e-08, 0
245160001, 0.83, 3.49e-07, 1e-08, 0
245419201, 0.0, 3.48e-07, 1e-08, 102
245678401, 0.03, 3.67e-07, 1e-08, 0
245937601, 0.0, 2.43e-07, 1e-08, 102
246456001, 0.0, 2.73e-07, 1e-08, 102
246715201, 0.0, 2.31e-07, 1e-08, 0
246974401, 0.0, 2.57e-07, 1e-08, 102
247233601, 0.0, 2.17e-07, 1e-08, 102
247492801, 0.1, 2.77e-07, 1e-08, 0
247752001, 0.0, 1.94e-07, 1e-08, 102
248011201, 0.0, 1.58e-07, 1e-08, 102
248270401, 0.99, 2.67e-07, 1e-08, 0
248529601, 0.0, 2.57e-07, 1e-08, 102
248788801, 0.0, 2.62e-07, 1e-08, 102
249048001, 0.0, 2.43e-07, 1e-08, 102
249307201, 0.0, 3.36e-07, 1e-08, 102
249566401, 0.0, 2.4e-07, 1e-08, 102
249825601, 0.12, 3.98e-07, 1e-08, 0
250084801, 0.0, 2.19e-07, 1e-08, 102
250344001, 0.0, 2.67e-07, 1e-08, 102
250603201, 0.0, 2.8e-07, 1e-08, 102
250862401, 0.0, 3.12e-07, 1e-08, 102
251121601, 0.0, 2.92e-07, 1e-08, 102
251380801, 0.02, 3.55e-07, 1e-08, 0
251899201, 0.22, 3.1e-07, 1e-08, 102
252417601, 0.0, 1.95e-07, 1e-08, 102
253454401, 0.0, 3.12e-07, 1e-08, 102
253713601, 0.44, 4.12e-07, 1e-08, 0
253972801, 0.55, 3.87e-07, 1e-08, 0
254491201, 0.0, 2.26e-07, 1e-08, 102
254750401, 0.0, 3.09e-07, 1e-08, 102
255009601, 0.0, 2.04e-07, 1e-08, 102
255528001, 0.0, 3.19e-07, 1e-08, 102
255787201, 0.03, 3.56e-07, 1e-08, 0
256046401, 0.0, 3.02e-07, 1e-08, 102
257083201, 0.28, 3.59e-07, 1e-08, 0
257601601, 0.0, 2.53e-07, 1e-08, 102
257860801, 0.0, 2.57e-07, 1e-08, 102
258120001, 0.0, 2.74e-07, 1e-08, 102
258379201, 0.77, 5.09e-07, 1e-08, 0
258897601, 0.2, 5.16e-07, 1e-08, 0
259156801, 0.84, 2e-07, 1e-08, 0
259416001, 0.0, 3.9e-07, 1e-08, 102
259675201, 0.0, 3.07e-07, 1e-08, 102
259934401, 0.01, 3.37e-07, 1e-08, 0
260971201, 0.62, 3.05e-07, 1e-08, 0
261230401, 0.0, 1.8e-07, 1e-08, 102
261489601, 0.0, 2.59e-07, 1e-08, 102
261748801, 0.0, 2.61e-07, 1e-08, 102
262008001, 0.03, 3.15e-07, 1e-08, 0
262267201, 0.14, 3.65e-07, 1e-08, 0
262526401, 0.0, 2.35e-07, 1e-08, 102
262785601, 0.0, 2.07e-07, 1e-08, 102
263044801, 0.0, 3.41e-07, 1e-08, 102
263304001, 0.0, 3.48e-07, 1e-08, 102
263563201, 0.0, 2.56e-07, 1e-08, 102
263822401, 0.66, 5.09e-07, 1e-08, 0
264340801, 0.0, 2.57e-07, 1e-08, 102
264600001, 0.0, 2.33e-07, 1e-08, 102
264859201, 0.68, 4.99e-07, 1e-08, 0
265118401, 0.14, 2.15e-07, 1e-08, 0
265636801, 0.0, 2.43e-07, 1e-08, 102
265896001, 0.6, 3.81e-07, 1e-08, 0
266155201, 0.0, 1.89e-07, 1e-08, 102
266414401, 0.0, 2.99e-07, 1e-08, 102
266673601, 0.13, 3.08e-07, 1e-08, 0
266932801, 0.0, 2.41e-07, 1e-08, 102
267192001, 0.0, 1.98e-07, 1e-08, 102
267451201, 0.0, 2.59e-07, 1e-08, 102
267710401, 0.94, 4.1e-07, 1e-08, 0
268488001, 0.0, 2.12e-07, 1e-08, 102
268747201, 0.0, 2.44e-07, 1e-08, 102
269006401, 0.42, 4.6e-07, 1e-08, 0
270043201, 0.06, 3.26e-07, 1e-08, 0
270302401, 0.0, 2.62e-07, 1e-08, 102
270820801, 0.0, 2.68e-07, 1e-08, 102
271080001, 0.0, 2.72e-07, 1e-08, 102
271339201, 0.0, 2.92e-07, 1e-08, 102
271598401, 0.0, 1.94e-07, 1e-08, 102
271857601, 0.0, 3.09e-07, 1e-08, 102
272116801, 0.0, 3.13e-07, 1e-08, 102
272376001, 0.0, 2.4e-07, 1e-08, 102
272635201, 0.0, 1.89e-07, 1e-08, 102
272894401, 0.0, 2.72e-07, 1e-08, 102
273153601, 0.0, 3.1e-07, 1e-08, 102
273412801, 0.0, 3.87e-07, 1e-08, 102
273672001, 0.0, 3.45e-07, 1e-08, 102
