timestamp, ts, flux_upper_limits, fit_tolerance, fit_convergence
240883201, 0.0, 4.89e-08, 1e-08, 102
246067201, 0.0, 6.72e-08, 1e-08, 102
248659201, 0.0, 4.51e-08, 1e-08, 102
251251201, 0.0, 5.55e-08, 1e-08, 102
253843201, 0.07, 8.35e-08, 1e-08, 0
259027201, 0.0, 5.59e-08, 1e-08, 102
261619201, 0.0, 6.5e-08, 1e-08, 102
264211201, 0.0, 8.31e-08, 1e-08, 102
266803201, 0.21, 7.89e-08, 1e-08, 0
271987201, 0.0, 4.2e-08, 1e-08, 102
279763201, 0.0, 5.67e-08, 1e-08, 102
287539201, 0.49, 1.04e-07, 1e-08, 0
295315201, 0.0, 2.84e-08, 1e-08, 102
303091201, 0.0, 6.77e-08, 1e-08, 102
310867201, 0.0, 9.32e-08, 1e-08, 102
313459201, 0.0, 6.73e-08, 1e-08, 102
316051201, 0.0, 7.34e-08, 1e-08, 102
323827201, 0.0, 5.9e-08, 1e-08, 102
326419201, 0.0, 3.7e-08, 1e-08, 102
329011201, 0.03, 1.07e-07, 1e-08, 0
334195201, 0.0, 4.02e-08, 1e-08, 102
336787201, 0.0, 5.22e-08, 1e-08, 102
341971201, 0.53, 1.19e-07, 1e-08, 0
344563201, 0.79, 6.47e-08, 1e-08, 0
349747201, 0.0, 5.71e-08, 1e-08, 102
352339201, 0.53, 7.91e-08, 1e-08, 0
357523201, 0.0, 8.61e-08, 1e-08, 102
360115201, 0.28, 7.36e-08, 1e-08, 0
367891201, 0.0, 7.54e-08, 1e-08, 102
370483201, 0.27, 9.7e-08, 1e-08, 0
373075201, 0.0, 8.02e-08, 1e-08, 102
380851201, 0.0, 7.1e-08, 1e-08, 102
383443201, 0.0, 6.04e-08, 1e-08, 102
388627201, 0.74, 1.32e-07, 1e-08, 102
391219201, 0.0, 7.5e-08, 1e-08, 102
398995201, 0.0, 4.84e-08, 1e-08, 102
401587201, 0.0, 7.69e-08, 1e-08, 102
406771201, 0.0, 5.71e-08, 1e-08, 102
414547201, 0.0, 5.81e-08, 1e-08, 102
417139201, 0.0, 6.66e-08, 1e-08, 102
419731201, 0.45, 1.09e-07, 1e-08, 0
432691201, 0.76, 9.97e-08, 1e-08, 0
435283201, 0.66, 1.38e-07, 1e-08, 0
445651201, 0.0, 5.13e-08, 1e-08, 102
448243201, 0.0, 4.75e-08, 1e-08, 102
450835201, 0.36, 9.46e-08, 1e-08, 0
453427201, 0.0, 5.78e-08, 1e-08, 102
458611201, 0.0, 5.93e-08, 1e-08, 0
461203201, 0.37, 1.03e-07, 1e-08, 0
466387201, 0.92, 8.87e-08, 1e-08, 0
471571201, 0.0, 6e-08, 1e-08, 102
479347201, 0.0, 6.39e-08, 1e-08, 102
481939201, 0.0, 5.63e-08, 1e-08, 102
484531201, 0.0, 7.31e-08, 1e-08, 102
492307201, 0.0, 4.92e-08, 1e-08, 102
494899201, 0.0, 5.81e-08, 1e-08, 102
497491201, 0.03, 1.23e-07, 1e-08, 0
500083201, 0.0, 6.83e-08, 1e-08, 102
502675201, 0.32, 8.29e-08, 1e-08, 0
507859201, 0.0, 8.05e-08, 1e-08, 102
510451201, 0.0, 4.17e-08, 1e-08, 102
515635201, 0.35, 6.6e-08, 1e-08, 0
518227201, 0.0, 3.62e-08, 1e-08, 102
520819201, 0.23, 1.25e-07, 1e-08, 0
526003201, 0.0, 7.89e-08, 1e-08, 102
528595201, 0.4, 1.12e-07, 1e-08, 0
533779201, 0.0, 7.55e-08, 1e-08, 102
536371201, 0.0, 8.01e-08, 1e-08, 102
538963201, 0.36, 5.46e-08, 1e-08, 0
541555201, 0.0, 8.09e-08, 1e-08, 102
544147201, 0.0, 1.16e-07, 1e-08, 102
546739201, 0.0, 3.58e-08, 1e-08, 102
549331201, 0.0, 4.96e-08, 1e-08, 102
551923201, 0.2, 8.9e-08, 1e-08, 0
554515201, 0.64, 8.77e-08, 1e-08, 0
564883201, 0.32, 9.52e-08, 1e-08, 0
567475201, 0.0, 5.33e-08, 1e-08, 102
572659201, 0.0, 5.41e-08, 1e-08, 102
575251201, 0.0, 8.84e-08, 1e-08, 102
577843201, 0.0, 6.64e-08, 1e-08, 102
580435201, 0.3, 7.12e-08, 1e-08, 0
588211201, 0.0, 3.65e-08, 1e-08, 102
590803201, 0.0, 5.45e-08, 1e-08, 102
601171201, 0.35, 9.62e-08, 1e-08, 0
603763201, 0.0, 5.61e-08, 1e-08, 102
606355201, 0.0, 7.12e-08, 1e-08, 102
608947201, 0.0, 7.81e-08, 1e-08, 102
611539201, 0.0, 4.34e-08, 1e-08, 102
614131201, 0.0, 4.97e-08, 1e-08, 102
616723201, 0.0, 8.11e-08, 1e-08, 102
621907201, 0.0, 6.55e-08, 1e-08, 102
629683201, 0.0, 7.93e-08, 1e-08, 102
