timestamp, ts, flux_upper_limits, fit_tolerance, fit_convergence
239889601, 0.0, 7.84e-08, 1e-08, 102
240494401, 0.08, 2.12e-07, 1e-08, 0
241099201, 0.21, 2.36e-07, 1e-08, 102
241704001, 0.0, 1.78e-07, 1e-08, 102
242308801, 0.0, 1.16e-07, 1e-08, 102
244728001, 0.0, 2.33e-07, 1e-08, 102
245332801, 0.21, 1.79e-07, 1e-08, 0
245937601, 0.46, 2.55e-07, 1e-08, 0
246542401, 0.0, 1.49e-07, 1e-08, 102
247147201, 0.0, 1.33e-07, 1e-08, 102
247752001, 0.0, 1.02e-07, 1e-08, 102
248356801, 0.25, 1.41e-07, 1e-08, 0
248961601, 0.0, 1.35e-07, 1e-08, 102
249566401, 0.0, 1.71e-07, 1e-08, 102
250171201, 0.0, 1.37e-07, 1e-08, 102
250776001, 0.0, 1.65e-07, 1e-08, 102
251380801, 0.0, 2.15e-07, 1e-08, 102
252590401, 0.0, 1.57e-07, 1e-08, 102
253195201, 0.52, 2.08e-07, 1e-08, 0
254404801, 0.0, 1.32e-07, 1e-08, 102
255009601, 0.0, 1.36e-07, 1e-08, 102
258033601, 0.0, 1.36e-07, 1e-08, 102
258638401, 0.0, 1.17e-07, 1e-08, 102
259243201, 0.17, 1.53e-07, 1e-08, 0
259848001, 0.0, 2.09e-07, 1e-08, 102
261057601, 0.0, 1.39e-07, 1e-08, 102
261662401, 0.0, 1.28e-07, 1e-08, 102
262267201, 0.55, 2.13e-07, 1e-08, 102
262872001, 0.0, 1.37e-07, 1e-08, 102
263476801, 0.0, 1.56e-07, 1e-08, 102
264686401, 0.0, 1.79e-07, 1e-08, 102
265291201, 0.0, 1.4e-07, 1e-08, 102
265896001, 0.0, 1.62e-07, 1e-08, 102
266500801, 0.0, 1.74e-07, 1e-08, 102
267105601, 0.0, 1.08e-07, 1e-08, 102
268920001, 0.0, 2.26e-07, 1e-08, 102
270129601, 0.0, 1.77e-07, 1e-08, 102
271339201, 0.0, 1.34e-07, 1e-08, 102
271944001, 0.0, 1.67e-07, 1e-08, 102
272548801, 0.0, 1.04e-07, 1e-08, 102
273153601, 0.0, 1.49e-07, 1e-08, 102
273758401, 0.0, 1.48e-07, 1e-08, 0
274363201, 0.0, 1.4e-07, 1e-08, 102
275572801, 0.85, 1.92e-07, 1e-08, 0
277992001, 0.0, 2.4e-07, 1e-08, 102
278596801, 0.0, 1.59e-07, 1e-08, 102
279806401, 0.0, 1.2e-07, 1e-08, 102
280411201, 0.05, 1.84e-07, 1e-08, 0
281016001, 0.0, 1.53e-07, 1e-08, 102
281620801, 0.09, 1.61e-07, 1e-08, 0
282225601, 0.0, 2.52e-07, 1e-08, 102
285854401, 0.59, 2.75e-07, 1e-08, 0
286459201, 0.22, 3.11e-07, 1e-08, 0
287668801, 0.0, 1.3e-07, 1e-08, 102
288878401, 0.0, 8.89e-08, 1e-08, 102
290088001, 0.07, 2.01e-07, 1e-08, 0
290692801, 0.0, 1.4e-07, 1e-08, 102
291297601, 0.0, 1.56e-07, 1e-08, 102
292507201, 0.0, 2.17e-07, 1e-08, 102
293716801, 0.09, 1.81e-07, 1e-08, 0
294321601, 0.0, 7.33e-08, 1e-08, 102
294926401, 0.0, 8.46e-08, 1e-08, 102
295531201, 0.0, 1.48e-07, 1e-08, 102
296136001, 0.0, 1.58e-07, 1e-08, 102
296740801, 0.43, 2.45e-07, 1e-08, 0
298555201, 0.0, 1.03e-07, 1e-08, 102
299764801, 0.0, 1.99e-07, 1e-08, 102
300974401, 0.0, 2.55e-07, 1e-08, 102
302184001, 0.66, 2.42e-07, 1e-08, 0
302788801, 0.0, 1.38e-07, 1e-08, 102
303998401, 0.0, 1.34e-07, 1e-08, 102
304603201, 0.24, 2.3e-07, 1e-08, 0
306417601, 0.0, 1.3e-07, 1e-08, 102
307022401, 0.0, 8.4e-08, 1e-08, 102
308232001, 0.18, 1.81e-07, 1e-08, 0
310046401, 0.0, 2.54e-07, 1e-08, 102
310651201, 0.0, 1.58e-07, 1e-08, 102
311256001, 0.0, 1.83e-07, 1e-08, 102
311860801, 0.03, 1.92e-07, 1e-08, 0
312465601, 0.59, 1.76e-07, 1e-08, 102
313070401, 0.0, 9.21e-08, 1e-08, 102
314280001, 0.0, 1.9e-07, 1e-08, 102
314884801, 0.0, 1.3e-07, 1e-08, 102
316094401, 0.0, 1.45e-07, 1e-08, 102
317304001, 0.56, 1.84e-07, 1e-08, 0
317908801, 0.0, 1.53e-07, 1e-08, 102
319118401, 0.0, 2.63e-07, 1e-08, 102
319723201, 0.65, 2.59e-07, 1e-08, 0
320328001, 0.0, 1.09e-07, 1e-08, 102
