timestamp, ts, flux, flux_error, photon_index, photon_index_interval, fit_tolerance, fit_convergence
239889601, 1.37, 6.28e-09, 7.24e-09, 1.31, 0.65, 1e-08, 0
242308801, 1.4, 2.73e-08, 2.56e-08, 4.16, 1.93, 1e-08, 0
243518401, 2.19, 2.33e-08, 2.56e-08, 2.81, 1.12, 1e-08, 0
245332801, 4.52, 5.62e-08, 3.63e-08, 2.79, 0.71, 1e-08, 0
247752001, 4.45, 1.43e-08, 1.58e-08, 1.92, 0.75, 1e-08, 0
249566401, 2.7, 5.2e-08, 4.31e-08, 5.0, 0, 1e-08, 0
250776001, 3.83, 3.68e-09, 5.06e-09, 1.12, 0.85, 1e-08, 0
251985601, 2.55, 1.11e-08, 1.77e-08, 2.24, 1.14, 1e-08, 0
252590401, 9.9, 8.02e-09, 6.46e-09, 1.11, 0.58, 1e-08, 0
254404801, 4.54, 1.78e-08, 2.4e-08, 1.98, 0.92, 1e-08, 0
255009601, 4.52, 4.61e-09, 4.35e-09, 0.84, 0.65, 1e-08, 0
256824001, 4.83, 1.88e-08, 1.7e-08, 2.03, 0.61, 1e-08, 0
258033601, 5.83, 7.63e-08, 4.68e-08, 5.0, 0, 1e-08, 0
259848001, 18.09, 8.09e-08, 3.5e-08, 2.54, 0.41, 1e-08, 0
260452801, 3.62, 1.58e-09, 1.94e-09, 0.67, 0.83, 1e-08, 0
261057601, 9.57, 1.25e-08, 9.37e-09, 1.45, 0.47, 1e-08, 0
261662401, 10.54, 5.86e-08, 3.32e-08, 2.74, 0.63, 1e-08, 0
262872001, 3.64, 2.9e-08, 2.43e-08, 2.37, 0.77, 1e-08, 0
263476801, 2.28, 7.4e-09, 9.5e-09, 1.24, 0.82, 1e-08, 0
264081601, 1.28, 3.58e-08, 4.15e-08, 5.0, 0, 1e-08, 0
264686401, 4.46, 6.03e-08, 4.39e-08, 3.69, 2.92, 1e-08, 0
265291201, 18.01, 3.29e-08, 2.36e-08, 2.03, 0.53, 1e-08, 0
265896001, 137.83, 1.85e-07, 3.6e-08, 2.2, 0.17, 1e-08, 0
266500801, 68.88, 9.78e-08, 2.43e-08, 1.94, 0.21, 1e-08, 0
267105601, 3.1, 4.06e-08, 4.09e-08, 3.31, 2.22, 1e-08, 0
268315201, 1.72, 3.42e-08, 5.04e-08, 3.02, 3.3, 1e-08, 0
268920001, 5.87, 1.13e-08, 1.1e-08, 1.49, 0.63, 1e-08, 0
269524801, 4.06, 1.38e-08, 1.48e-08, 1.8, 0.74, 1e-08, 0
270734401, 2.01, 4.38e-08, 4.13e-08, 5.0, 0, 1e-08, 0
276782401, 2.4, 6.34e-08, 5.45e-08, 3.93, 4.24, 1e-08, 0
281016001, 6.86, 4.06e-08, 2.69e-08, 2.25, 0.5, 1e-08, 0
282225601, 2.76, 5.53e-08, 4.24e-08, 3.51, 2.03, 1e-08, 0
282830401, 2.59, 2e-09, 2.33e-09, 0.35, 0.79, 1e-08, 0
284644801, 2.64, 5.14e-08, 3.52e-08, 4.42, 6.13, 1e-08, 102
286459201, 3.12, 2.49e-08, 2.48e-08, 2.17, 0.78, 1e-08, 0
288273601, 2.27, 2.8e-08, 2.68e-08, 2.53, 0.83, 1e-08, 0
289483201, 3.93, 2.34e-09, 2.71e-09, 0.62, 0.85, 1e-08, 0
290088001, 2.4, 3.84e-08, 3.38e-08, 2.85, 0.71, 1e-08, 0
292507201, 5.0, 2.04e-08, 1.77e-08, 1.93, 0.61, 1e-08, 0
293112001, 3.61, 6.42e-08, 4.88e-08, 5.0, 0, 1e-08, 0
296740801, 2.19, 5.7e-08, 4.9e-08, 5.0, 0, 1e-08, 0
297345601, 1.3, 2.83e-09, 4.85e-09, 1.33, 1.08, 1e-08, 0
298555201, 2.0, 5.49e-09, 6.51e-09, 1.49, 0.77, 1e-08, 0
299160001, 2.45, 4.3e-08, 3.46e-08, 3.07, 1.04, 1e-08, 0
303998401, 1.48, 5.06e-08, 4.74e-08, 5.0, 0, 1e-08, 0
304603201, 2.32, 5.5e-09, 8.09e-09, 1.33, 0.87, 1e-08, 0
308232001, 2.51, 1.5e-08, 1.43e-08, 1.8, 0.67, 1e-08, 0
312465601, 10.86, 9.71e-08, 3.97e-08, 3.74, 1.46, 1e-08, 0
314884801, 6.6, 7.46e-09, 8.13e-09, 1.14, 0.71, 1e-08, 0
315489601, 2.95, 5.63e-09, 8.47e-09, 1.27, 0.98, 1e-08, 0
316699201, 5.88, 3.54e-08, 2.26e-08, 2.31, 0.52, 1e-08, 0
318513601, 1.7, 4.73e-08, 4.19e-08, 5.0, 0, 1e-08, 0
319723201, 4.52, 4.15e-09, 4.79e-09, 0.8, 0.75, 1e-08, 0
320932801, 1.2, 3.83e-08, 4.24e-08, 5.0, 0, 1e-08, 0
322142401, 2.18, 4.89e-09, 7.89e-09, 1.13, 0.94, 1e-08, 0
324561601, 1.05, 1.12e-08, 1.62e-08, 2.53, 1.04, 1e-08, 0
325771201, 2.72, 4.67e-08, 3.63e-08, 3.68, 1.81, 1e-08, 0
326980801, 8.7, 3.41e-08, 2.76e-08, 2.08, 0.6, 1e-08, 0
327585601, 16.39, 2.05e-07, 6.7e-08, 4.84, 1.25, 1e-08, 0
328190401, 1.26, 1.03e-08, 1.25e-08, 1.66, 0.7, 1e-08, 0
329400001, 1.59, 5.67e-08, 5.13e-08, 5.0, 0, 1e-08, 0
332424001, 5.94, 7.64e-08, 4.38e-08, 3.08, 0.68, 1e-08, 0
333028801, 2.93, 3.47e-08, 3.26e-08, 2.62, 0.79, 1e-08, 0
336657601, 6.04, 9.41e-08, 6.17e-08, 3.37, 1.06, 1e-08, 0
337262401, 2.2, 3.42e-08, 1.54e-07, 3.31, 10.6, 1e-08, 102
337867201, 2.14, 1.54e-08, 1.87e-08, 1.79, 0.83, 1e-08, 0
339076801, 26.81, 4.86e-08, 2.14e-08, 1.78, 0.33, 1e-08, 0
339681601, 1.5, 2.93e-08, 2.81e-08, 3.32, 1.06, 1e-08, 0
341496001, 1.29, 1.76e-08, 2.33e-08, 2.5, 1.21, 1e-08, 0
342100801, 2.19, 2.92e-08, 2.53e-08, 2.69, 0.82, 1e-08, 0
344520001, 1.01, 2.97e-08, 3.47e-08, 4.55, 1.16, 1e-08, 0
345124801, 1.39, 9.8e-09, 1.18e-08, 1.68, 0.76, 1e-08, 0
345729601, 10.07, 9.45e-08, 4.56e-08, 3.11, 0.53, 1e-08, 0
346939201, 1.62, 1.75e-08, 2.94e-08, 2.24, 1.48, 1e-08, 0
347544001, 1.57, 4.46e-08, 4.09e-08, 5.0, 0, 1e-08, 0
348148801, 2.6, 1.45e-08, 1.84e-08, 1.93, 0.94, 1e-08, 0
348753601, 1.59, 1.44e-08, 2.02e-08, 2.14, 1.17, 1e-08, 0
349963201, 1.11, 3.96e-08, 4.94e-08, 5.0, 0, 1e-08, 0
350568001, 4.52, 4.35e-09, 5.22e-09, 0.84, 0.78, 1e-08, 0
351172801, 1.28, 4.75e-08, 1.98e-07, 4.2, 1.39, 1e-08, 0
352987201, 2.1, 3.42e-08, 3.5e-08, 2.37, 0.94, 1e-08, 0
353592001, 6.28, 5.05e-08, 3.06e-08, 2.74, 0.63, 1e-08, 0
354196801, 3.0, 3.3e-08, 2.79e-08, 2.93, 0.92, 1e-08, 0
355406401, 2.48, 4.82e-09, 6.07e-09, 1.15, 0.87, 1e-08, 0
356011201, 1.36, 2.42e-08, 2.63e-08, 2.34, 0.79, 1e-08, 0
357220801, 2.52, 3.51e-08, 3.34e-08, 2.56, 0.79, 1e-08, 0
359035201, 1.09, 3.34e-08, 4.27e-08, 3.08, 2.66, 1e-08, 0
362059201, 4.67, 2.03e-09, 2.72e-09, 0.62, 1.03, 1e-08, 0
363873601, 1.3, 4.85e-08, 5.14e-08, 5.0, 0, 1e-08, 0
366292801, 4.14, 7.22e-08, 4.49e-08, 3.08, 0.8, 1e-08, 0
366897601, 1.54, 2.04e-09, 3.37e-09, 1.02, 1.09, 1e-08, 0
367502401, 1.79, 2.23e-09, 3.06e-09, 0.83, 0.85, 1e-08, 0
372945601, 1.5, 6.96e-09, 2.09e-08, 1.82, 1.89, 1e-08, 0
373550401, 6.41, 1.35e-08, 1.18e-08, 1.46, 0.57, 1e-08, 0
374760001, 2.02, 3.82e-08, 3.37e-08, 3.16, 1.03, 1e-08, 0
375969601, 3.51, 7.94e-09, 9.46e-09, 1.47, 0.81, 1e-08, 0
377179201, 3.22, 2.49e-09, 2.78e-09, 0.83, 0.98, 1e-08, 0
377784001, 5.21, 2.65e-08, 2.56e-08, 2.26, 0.62, 1e-08, 0
378388801, 1.6, 2.17e-08, 2.32e-08, 2.21, 0.74, 1e-08, 0
379598401, 3.9, 2.06e-08, 2.88e-08, 2.12, 0.94, 1e-08, 0
