timestamp, ts, flux_upper_limits, fit_tolerance, fit_convergence
239889601, 0.03, 5.87e-08, 1e-08, 0
240494401, 0.34, 1.02e-07, 1e-08, 0
242308801, 0.0, 4.82e-08, 1e-08, 102
242913601, 0.0, 4.97e-08, 1e-08, 102
244123201, 0.0, 3.09e-08, 1e-08, 102
244728001, 0.0, 4.16e-08, 1e-08, 102
245332801, 0.0, 7.12e-08, 1e-08, 102
245937601, 0.41, 4.88e-08, 1e-08, 0
246542401, 0.0, 5.03e-08, 1e-08, 102
247752001, 0.0, 3.05e-08, 1e-08, 102
250776001, 0.0, 4.43e-08, 1e-08, 102
251380801, 0.0, 4.17e-08, 1e-08, 102
251985601, 0.0, 2.92e-08, 1e-08, 102
252590401, 0.28, 3.88e-08, 1e-08, 0
253800001, 0.32, 6.41e-08, 1e-08, 0
258638401, 0.0, 8.23e-08, 1e-08, 0
259243201, 0.13, 5.74e-08, 1e-08, 0
260452801, 0.0, 4.67e-08, 1e-08, 0
261057601, 0.29, 5.39e-08, 1e-08, 0
261662401, 0.26, 4.63e-08, 1e-08, 0
263476801, 0.0, 6.23e-08, 1e-08, 102
264686401, 0.16, 5e-08, 1e-08, 0
267105601, 0.0, 4.23e-08, 1e-08, 102
267710401, 0.0, 4.51e-08, 1e-08, 102
268315201, 0.0, 5.61e-08, 1e-08, 102
269524801, 0.0, 3.77e-08, 1e-08, 102
270129601, 0.31, 4.41e-08, 1e-08, 0
271339201, 0.08, 4.03e-08, 1e-08, 0
271944001, 0.0, 3.26e-08, 1e-08, 102
272548801, 0.0, 3.63e-08, 1e-08, 102
274363201, 0.0, 2.29e-08, 1e-08, 102
275572801, 0.1, 4.45e-08, 1e-08, 0
276177601, 0.0, 2.87e-08, 1e-08, 102
277992001, 0.0, 3.71e-08, 1e-08, 0
279201601, 0.07, 4.42e-08, 1e-08, 0
279806401, 0.96, 5.06e-08, 1e-08, 102
282225601, 0.96, 7.02e-08, 1e-08, 0
282830401, 0.47, 4.51e-08, 1e-08, 0
283435201, 0.0, 3.22e-08, 1e-08, 102
284040001, 0.0, 4.24e-08, 1e-08, 102
284644801, 0.25, 3.13e-08, 1e-08, 0
288273601, 0.0, 3.09e-08, 1e-08, 102
290088001, 0.0, 3.41e-08, 1e-08, 102
293112001, 0.0, 4.87e-08, 1e-08, 0
