timestamp, ts, flux_upper_limits, fit_tolerance, fit_convergence
239716801, 0.0, 5.9e-08, 1e-08, 0
240753601, 0.0, 5.62e-08, 1e-08, 0
241531201, 0.0, 4.52e-08, 1e-08, 0
241790401, 0.0, 4.78e-08, 1e-08, 0
242049601, 0.0, 5.61e-08, 1e-08, 0
242827201, 0.0, 4.58e-08, 1e-08, 0
243345601, 0.0, 3.73e-08, 1e-08, 0
243604801, 0.02, 6.98e-08, 1e-08, 0
243864001, 0.94, 7.11e-08, 1e-08, 0
244123201, 0.48, 9.2e-08, 1e-08, 0
244382401, 0.0, 5.52e-08, 1e-08, 0
244641601, 0.0, 6.67e-08, 1e-08, 0
244900801, 0.0, 5.64e-08, 1e-08, 0
245160001, 0.0, 7e-08, 1e-08, 0
245678401, 0.0, 5.26e-08, 1e-08, 0
246456001, 0.73, 5.69e-08, 1e-08, 0
246715201, 0.43, 6.39e-08, 1e-08, 0
247492801, 0.63, 5.67e-08, 1e-08, 0
247752001, 0.0, 3.53e-08, 1e-08, 0
249048001, 0.0, 7.76e-08, 1e-08, 0
249825601, 0.0, 9.22e-08, 1e-08, 0
250084801, 0.0, 5.33e-08, 1e-08, 0
250344001, 0.0, 4.25e-08, 1e-08, 0
250862401, 0.0, 5.55e-08, 1e-08, 0
251380801, 0.0, 3.6e-08, 1e-08, 0
251899201, 0.0, 4.34e-08, 1e-08, 0
252158401, 0.11, 6.32e-08, 1e-08, 0
252417601, 0.0, 4.74e-08, 1e-08, 0
252676801, 0.0, 4.53e-08, 1e-08, 0
253454401, 0.01, 8.06e-08, 1e-08, 0
253713601, 0.0, 5.19e-08, 1e-08, 0
254232001, 0.0, 6.99e-08, 1e-08, 0
254491201, 0.0, 7.31e-08, 1e-08, 0
255009601, 0.04, 7.01e-08, 1e-08, 0
255268801, 0.12, 8.23e-08, 1e-08, 0
255787201, 0.0, 2.99e-08, 1e-08, 0
256046401, 0.0, 5.76e-08, 1e-08, 0
256305601, 0.0, 3.45e-08, 1e-08, 0
256564801, 0.0, 4.75e-08, 1e-08, 0
257083201, 0.0, 3.04e-08, 1e-08, 0
257342401, 0.0, 4.43e-08, 1e-08, 0
257601601, 0.36, 6.41e-08, 1e-08, 0
257860801, 0.0, 6.17e-08, 1e-08, 0
258120001, 0.0, 5.32e-08, 1e-08, 0
258379201, 0.0, 7.69e-08, 1e-08, 0
258897601, 0.87, 9.76e-08, 1e-08, 0
259416001, 0.0, 4.95e-08, 1e-08, 0
259934401, 0.03, 6.11e-08, 1e-08, 0
260193601, 0.0, 3.49e-08, 1e-08, 0
260452801, 0.06, 6.8e-08, 1e-08, 0
260712001, 0.43, 5.51e-08, 1e-08, 0
261230401, 0.0, 4.98e-08, 1e-08, 0
262785601, 0.02, 8.31e-08, 1e-08, 0
263304001, 0.0, 3.7e-08, 1e-08, 0
263563201, 0.19, 8.67e-08, 1e-08, 0
263822401, 0.13, 6.41e-08, 1e-08, 0
264340801, 0.36, 7.96e-08, 1e-08, 0
