timestamp, ts, flux_upper_limits, fit_tolerance, fit_convergence
243475201, 0.0, 2.04e-08, 1e-08, 0
300499201, 0.28, 2.57e-08, 1e-08, 0
303091201, 0.13, 2.17e-08, 1e-08, 0
310867201, 0.29, 2.28e-08, 1e-08, 0
313459201, 0.51, 3.12e-08, 1e-08, 0
321235201, 0.0, 1.35e-08, 1e-08, 0
323827201, 0.71, 3.55e-08, 1e-08, 0
326419201, 0.0, 2.53e-08, 1e-08, 0
329011201, 0.0, 2.31e-08, 1e-08, 0
331603201, 0.17, 3.05e-08, 1e-08, 0
339379201, 0.0, 1.85e-08, 1e-08, 0
341971201, 0.0, 1.73e-08, 1e-08, 0
344563201, 0.0, 2.27e-08, 1e-08, 0
347155201, 0.02, 2.19e-08, 1e-08, 0
349747201, 0.5, 2.39e-08, 1e-08, 0
352339201, 0.11, 2.21e-08, 1e-08, 0
357523201, 0.76, 3.43e-08, 1e-08, 0
375667201, 0.09, 2.25e-08, 1e-08, 0
378259201, 0.0, 1.65e-08, 1e-08, 0
386035201, 0.0, 2.45e-08, 1e-08, 0
388627201, 0.0, 1.76e-08, 1e-08, 0
391219201, 0.14, 2.96e-08, 1e-08, 0
393811201, 0.0, 1.66e-08, 1e-08, 0
396403201, 0.0, 2.4e-08, 1e-08, 0
404179201, 0.0, 1.47e-08, 1e-08, 0
411955201, 0.71, 4.39e-08, 1e-08, 0
414547201, 0.41, 2.26e-08, 1e-08, 0
417139201, 0.0, 1.87e-08, 1e-08, 0
443059201, 0.45, 3e-08, 1e-08, 0
445651201, 0.0, 2.22e-08, 1e-08, 0
450835201, 0.0, 2.1e-08, 1e-08, 0
458611201, 0.76, 2.65e-08, 1e-08, 0
466387201, 0.3, 3.13e-08, 1e-08, 0
468979201, 0.0, 2.39e-08, 1e-08, 0
471571201, 0.0, 1.89e-08, 1e-08, 0
481939201, 0.03, 2.63e-08, 1e-08, 0
484531201, 0.04, 1.42e-08, 1e-08, 0
494899201, 0.0, 1.75e-08, 1e-08, 0
505267201, 0.05, 3.06e-08, 1e-08, 0
526003201, 0.34, 2.99e-08, 1e-08, 0
549331201, 0.0, 2.41e-08, 1e-08, 0
562291201, 0.89, 3.7e-08, 1e-08, 0
575251201, 0.0, 2.33e-08, 1e-08, 0
577843201, 0.71, 4.42e-08, 1e-08, 0
595987201, 0.0, 3.33e-08, 1e-08, 0
598579201, 0.0, 3.14e-08, 1e-08, 0
629683201, 0.0, 2.46e-08, 1e-08, 0
640051201, 0.0, 3.04e-08, 1e-08, 0
647827201, 0.0, 3.02e-08, 1e-08, 0
653011201, 0.0, 1.82e-08, 1e-08, 0
655603201, 0.73, 3.67e-08, 1e-08, 0
658195201, 0.07, 3.79e-08, 1e-08, 0
660787201, 0.0, 2.42e-08, 1e-08, 0
663379201, 0.24, 3e-08, 1e-08, 0
668563201, 0.44, 2.15e-08, 1e-08, 0
673747201, 0.0, 2.33e-08, 1e-08, 0
676339201, 0.0, 2.36e-08, 1e-08, 0
689299201, 0.77, 3.13e-08, 1e-08, 0
694483201, 0.0, 1.59e-08, 1e-08, 0
702259201, 0.09, 3.05e-08, 1e-08, 0
704851201, 0.1, 4.15e-08, 1e-08, 0
707443201, 0.0, 2.35e-08, 1e-08, 0
712627201, 0.33, 2.53e-08, 1e-08, 0
715219201, 0.47, 2.55e-08, 1e-08, 0
717811201, 0.05, 2.5e-08, 1e-08, 0
722995201, 0.0, 3.44e-08, 1e-08, 0
730771201, 0.0, 2.41e-08, 1e-08, 0
735955201, 0.0, 2.7e-08, 1e-08, 0
738547201, 0.53, 3.27e-08, 1e-08, 0
