timestamp, ts, flux_upper_limits, fit_tolerance, fit_convergence
239889601, 0.0, 5.7e-08, 1e-08, 0
241704001, 0.64, 9.14e-08, 1e-08, 0
242308801, 0.0, 5.36e-08, 1e-08, 0
242913601, 0.0, 5.97e-08, 1e-08, 102
247752001, 0.0, 5.04e-08, 1e-08, 0
248961601, 0.68, 8.47e-08, 1e-08, 0
249566401, 0.0, 6.16e-08, 1e-08, 0
251985601, 0.0, 6.24e-08, 1e-08, 102
252590401, 0.04, 6.64e-08, 1e-08, 1
256219201, 0.0, 6.45e-08, 1e-08, 102
258638401, 0.0, 8.92e-08, 1e-08, 102
263476801, 0.21, 7.74e-08, 1e-08, 0
266500801, 0.31, 7.22e-08, 1e-08, 0
267710401, 0.26, 7.3e-08, 1e-08, 0
268315201, 0.02, 6.08e-08, 1e-08, 0
268920001, 0.0, 6.63e-08, 1e-08, 102
270734401, 0.0, 5.59e-08, 1e-08, 0
271944001, 0.7, 6.25e-08, 1e-08, 0
272548801, 0.5, 7.42e-08, 1e-08, 0
273153601, 0.24, 7.31e-08, 1e-08, 1
274968001, 0.0, 3.37e-08, 1e-08, 0
276177601, 0.0, 6.85e-08, 1e-08, 0
276782401, 0.0, 6.23e-08, 1e-08, 102
277387201, 0.11, 4.44e-08, 1e-08, 0
279201601, 0.41, 5.42e-08, 1e-08, 0
279806401, 0.22, 5.57e-08, 1e-08, 0
280411201, 0.0, 4.46e-08, 1e-08, 0
281620801, 0.0, 5.32e-08, 1e-08, 0
282225601, 0.55, 6.65e-08, 1e-08, 0
282830401, 0.0, 3.75e-08, 1e-08, 0
284040001, 0.0, 3.96e-08, 1e-08, 0
284644801, 0.0, 3.35e-08, 1e-08, 0
285249601, 0.0, 6.94e-08, 1e-08, 0
286459201, 0.0, 5.73e-08, 1e-08, 102
287064001, 0.63, 6.74e-08, 1e-08, 0
288273601, 0.1, 5.74e-08, 1e-08, 0
288878401, 0.0, 4.94e-08, 1e-08, 0
291297601, 0.02, 6.7e-08, 1e-08, 0
291902401, 0.05, 4.41e-08, 1e-08, 0
292507201, 0.0, 4.46e-08, 1e-08, 0
293112001, 0.59, 5.49e-08, 1e-08, 0
293716801, 0.13, 6.94e-08, 1e-08, 102
294926401, 0.12, 5.63e-08, 1e-08, 0
295531201, 0.05, 4.11e-08, 1e-08, 102
298555201, 0.01, 5.47e-08, 1e-08, 0
301579201, 0.67, 7.43e-08, 1e-08, 0
302184001, 0.6, 7.64e-08, 1e-08, 0
304603201, 0.1, 6.01e-08, 1e-08, 1
305208001, 0.0, 5.75e-08, 1e-08, 0
307022401, 0.0, 7.22e-08, 1e-08, 0
307627201, 0.0, 4.21e-08, 1e-08, 0
310046401, 0.0, 3.5e-08, 1e-08, 0
310651201, 0.0, 5.58e-08, 1e-08, 102
312465601, 0.0, 5.24e-08, 1e-08, 0
313675201, 0.0, 3.43e-08, 1e-08, 0
314280001, 0.0, 4.94e-08, 1e-08, 0
314884801, 0.0, 3.48e-08, 1e-08, 0
315489601, 0.0, 3.33e-08, 1e-08, 0
316094401, 0.05, 5.28e-08, 1e-08, 0
319118401, 0.0, 3.92e-08, 1e-08, 0
320328001, 0.78, 7.01e-08, 1e-08, 0
321537601, 0.98, 6.91e-08, 1e-08, 0
322747201, 0.0, 7.04e-08, 1e-08, 0
323352001, 0.41, 7.4e-08, 1e-08, 0
324561601, 0.0, 8.04e-08, 1e-08, 0
325166401, 0.0, 3.77e-08, 1e-08, 0
325771201, 0.56, 6.07e-08, 1e-08, 0
328190401, 0.23, 7.77e-08, 1e-08, 102
329400001, 0.0, 5.18e-08, 1e-08, 0
330004801, 0.83, 6.19e-08, 1e-08, 0
330609601, 0.08, 5.52e-08, 1e-08, 0
