timestamp, ts, flux, flux_error, photon_index, photon_index_interval, fit_tolerance, fit_convergence
239716801, 6.13, 3.01e-08, 2.38e-08, 1.24, 0.59, 1e-08, 0
239976001, 2.9, 8.05e-09, 8.34e-09, 0.6, 0.78, 1e-08, 0
241012801, 2.22, 4.59e-08, 4.4e-08, 1.65, 0.69, 1e-08, 0
241272001, 1.87, 1.32e-07, 1.27e-07, 5.0, 0, 1e-08, 0
241531201, 2.17, 1.21e-07, 9.9e-08, 3.93, 1.14, 1e-08, 0
241790401, 2.56, 1.21e-07, 9.01e-08, 5.0, 0, 1e-08, 0
242049601, 2.53, 1.11e-07, 1.81e-07, 4.47, 60.2, 1e-08, 0
242308801, 5.41, 1.65e-07, 9.09e-08, 3.56, 0.94, 1e-08, 0
242568001, 6.69, 1.84e-07, 8.99e-08, 5.0, 0, 1e-08, 0
242827201, 5.52, 1.53e-07, 8.11e-08, 5.0, 0, 1e-08, 0
243086401, 6.07, 7.91e-08, 5.09e-08, 2.16, 0.58, 1e-08, 0
243604801, 1.02, 6.22e-09, 9.56e-09, 0.87, 1.07, 1e-08, 0
245160001, 3.5, 1.19e-07, 7.7e-08, 3.44, 1.06, 1e-08, 0
246456001, 1.49, 8.08e-08, 8.9e-08, 5.0, 0, 1e-08, 0
246715201, 1.13, 3.41e-08, 4.38e-08, 2.09, 0.96, 1e-08, 0
246974401, 2.5, 8.87e-09, 1.16e-08, 0.93, 0.94, 1e-08, 0
247752001, 2.01, 6.31e-08, 5.88e-08, 2.59, 0.94, 1e-08, 0
248011201, 1.08, 7.59e-08, 9.02e-08, 5.0, 0, 1e-08, 0
248270401, 1.97, 5.66e-08, 5.65e-08, 2.25, 0.99, 1e-08, 0
249048001, 2.02, 3.39e-08, 4.66e-08, 1.76, 1.36, 1e-08, 0
249825601, 1.3, 6.2e-08, 6.7e-08, 3.57, 1.39, 1e-08, 0
250344001, 1.07, 5.08e-08, 7.34e-08, 2.85, 1.42, 1e-08, 0
250603201, 3.43, 1.68e-07, 1.17e-07, 3.57, 1.17, 1e-08, 0
251640001, 3.7, 1.4e-07, 8.89e-08, 4.92, 1.02, 1e-08, 0
251899201, 8.76, 2.35e-07, 9.9e-08, 4.04, 0.89, 1e-08, 0
252158401, 2.22, 4.25e-09, 5.33e-09, 0.22, 0.99, 1e-08, 0
252676801, 1.84, 2.61e-08, 2.9e-08, 1.84, 0.8, 1e-08, 0
253454401, 9.5, 1.21e-07, 6.71e-08, 2.43, 0.51, 1e-08, 0
253972801, 2.13, 7.92e-08, 6.35e-08, 3.92, 1.76, 1e-08, 0
254491201, 2.28, 1.38e-07, 1.07e-07, 3.92, 1.51, 1e-08, 0
255009601, 4.85, 1.85e-07, 1.27e-07, 5.0, 0, 1e-08, 0
255268801, 4.15, 1.38e-07, 7.92e-08, 4.63, 1.2, 1e-08, 0
255787201, 4.41, 1.09e-07, 6.9e-08, 3.01, 0.79, 1e-08, 0
256824001, 4.16, 6.31e-08, 6.79e-08, 2.6, 0.98, 1e-08, 0
257601601, 1.29, 5.23e-08, 5.47e-08, 2.91, 1.11, 1e-08, 0
257860801, 4.24, 1.83e-08, 1.96e-08, 1.47, 0.85, 1e-08, 0
258379201, 7.26, 2.21e-07, 1.06e-07, 5.0, 0, 1e-08, 0
259934401, 1.68, 5.9e-08, 7.21e-08, 2.12, 1.05, 1e-08, 0
260193601, 2.47, 1.21e-07, 9.32e-08, 5.0, 0, 1e-08, 0
260452801, 1.31, 6.96e-08, 7.04e-08, 5.0, 0, 1e-08, 0
260712001, 1.7, 2.67e-08, 3.56e-08, 2.08, 1.05, 1e-08, 0
