timestamp, ts, flux_upper_limits, fit_tolerance, fit_convergence
239716801, 0.0, 2.75e-08, 1e-08, 0
239976001, 0.0, 2.17e-08, 1e-08, 0
240494401, 0.0, 2.41e-08, 1e-08, 0
240753601, 0.0, 2.58e-08, 1e-08, 0
241272001, 0.0, 2.95e-08, 1e-08, 0
241790401, 0.0, 2.59e-08, 1e-08, 0
242049601, 0.0, 2.7e-08, 1e-08, 0
242308801, 0.0, 2.76e-08, 1e-08, 0
242827201, 0.0, 2.61e-08, 1e-08, 0
243086401, 0.0, 2.1e-08, 1e-08, 0
243345601, 0.0, 2.16e-08, 1e-08, 0
243604801, 0.0, 3.57e-08, 1e-08, 0
243864001, 0.51, 3.14e-08, 1e-08, 0
244123201, 0.0, 2.67e-08, 1e-08, 0
244382401, 0.69, 4.22e-08, 1e-08, 0
244900801, 0.0, 2.35e-08, 1e-08, 0
245160001, 0.0, 2.3e-08, 1e-08, 0
245419201, 0.0, 1.73e-08, 1e-08, 0
245678401, 0.16, 2.59e-08, 1e-08, 0
246196801, 0.0, 2.1e-08, 1e-08, 0
246456001, 0.0, 3.06e-08, 1e-08, 0
247233601, 0.0, 2.48e-08, 1e-08, 0
247492801, 0.0, 2.8e-08, 1e-08, 0
248011201, 0.0, 2.7e-08, 1e-08, 0
248270401, 0.0, 5.39e-08, 1e-08, 0
248529601, 0.0, 2.74e-08, 1e-08, 0
249048001, 0.0, 3.12e-08, 1e-08, 0
249566401, 0.0, 2.54e-08, 1e-08, 0
249825601, 0.0, 3.33e-08, 1e-08, 0
250084801, 0.0, 2.84e-08, 1e-08, 0
250344001, 0.01, 3.66e-08, 1e-08, 0
250603201, 0.0, 3.46e-08, 1e-08, 0
250862401, 0.0, 2.2e-08, 1e-08, 0
251121601, 0.0, 2.5e-08, 1e-08, 0
251380801, 0.0, 3.68e-08, 1e-08, 0
251640001, 0.0, 2.67e-08, 1e-08, 0
252417601, 0.0, 2.74e-08, 1e-08, 0
252676801, 0.0, 3.28e-08, 1e-08, 0
252936001, 0.0, 3.91e-08, 1e-08, 0
253195201, 0.0, 2.55e-08, 1e-08, 0
253454401, 0.0, 2.89e-08, 1e-08, 0
253713601, 0.0, 2.89e-08, 1e-08, 0
253972801, 0.0, 2.08e-08, 1e-08, 0
254232001, 0.0, 1.74e-08, 1e-08, 0
254491201, 0.0, 2.19e-08, 1e-08, 0
255009601, 0.0, 3.28e-08, 1e-08, 0
255268801, 0.0, 2.38e-08, 1e-08, 0
255528001, 0.35, 2.87e-08, 1e-08, 0
256046401, 0.97, 5.23e-08, 1e-08, 0
256564801, 0.0, 3.6e-08, 1e-08, 0
256824001, 0.01, 4.18e-08, 1e-08, 0
257083201, 0.82, 4.79e-08, 1e-08, 0
257601601, 0.0, 2.62e-08, 1e-08, 0
257860801, 0.0, 4.09e-08, 1e-08, 0
258120001, 0.0, 3.19e-08, 1e-08, 0
258379201, 0.0, 4.32e-08, 1e-08, 0
258897601, 0.0, 2.71e-08, 1e-08, 0
259156801, 0.0, 2.83e-08, 1e-08, 0
259416001, 0.0, 2.72e-08, 1e-08, 0
259675201, 0.0, 3.59e-08, 1e-08, 0
259934401, 0.0, 2.66e-08, 1e-08, 0
260193601, 0.08, 4.78e-08, 1e-08, 0
260452801, 0.0, 2.1e-08, 1e-08, 0
260971201, 0.0, 2.29e-08, 1e-08, 0
261230401, 0.0, 3.25e-08, 1e-08, 0
261489601, 0.07, 4.95e-08, 1e-08, 0
261748801, 0.26, 6.2e-08, 1e-08, 0
262008001, 0.0, 2.62e-08, 1e-08, 0
262267201, 0.0, 3.56e-08, 1e-08, 0
262526401, 0.93, 3.93e-08, 1e-08, 0
262785601, 0.0, 4.28e-08, 1e-08, 0
263044801, 0.0, 3.32e-08, 1e-08, 0
263304001, 0.0, 3.02e-08, 1e-08, 0
263563201, 0.02, 2.71e-08, 1e-08, 0
264081601, 0.0, 2.68e-08, 1e-08, 0
264340801, 0.0, 2.73e-08, 1e-08, 0
264600001, 0.0, 3.22e-08, 1e-08, 0
265377601, 0.0, 2.29e-08, 1e-08, 0
266155201, 0.0, 3.3e-08, 1e-08, 0
266414401, 0.0, 2.96e-08, 1e-08, 0
267451201, 0.0, 2.65e-08, 1e-08, 0
268228801, 0.0, 3.24e-08, 1e-08, 0
268488001, 0.0, 2.84e-08, 1e-08, 0
268747201, 0.0, 3.12e-08, 1e-08, 0
269524801, 0.0, 3.87e-08, 1e-08, 0
269784001, 0.0, 3.07e-08, 1e-08, 0
270043201, 0.24, 3.64e-08, 1e-08, 0
270302401, 0.0, 4.22e-08, 1e-08, 0
270561601, 0.0, 3.74e-08, 1e-08, 0
270820801, 0.3, 6.91e-08, 1e-08, 0
271080001, 0.73, 3.97e-08, 1e-08, 0
271339201, 0.0, 3.96e-08, 1e-08, 0
272376001, 0.0, 4.02e-08, 1e-08, 0
272635201, 0.0, 2.78e-08, 1e-08, 0
272894401, 0.02, 3.49e-08, 1e-08, 0
275227201, 0.0, 5.55e-08, 1e-08, 0
275486401, 0.23, 5.83e-08, 1e-08, 0
275745601, 0.0, 4.58e-08, 1e-08, 0
276264001, 0.0, 4.16e-08, 1e-08, 0
276523201, 0.0, 4.14e-08, 1e-08, 0
277560001, 0.0, 3.39e-08, 1e-08, 0
277819201, 0.0, 2.28e-08, 1e-08, 0
278078401, 0.0, 2.68e-08, 1e-08, 0
278337601, 0.0, 1.64e-08, 1e-08, 0
278596801, 0.17, 3.13e-08, 1e-08, 0
279115201, 0.0, 3.55e-08, 1e-08, 0
279374401, 0.18, 6.66e-08, 1e-08, 0
279633601, 0.38, 4.98e-08, 1e-08, 0
279892801, 0.0, 3.41e-08, 1e-08, 0
280411201, 0.0, 4.63e-08, 1e-08, 0
280670401, 0.0, 3.92e-08, 1e-08, 0
281188801, 0.0, 4.8e-08, 1e-08, 0
282225601, 0.0, 2.7e-08, 1e-08, 0
282744001, 0.0, 2.17e-08, 1e-08, 0
283262401, 0.0, 2.19e-08, 1e-08, 0
283521601, 0.0, 3.77e-08, 1e-08, 0
283780801, 0.0, 3.47e-08, 1e-08, 0
284040001, 0.0, 5.78e-08, 1e-08, 0
284299201, 0.0, 3.4e-08, 1e-08, 0
285076801, 0.0, 4.63e-08, 1e-08, 0
285336001, 0.0, 4.06e-08, 1e-08, 0
286113601, 0.3, 5.46e-08, 1e-08, 0
287150401, 0.0, 3.68e-08, 1e-08, 0
287409601, 0.0, 2.91e-08, 1e-08, 0
287668801, 0.0, 2.79e-08, 1e-08, 0
287928001, 0.0, 3.64e-08, 1e-08, 0
288446401, 0.0, 3e-08, 1e-08, 0
288964801, 0.0, 3.47e-08, 1e-08, 0
289224001, 0.64, 7.46e-08, 1e-08, 0
289483201, 0.0, 5.98e-08, 1e-08, 0
290001601, 0.0, 4.03e-08, 1e-08, 0
290779201, 0.0, 3.39e-08, 1e-08, 0
291038401, 0.0, 2.77e-08, 1e-08, 0
291816001, 0.64, 3.75e-08, 1e-08, 0
292075201, 0.0, 2.15e-08, 1e-08, 0
292334401, 0.0, 3.17e-08, 1e-08, 0
292593601, 0.0, 2.53e-08, 1e-08, 0
292852801, 0.0, 3.25e-08, 1e-08, 0
293371201, 0.0, 5.15e-08, 1e-08, 0
293630401, 0.0, 4.04e-08, 1e-08, 0
293889601, 0.0, 5.76e-08, 1e-08, 0
294148801, 0.0, 4.77e-08, 1e-08, 0
294408001, 0.0, 4.58e-08, 1e-08, 0
294667201, 0.0, 4.8e-08, 1e-08, 0
294926401, 0.0, 2.83e-08, 1e-08, 0
295185601, 0.0, 2.54e-08, 1e-08, 0
295444801, 0.0, 2.29e-08, 1e-08, 0
295704001, 0.0, 2.16e-08, 1e-08, 0
295963201, 0.25, 3.19e-08, 1e-08, 0
296222401, 0.68, 3.64e-08, 1e-08, 0
296481601, 0.13, 3.48e-08, 1e-08, 0
296740801, 0.0, 2.6e-08, 1e-08, 0
297000001, 0.0, 3.6e-08, 1e-08, 0
297259201, 0.0, 2.79e-08, 1e-08, 0
297518401, 0.0, 2.99e-08, 1e-08, 0
