timestamp, ts, flux, flux_error, photon_index, photon_index_interval, fit_tolerance, fit_convergence
240883201, 4.19, 1.39e-09, 2.43e-09, 1.41, 0.7, 1e-08, 0
243475201, 5.89, 1.64e-09, 2.06e-09, 1.43, 0.52, 1e-08, 0
246067201, 2.22, 1.3e-08, 1.2e-08, 2.57, 0.61, 1e-08, 0
248659201, 14.9, 1.28e-08, 9.18e-09, 2.03, 0.35, 1e-08, 0
251251201, 10.05, 2.63e-10, 3.08e-10, 0.0, 0, 1e-08, 0
253843201, 5.58, 1.83e-08, 1.22e-08, 2.38, 0.41, 1e-08, 0
256435201, 23.87, 3.37e-08, 1.74e-08, 2.35, 0.31, 1e-08, 0
259027201, 5.64, 1.77e-08, 1.46e-08, 2.46, 0.49, 1e-08, 0
264211201, 3.76, 7.74e-09, 1.07e-08, 2.13, 0.65, 1e-08, 0
266803201, 6.1, 1.53e-09, 2.21e-09, 1.24, 0.61, 1e-08, 0
269395201, 20.66, 1.39e-08, 7.78e-09, 1.89, 0.26, 1e-08, 0
271987201, 14.8, 1.19e-08, 1.05e-08, 1.95, 0.39, 1e-08, 0
274579201, 7.92, 4.82e-09, 5.4e-09, 1.66, 0.48, 1e-08, 0
277171201, 13.45, 9.32e-09, 7.47e-09, 1.83, 0.36, 1e-08, 0
279763201, 13.53, 6.96e-09, 6.52e-09, 1.66, 0.37, 1e-08, 0
282355201, 19.28, 2.03e-08, 1.02e-08, 1.98, 0.25, 1e-08, 0
284947201, 23.79, 1.44e-08, 9.99e-09, 1.85, 0.31, 1e-08, 0
287539201, 1.16, 1.41e-08, 1.64e-08, 2.68, 0.72, 1e-08, 0
290131201, 11.7, 5.65e-08, 3.61e-08, 3.17, 2.1, 1e-08, 102
292723201, 39.82, 1.39e-08, 7.32e-09, 1.68, 0.24, 1e-08, 0
295315201, 6.93, 1.25e-08, 1.02e-08, 2.15, 0.42, 1e-08, 0
300499201, 1.84, 2.36e-08, 1.92e-07, 6.46, 3.05, 1e-08, 102
305683201, 3.07, 1.17e-09, 2.37e-09, 1.48, 0.8, 1e-08, 0
308275201, 2.03, 9.97e-09, 1.17e-08, 2.25, 0.57, 1e-08, 0
310867201, 9.52, 2.82e-08, 2.63e-08, 2.69, 1.27, 1e-08, 0
316051201, 2.61, 3.24e-08, 1.87e-08, 4.35, 3.43, 1e-08, 102
329011201, 2.8, 7.07e-09, 7.92e-09, 2.04, 0.5, 1e-08, 0
334195201, 3.83, 1e-08, 9.98e-09, 2.11, 0.5, 1e-08, 0
336787201, 2.12, 7.74e-09, 1.07e-08, 2.08, 0.65, 1e-08, 0
339379201, 1.32, 2.39e-08, 1.84e-08, 4.73, 4.59, 1e-08, 102
341971201, 4.68, 2.6e-08, 8.29e-08, 2.8, 4.58, 1e-08, 102
344563201, 5.45, 2.04e-08, 1.45e-08, 2.38, 0.43, 1e-08, 0
347155201, 7.81, 1.44e-09, 3.43e-09, 1.35, 0.92, 1e-08, 0
349747201, 1.15, 3.37e-09, 6.82e-09, 1.99, 0.86, 1e-08, 0
352339201, 4.57, 2.01e-08, 1.37e-08, 2.45, 0.43, 1e-08, 0
354931201, 2.75, 2.49e-08, 1.77e-08, 3.2, 0.7, 1e-08, 0
357523201, 1.77, 1.23e-08, 1.34e-08, 2.5, 0.64, 1e-08, 0
360115201, 2.85, 1.46e-08, 1.16e-08, 2.4, 0.46, 1e-08, 0
365299201, 28.68, 9.52e-09, 6.06e-09, 1.55, 0.27, 1e-08, 0
367891201, 9.68, 2.15e-09, 2.46e-09, 1.35, 0.48, 1e-08, 0
370483201, 4.53, 1.99e-09, 2.51e-09, 1.5, 0.54, 1e-08, 0
380851201, 6.61, 1.06e-09, 1.78e-09, 1.25, 0.71, 1e-08, 0
383443201, 1.87, 9.54e-09, 1.33e-08, 2.32, 0.73, 1e-08, 0
386035201, 3.2, 1.74e-09, 9.56e-09, 1.62, 5.08, 1e-08, 1
388627201, 1.42, 1.29e-09, 2.52e-09, 1.71, 0.83, 1e-08, 0
396403201, 2.8, 4.47e-09, 7.45e-09, 2.01, 0.75, 1e-08, 0
398995201, 1.36, 7.68e-09, 1.05e-08, 2.68, 1, 1e-08, 0
401587201, 4.94, 4.37e-09, 4.39e-09, 1.59, 0.4, 1e-08, 0
404179201, 1.91, 5.77e-09, 7.93e-09, 2.05, 0.64, 1e-08, 0
406771201, 13.04, 3.04e-08, 1.62e-08, 2.46, 0.35, 1e-08, 0
417139201, 6.16, 2.83e-08, 1.83e-08, 2.66, 0.45, 1e-08, 0
424915201, 24.1, 3.34e-09, 2.85e-09, 1.32, 0.36, 1e-08, 0
427507201, 1.05, 6.37e-09, 9.04e-09, 2.12, 0.61, 1e-08, 0
435283201, 8.05, 6.26e-09, 5.72e-09, 1.71, 0.38, 1e-08, 0
443059201, 2.13, 2.65e-08, 2.05e-08, 3.41, 1.15, 1e-08, 0
448243201, 1.23, 1.94e-08, 1.93e-08, 4.69, 2.84, 1e-08, 0
450835201, 1.0, NaN, NaN, NaN, NaN, 1e-08, 0
456019201, 1.2, 1.77e-08, 4.71e-07, 4.57, 5.12, 1e-08, 0
458611201, 6.22, 1.27e-08, 1.13e-08, 2.14, 0.46, 1e-08, 0
468979201, 1.77, 1.91e-08, 1.78e-08, 2.8, 0.69, 1e-08, 0
487123201, 7.44, 9.04e-09, 8.04e-09, 1.82, 0.39, 1e-08, 0
489715201, 4.75, 4.06e-09, 5.85e-09, 1.61, 0.54, 1e-08, 0
507859201, 4.4, 2.22e-09, 3.77e-09, 1.56, 0.63, 1e-08, 0
515635201, 3.82, 1.73e-08, 1.18e-08, 2.46, 0.41, 1e-08, 0
520819201, 1.39, 1.34e-08, 1.33e-08, 2.69, 0.6, 1e-08, 0
526003201, 1.82, 4.21e-09, 6.97e-09, 1.9, 0.72, 1e-08, 0
528595201, 1.41, 1.3e-08, 1.63e-08, 2.71, 0.87, 1e-08, 0
533779201, 1.79, 1.44e-08, 1.58e-08, 2.53, 0.68, 1e-08, 0
549331201, 2.83, 9.07e-09, 1.37e-08, 2.41, 0.88, 1e-08, 0
551923201, 5.25, 3.89e-08, 2.59e-08, 2.99, 3, 1e-08, 102
554515201, 9.08, 2.01e-09, 2.14e-09, 1.12, 0.46, 1e-08, 0
557107201, 1.16, 2.21e-08, 1.84e-08, 3.53, 5.22, 1e-08, 102
559699201, 1.41, 7.4e-10, 1.8e-09, 1.5, 0.97, 1e-08, 0
562291201, 2.63, 1.3e-09, 2.54e-09, 1.65, 0.84, 1e-08, 0
564883201, 1.83, 1.17e-08, 1.37e-08, 2.51, 0.69, 1e-08, 0
567475201, 2.45, 5.65e-10, 6.33e-10, 0.85, 0.61, 1e-08, 0
572659201, 1.65, 2.13e-08, 2.14e-08, 2.9, 0.76, 1e-08, 0
580435201, 3.67, 2.67e-10, 3.05e-10, 0.56, 0.91, 1e-08, 0
583027201, 1.06, 1.64e-08, 1.79e-08, 3.5, 1.6, 1e-08, 0
585619201, 3.11, 3.72e-08, 3.75e-08, 3.2, 3.89, 1e-08, 102
595987201, 4.81, 3.92e-09, 5.31e-09, 1.79, 0.58, 1e-08, 0
598579201, 2.47, 1.65e-08, 1.6e-08, 2.83, 0.72, 1e-08, 0
603763201, 12.67, 3.64e-08, 2.45e-08, 2.42, 0.39, 1e-08, 0
611539201, 7.04, 3.77e-08, 2.02e-07, 6.63, 2, 1e-08, 102
616723201, 6.88, 5.34e-09, 5.83e-09, 1.67, 0.48, 1e-08, 0
619315201, 10.98, 3.97e-10, 4.08e-10, 0.13, 1.25, 1e-08, 0
629683201, 1.28, 1.17e-08, 2.09e-08, 2.52, 1.25, 1e-08, 0
640051201, 13.45, 2.75e-08, 1.86e-08, 2.47, 0.54, 1e-08, 0
645235201, 6.44, 1.43e-08, 1.37e-08, 2.27, 0.52, 1e-08, 0
647827201, 2.5, 3.13e-08, 2.4e-08, 3.57, 3.96, 1e-08, 102
650419201, 4.31, 4.64e-08, 2.85e-07, 6.71, 2.29, 1e-08, 102
653011201, 5.46, 3.87e-08, 2.27e-08, 2.87, 1.15, 1e-08, 0
665971201, 2.46, 3.68e-08, 2.23e-08, 4.26, 3.57, 1e-08, 102
668563201, 7.78, 2.7e-09, 3.08e-09, 1.39, 0.47, 1e-08, 0
676339201, 5.21, 1.08e-08, 1.2e-08, 2.23, 0.61, 1e-08, 0
678931201, 4.76, 4.43e-09, 6.86e-09, 1.94, 0.67, 1e-08, 0
689299201, 2.31, 4.01e-09, 5.84e-09, 1.79, 0.56, 1e-08, 0
691891201, 11.37, 4.63e-08, 1.67e-08, 3.35, 1.92, 1e-08, 102
697075201, 5.23, 6.38e-09, 7.12e-09, 1.89, 0.47, 1e-08, 0
702259201, 1.46, 1.99e-08, 1.94e-08, 3.23, 1.04, 1e-08, 0
707443201, 4.84, 1.66e-08, 1.49e-08, 2.44, 0.59, 1e-08, 0
710035201, 1.41, 1.92e-08, 1.45e-08, 4.27, 4.54, 1e-08, 102
722995201, 14.17, 6.95e-09, 4.63e-09, 1.7, 0.29, 1e-08, 0
733363201, 5.35, 2e-08, 2.44e-08, 2.17, 0.75, 1e-08, 0
