timestamp, ts, flux, flux_error, photon_index, photon_index_interval, fit_tolerance, fit_convergence
241704001, 6.05, 2.26e-08, 1.8e-08, 2.41, 0, 1e-08, 0
242308801, 2.62, 3.04e-08, 2.56e-08, 2.41, 0, 1e-08, 0
243518401, 2.5, 3.35e-08, 2.44e-08, 2.41, 0, 1e-08, 0
245937601, 2.51, 2.86e-08, 2.11e-08, 2.41, 0, 1e-08, 0
246542401, 1.69, 2.25e-08, 2.1e-08, 2.41, 0, 1e-08, 0
257428801, 4.76, 3.57e-08, 2.39e-08, 2.41, 0, 1e-08, 0
264686401, 3.96, 2.2e-08, 1.7e-08, 2.41, 0, 1e-08, 0
267710401, 2.24, 2.11e-08, 1.89e-08, 2.41, 0, 1e-08, 0
270129601, 2.82, 4.22e-08, 2.96e-08, 2.41, 0, 1e-08, 0
281016001, 3.63, 2.31e-08, 1.8e-08, 2.41, 0, 1e-08, 0
288878401, 3.25, 6.21e-08, 4.11e-08, 2.41, 0, 1e-08, 0
294926401, 3.42, 3.15e-08, 2.27e-08, 2.41, 0, 1e-08, 0
296740801, 1.94, 1.12e-08, 1.27e-08, 2.41, 0, 1e-08, 0
299160001, 1.71, 2.35e-08, 2.39e-08, 2.41, 0, 1e-08, 0
300369601, 3.59, 2.54e-08, 1.68e-08, 2.41, 0, 1e-08, 0
309441601, 1.4, 1.37e-08, 1.6e-08, 2.41, 0, 1e-08, 0
311860801, 1.64, 2.66e-08, 2.57e-08, 2.41, 0, 1e-08, 0
316094401, 1.27, 1.58e-08, 1.99e-08, 2.41, 0, 1e-08, 0
317908801, 6.42, 2.25e-08, 1.79e-08, 2.41, 0, 1e-08, 0
329400001, 1.85, 2.55e-08, 2.59e-08, 2.41, 0, 1e-08, 0
330609601, 1.23, 3.24e-08, 3.59e-08, 2.41, 0, 1e-08, 0
332424001, 2.55, 2.61e-08, 2.03e-08, 2.41, 0, 1e-08, 0
339681601, 6.61, 3.2e-08, 2.31e-08, 2.41, 0, 1e-08, 0
341496001, 6.26, 4.01e-08, 2.1e-08, 2.41, 0, 1e-08, 0
342705601, 1.13, 2.71e-08, 3.18e-08, 2.41, 0, 1e-08, 0
348148801, 1.27, 2.07e-08, 2.45e-08, 2.41, 0, 1e-08, 0
348753601, 7.53, 7.26e-08, 4.23e-08, 2.41, 0, 1e-08, 0
352987201, 1.14, 2.88e-08, 3.4e-08, 2.41, 0, 1e-08, 0
364478401, 4.72, 1.69e-08, 1.53e-08, 2.41, 0, 1e-08, 0
371131201, 2.67, 4.26e-08, 3.92e-08, 2.41, 0, 1e-08, 0
380203201, 6.58, 3.65e-08, 2.58e-08, 2.41, 0, 1e-08, 0
383832001, 3.01, 2.85e-08, 2.2e-08, 2.41, 0, 1e-08, 0
387460801, 2.11, 3.39e-08, 3.29e-08, 2.41, 0, 1e-08, 0
388065601, 1.99, 2.01e-08, 1.86e-08, 2.41, 0, 1e-08, 0
389275201, 2.03, 2.08e-08, 1.9e-08, 2.41, 0, 1e-08, 0
390484801, 1.06, 2.82e-08, 4.14e-08, 2.41, 0, 1e-08, 0
394113601, 2.58, 2.65e-08, 2.67e-08, 2.41, 0, 1e-08, 0
397742401, 2.42, 2.42e-08, 2.2e-08, 2.41, 0, 1e-08, 0
410443201, 1.14, 3.4e-08, 3.71e-08, 2.41, 0, 1e-08, 0
415886401, 5.21, 4.07e-08, 2.94e-08, 2.41, 0, 1e-08, 0
423144001, 1.89, 4.09e-08, 3.39e-08, 2.41, 0, 1e-08, 0
431611201, 2.66, 8.77e-08, 6.25e-08, 2.41, 0, 1e-08, 0
434030401, 2.69, 2.02e-08, 1.9e-08, 2.41, 0, 1e-08, 0
434635201, 2.32, 3.05e-08, 2.79e-08, 2.41, 0, 1e-08, 0
438264001, 1.11, 2.7e-08, 3.34e-08, 2.41, 0, 1e-08, 0
440683201, 4.94, 7.63e-08, 6.45e-08, 2.41, 0, 1e-08, 0
441288001, 1.02, 3.33e-08, 7.76e-08, 2.41, 0, 1e-08, 0
445521601, 4.53, 4.62e-08, 6.21e-08, 2.41, 0, 1e-08, 0
447940801, 2.3, 3.3e-08, 2.52e-08, 2.41, 0, 1e-08, 0
449755201, 1.96, 2.77e-08, 3.54e-08, 2.41, 0, 1e-08, 0
450360001, 2.78, 4.55e-08, 3.31e-08, 2.41, 0, 1e-08, 0
453384001, 1.19, 2.49e-08, 3.04e-08, 2.41, 0, 1e-08, 0
457617601, 12.95, 6.67e-08, 2.6e-08, 2.41, 0, 1e-08, 0
458222401, 1.06, 2.68e-08, 3.46e-08, 2.41, 0, 1e-08, 0
463060801, 3.05, 3.25e-08, 2.92e-08, 2.41, 0, 1e-08, 0
464875201, 1.7, 3.23e-08, 2.85e-08, 2.41, 0, 1e-08, 0
465480001, 3.3, 9.69e-09, 9.99e-09, 2.41, 0, 1e-08, 0
466084801, 3.53, 2.68e-08, 1.81e-08, 2.41, 0, 1e-08, 0
471528001, 1.59, 1.35e-08, 1.68e-08, 2.41, 0, 1e-08, 0
472737601, 7.06, 3.58e-08, 3.15e-08, 2.41, 0, 1e-08, 0
478180801, 7.73, 7.1e-08, 3.52e-08, 2.41, 0, 1e-08, 0
481809601, 3.67, 7.69e-08, 8.12e-08, 2.41, 0, 1e-08, 0
482414401, 4.11, 8.54e-08, 1.12e-07, 2.41, 0, 1e-08, 0
483019201, 1.61, 4.34e-08, 7.55e-08, 2.41, 0, 1e-08, 0
486043201, 3.05, 5.4e-08, 4.42e-08, 2.41, 0, 1e-08, 0
486648001, 1.31, 3.32e-08, 3.32e-08, 2.41, 0, 1e-08, 0
488462401, 18.51, 1.05e-07, 6.72e-08, 2.41, 0, 1e-08, 0
489067201, 52.72, 1.42e-07, 3.3e-08, 2.41, 0, 1e-08, 0
490881601, 51.0, 3.44e-07, 7.5e-08, 2.41, 0, 1e-08, 0
491486401, 4.23, 1.62e-07, 1.74e-07, 2.41, 0, 1e-08, 0
492091201, 15.18, 1.48e-07, 8.81e-08, 2.41, 0, 1e-08, 0
492696001, 5.97, 8.56e-08, 8.46e-08, 2.41, 0, 1e-08, 0
493905601, 1.54, 2.29e-08, 2.52e-08, 2.41, 0, 1e-08, 0
496929601, 6.95, 1.84e-07, 1.63e-07, 2.41, 0, 1e-08, 0
498139201, 3.74, 2.86e-07, 2.52e-07, 2.41, 0, 1e-08, 0
498744001, 2.03, 1.68e-07, 2.26e-07, 2.41, 0, 1e-08, 0
499348801, 12.95, 3.58e-07, 2.25e-07, 2.41, 0, 1e-08, 0
