timestamp, ts, flux_upper_limits, fit_tolerance, fit_convergence
243475201, 0.77, 1.65e-08, 1e-08, 0
246067201, 0.0, 1.88e-08, 1e-08, 0
248659201, 0.07, 1.75e-08, 1e-08, 0
251251201, 0.27, 2.6e-08, 1e-08, 0
253843201, 0.0, 1.86e-08, 1e-08, 0
256435201, 0.0, 1.63e-08, 1e-08, 0
259027201, 0.69, 2.83e-08, 1e-08, 0
261619201, 0.0, 2.21e-08, 1e-08, 0
264211201, 0.0, 1.15e-08, 1e-08, 0
266803201, 0.0, 1.83e-08, 1e-08, 0
269395201, 0.0, 1.52e-08, 1e-08, 0
271987201, 0.38, 2.25e-08, 1e-08, 0
279763201, 0.1, 2.51e-08, 1e-08, 0
282355201, 0.0, 2.04e-08, 1e-08, 0
287539201, 0.85, 2.4e-08, 1e-08, 0
290131201, 0.21, 2.46e-08, 1e-08, 0
292723201, 0.3, 1.92e-08, 1e-08, 0
297907201, 0.0, 1.96e-08, 1e-08, 0
303091201, 0.0, 1.65e-08, 1e-08, 0
308275201, 0.0, 1.7e-08, 1e-08, 0
310867201, 0.32, 2.77e-08, 1e-08, 0
313459201, 0.0, 2.01e-08, 1e-08, 0
316051201, 0.33, 2.82e-08, 1e-08, 0
318643201, 0.0, 2.05e-08, 1e-08, 0
321235201, 0.0, 1.94e-08, 1e-08, 0
323827201, 0.84, 2.57e-08, 1e-08, 0
326419201, 0.0, 2.14e-08, 1e-08, 0
329011201, 0.0, 1.41e-08, 1e-08, 0
331603201, 0.92, 2.78e-08, 1e-08, 0
334195201, 0.0, 2.02e-08, 1e-08, 0
336787201, 0.0, 1.98e-08, 1e-08, 0
341971201, 0.04, 2.7e-08, 1e-08, 0
344563201, 0.59, 3.12e-08, 1e-08, 0
347155201, 0.04, 2.99e-08, 1e-08, 0
352339201, 0.0, 2.04e-08, 1e-08, 0
357523201, 0.0, 1.63e-08, 1e-08, 0
370483201, 0.97, 1.94e-08, 1e-08, 0
373075201, 0.0, 2.52e-08, 1e-08, 0
375667201, 0.0, 1.06e-08, 1e-08, 0
380851201, 0.0, 1.79e-08, 1e-08, 0
383443201, 0.07, 2.87e-08, 1e-08, 0
386035201, 0.0, 1.27e-08, 1e-08, 0
388627201, 0.38, 2.94e-08, 1e-08, 0
391219201, 0.29, 2.59e-08, 1e-08, 0
393811201, 0.29, 2.13e-08, 1e-08, 0
411955201, 0.0, 2.03e-08, 1e-08, 0
414547201, 0.0, 1.71e-08, 1e-08, 0
419731201, 0.89, 4.18e-08, 1e-08, 0
424915201, 0.0, 1.98e-08, 1e-08, 0
432691201, 0.11, 2.25e-08, 1e-08, 0
458611201, 0.0, 1.39e-08, 1e-08, 0
461203201, 0.0, 1.98e-08, 1e-08, 0
466387201, 0.48, 2.52e-08, 1e-08, 0
479347201, 0.23, 3.19e-08, 1e-08, 0
481939201, 0.0, 1.47e-08, 1e-08, 0
484531201, 0.58, 2.18e-08, 1e-08, 0
487123201, 0.0, 2.17e-08, 1e-08, 0
494899201, 0.0, 2.11e-08, 1e-08, 0
500083201, 0.0, 2.65e-08, 1e-08, 0
502675201, 0.0, 1.35e-08, 1e-08, 0
510451201, 0.0, 2.07e-08, 1e-08, 0
513043201, 0.0, 1.31e-08, 1e-08, 0
515635201, 0.0, 1.86e-08, 1e-08, 0
518227201, 0.0, 1.69e-08, 1e-08, 0
