timestamp, ts, flux, flux_error, photon_index, photon_index_interval, fit_tolerance, fit_convergence
240753601, 1.16, 4.38e-08, 5.17e-08, 2.58, 0, 1e-08, 0
241531201, 1.39, 4.16e-08, 4.03e-08, 2.58, 0, 1e-08, 0
241790401, 1.72, 3.67e-08, 3.63e-08, 2.58, 0, 1e-08, 0
243345601, 4.28, 6.89e-08, 4.32e-08, 2.58, 0, 1e-08, 0
243604801, 3.18, 6.03e-08, 4.37e-08, 2.58, 0, 1e-08, 0
248529601, 1.27, 4.24e-08, 4.75e-08, 2.58, 0, 1e-08, 0
248788801, 1.51, 3.92e-08, 3.91e-08, 2.58, 0, 1e-08, 0
250084801, 3.35, 7.37e-08, 4.75e-08, 2.58, 0, 1e-08, 0
251640001, 2.53, 5.36e-08, 4.12e-08, 2.58, 0, 1e-08, 0
251899201, 3.38, 6.11e-08, 4.31e-08, 2.58, 0, 1e-08, 0
252158401, 4.59, 8.45e-08, 5.17e-08, 2.58, 0, 1e-08, 0
252417601, 4.71, 5.24e-08, 3.87e-08, 2.58, 0, 1e-08, 0
255009601, 1.35, 2.51e-08, 2.84e-08, 2.58, 0, 1e-08, 0
256305601, 5.85, 6.75e-08, 4.15e-08, 2.58, 0, 1e-08, 0
258379201, 11.15, 1.46e-07, 5.68e-08, 2.58, 0, 1e-08, 0
259156801, 10.68, 6.32e-08, 3.78e-08, 2.58, 0, 1e-08, 0
261230401, 1.1, 3.32e-08, 3.9e-08, 2.58, 0, 1e-08, 0
263563201, 4.37, 2.7e-08, 2.23e-08, 2.58, 0, 1e-08, 0
263822401, 1.06, 2.74e-08, 3.25e-08, 2.58, 0, 1e-08, 0
266414401, 3.13, 4.97e-08, 3.95e-08, 2.58, 0, 1e-08, 0
267710401, 2.47, 4.61e-08, 3.81e-08, 2.58, 0, 1e-08, 0
268488001, 6.16, 3.44e-08, 2.53e-08, 2.58, 0, 1e-08, 0
269524801, 2.38, 4.24e-08, 3.54e-08, 2.58, 0, 1e-08, 0
269784001, 2.38, 4.7e-08, 4.05e-08, 2.58, 0, 1e-08, 0
270561601, 4.8, 4.37e-08, 3.66e-08, 2.58, 0, 1e-08, 0
271598401, 1.96, 2.16e-08, 2.25e-08, 2.58, 0, 1e-08, 0
