timestamp, ts, flux, flux_error, photon_index, photon_index_interval, fit_tolerance, fit_convergence
239976001, 1.37, 2.58e-08, 2.94e-08, 2.37, 0.88, 1e-08, 0
240753601, 2.9, 3.96e-08, 3.31e-08, 2.18, 0.67, 1e-08, 0
241531201, 5.3, 8.4e-08, 5.1e-08, 2.9, 0.67, 1e-08, 0
241790401, 1.09, 3.4e-08, 4.11e-08, 2.51, 1.19, 1e-08, 0
242827201, 3.55, 9.4e-08, 6.5e-08, 5.0, 0, 1e-08, 0
243864001, 1.66, 5.37e-08, 4.75e-08, 3.26, 1.31, 1e-08, 0
244641601, 1.43, 4.45e-08, 5.03e-08, 5.0, 0, 1e-08, 0
245419201, 3.86, 8.06e-08, 4.93e-08, 3.58, 0.95, 1e-08, 0
248788801, 1.75, 5.53e-08, 4.78e-08, 4.02, 1.19, 1e-08, 0
251899201, 2.29, 6.45e-08, 5.74e-08, 2.94, 1, 1e-08, 0
252936001, 2.76, 3e-09, 3.29e-09, 0.0, 0, 1e-08, 0
253195201, 1.03, 4.51e-09, 8.11e-09, 1.33, 1.1, 1e-08, 0
253972801, 1.92, 5.79e-09, 8.72e-09, 1.44, 0.97, 1e-08, 0
254232001, 1.12, 7.84e-09, 1.57e-08, 1.82, 1.35, 1e-08, 0
255528001, 1.68, 5.33e-08, 5.07e-08, 3.11, 1.02, 1e-08, 0
257083201, 3.44, 9.69e-08, 6.49e-08, 5.0, 0, 1e-08, 0
259934401, 3.27, 6.73e-08, 4.79e-08, 2.78, 0.8, 1e-08, 0
260193601, 1.51, 1.89e-08, 2.62e-08, 1.91, 0.96, 1e-08, 0
260712001, 2.81, 1.21e-08, 1.33e-08, 1.3, 0.71, 1e-08, 0
261748801, 1.89, 6.92e-08, 6.87e-08, 5.0, 0, 1e-08, 0
262267201, 1.26, 4.81e-08, 4.95e-08, 3.21, 1.36, 1e-08, 0
262785601, 4.49, 9.07e-08, 5.33e-08, 4.35, 3.39, 1e-08, 0
264081601, 7.06, 9.8e-08, 5.88e-08, 2.84, 0.75, 1e-08, 0
264340801, 1.57, 9.03e-09, 1.32e-08, 1.49, 0.92, 1e-08, 0
264600001, 2.5, 7.27e-08, 7.33e-08, 5.0, 0, 1e-08, 0
