timestamp, ts, flux, flux_error, photon_index, photon_index_interval, fit_tolerance, fit_convergence
241099201, 2.23, 1.73e-09, 1.92e-09, 0.65, 0.76, 1e-08, 0
244728001, 1.42, 2.61e-08, 6.62e-08, 3.75, 8.48, 1e-08, 102
248961601, 2.7, 1.9e-08, 1.65e-08, 2.53, 0.68, 1e-08, 0
250776001, 4.47, 2.18e-09, 3.14e-09, 1.01, 1.12, 1e-08, 0
255009601, 2.77, 4.77e-08, 3.79e-08, 5.0, 0, 1e-08, 0
255614401, 3.96, 3.58e-08, 2.7e-08, 2.97, 0.9, 1e-08, 0
256219201, 1.22, 1.04e-08, 1.35e-08, 2.13, 0.88, 1e-08, 0
257428801, 9.97, 5.23e-08, 3.3e-08, 2.92, 0.58, 1e-08, 0
259243201, 2.9, 1.31e-08, 1.69e-08, 2.39, 1.01, 1e-08, 0
265896001, 1.5, 3.81e-08, 6.61e-08, 3.65, 7.52, 1e-08, 102
269524801, 3.62, 1.87e-08, 2.51e-08, 2.41, 0.89, 1e-08, 0
271339201, 1.73, 3.03e-08, 2.83e-08, 3.08, 0.83, 1e-08, 0
272548801, 3.37, 2.24e-09, 2.87e-09, 1.01, 0.91, 1e-08, 0
274363201, 1.7, 3.45e-09, 6.64e-09, 1.11, 1.38, 1e-08, 0
274968001, 1.0, 5.08e-09, 1.03e-08, 1.97, 1.71, 1e-08, 0
275572801, 2.1, 2.42e-08, 3.85e-08, 2.66, 1.36, 1e-08, 0
276782401, 2.39, 4.24e-08, 3.38e-08, 5.0, 0, 1e-08, 0
277387201, 3.39, 6.96e-09, 6.96e-09, 1.82, 0.79, 1e-08, 0
278596801, 2.57, 7.36e-09, 1.03e-08, 1.67, 0.94, 1e-08, 0
279201601, 2.67, 7.09e-08, 5.02e-08, 3.52, 1.04, 1e-08, 0
281016001, 2.92, 1.66e-08, 1.72e-08, 2.65, 0.84, 1e-08, 0
281620801, 1.82, 2.73e-08, 2.51e-08, 5.0, 0, 1e-08, 0
282225601, 2.8, 2.92e-09, 4.94e-09, 1.45, 1.28, 1e-08, 0
288878401, 1.17, 4.98e-08, 5.74e-08, 5.0, 0, 1e-08, 0
291902401, 11.81, 3.15e-09, 2.32e-09, 0.45, 0.57, 1e-08, 0
293716801, 7.06, 2.97e-08, 2.53e-08, 2.27, 0.69, 1e-08, 0
294926401, 2.7, 1.36e-08, 1.47e-08, 2.46, 0.96, 1e-08, 0
295531201, 8.09, 6.5e-09, 6.7e-09, 1.41, 0.8, 1e-08, 0
296740801, 1.98, 3.36e-09, 5.2e-09, 1.69, 1.19, 1e-08, 0
298555201, 6.62, 1.2e-07, 3.32e-07, 4.37, 0.76, 1e-08, 0
299160001, 6.27, 1.98e-09, 2.22e-09, 0.63, 0.89, 1e-08, 0
300369601, 7.13, 3.81e-09, 4e-09, 1.3, 0.78, 1e-08, 0
302788801, 6.23, 1.2e-07, 7.59e-08, 5.0, 0, 1e-08, 0
305208001, 1.92, 3.28e-08, 3.46e-08, 4.03, 6.33, 1e-08, 102
308232001, 2.21, 4.96e-08, 4.55e-08, 5.0, 0, 1e-08, 0
309441601, 1.86, 1.98e-09, 3.1e-09, 1.38, 1.16, 1e-08, 0
311256001, 2.47, 2.28e-09, 2.73e-09, 0.69, 0.88, 1e-08, 0
311860801, 1.29, 1.95e-08, 2.31e-08, 2.88, 1.09, 1e-08, 0
314280001, 5.3, 2.84e-08, 2.05e-08, 2.83, 0.86, 1e-08, 0
317908801, 2.55, 4.39e-08, 3.12e-08, 5.0, 0, 1e-08, 0
320328001, 2.23, 7.51e-08, 5.78e-08, 5.0, 0, 1e-08, 0
320932801, 6.83, 5.25e-08, 4.68e-08, 2.51, 0.79, 1e-08, 0
321537601, 1.16, 5.59e-08, 5.99e-08, 5.0, 0, 1e-08, 0
323352001, 8.1, 2.6e-08, 1.71e-08, 2.49, 0.56, 1e-08, 0
325166401, 7.88, 3.56e-08, 3.36e-08, 2.52, 0.74, 1e-08, 0
325771201, 2.83, 3.27e-08, 3.2e-08, 2.85, 0.85, 1e-08, 0
326376001, 5.88, 2.14e-08, 2.34e-08, 2.36, 0.79, 1e-08, 0
326980801, 2.71, 2.65e-09, 2.98e-09, 1.18, 0.85, 1e-08, 0
327585601, 2.86, 4.06e-08, 2.76e-08, 5.0, 0, 1e-08, 0
328190401, 8.49, 2.26e-09, 1.88e-09, 0.38, 0.6, 1e-08, 0
330004801, 4.18, 1.02e-08, 1.52e-08, 1.94, 1.01, 1e-08, 0
330609601, 5.02, 8.22e-08, 4.68e-08, 4.19, 1.06, 1e-08, 0
331819201, 1.48, 1.25e-09, 1.69e-09, 0.77, 0.99, 1e-08, 0
332424001, 7.24, 1.04e-08, 8.38e-09, 1.72, 0.6, 1e-08, 0
339076801, 1.69, 4.74e-08, 5.37e-08, 3.39, 2.01, 1e-08, 0
339681601, 3.04, 7.64e-08, 5.56e-08, 3.66, 0.98, 1e-08, 0
341496001, 3.29, 2.78e-08, 2.44e-08, 2.93, 0.79, 1e-08, 0
344520001, 10.36, 9.3e-09, 5.39e-09, 0.63, 0.44, 1e-08, 0
