timestamp, ts, flux_upper_limits, fit_tolerance, fit_convergence
239976001, 0.41, 8.49e-08, 1e-08, 0
240753601, 0.0, 3.99e-08, 1e-08, 102
241012801, 0.0, 5.78e-08, 1e-08, 102
241272001, 0.0, 6.63e-08, 1e-08, 102
241531201, 0.0, 4.92e-08, 1e-08, 102
241790401, 0.01, 1.11e-07, 1e-08, 0
242827201, 0.0, 9.16e-08, 1e-08, 102
243086401, 0.0, 8.1e-08, 1e-08, 0
243345601, 0.0, 8.28e-08, 1e-08, 102
243604801, 0.0, 7.06e-08, 1e-08, 102
243864001, 0.0, 7.63e-08, 1e-08, 102
244641601, 0.0, 6.55e-08, 1e-08, 102
244900801, 0.0, 4.95e-08, 1e-08, 0
245160001, 0.57, 7.76e-08, 1e-08, 0
245419201, 0.0, 5.51e-08, 1e-08, 102
245678401, 0.03, 7.65e-08, 1e-08, 0
245937601, 0.0, 7.29e-08, 1e-08, 102
246196801, 0.0, 8.82e-08, 1e-08, 0
246456001, 0.78, 1.15e-07, 1e-08, 0
246715201, 0.0, 8.07e-08, 1e-08, 102
247233601, 0.0, 8.27e-08, 1e-08, 102
247492801, 0.0, 6.18e-08, 1e-08, 102
247752001, 0.0, 6.31e-08, 1e-08, 102
248011201, 0.0, 5.85e-08, 1e-08, 102
248529601, 0.33, 8.01e-08, 1e-08, 0
248788801, 0.0, 3.51e-08, 1e-08, 102
249048001, 0.0, 6.05e-08, 1e-08, 102
249307201, 0.0, 5.53e-08, 1e-08, 102
249566401, 0.0, 4.45e-08, 1e-08, 102
250084801, 0.0, 6.84e-08, 1e-08, 102
250344001, 0.43, 8.16e-08, 1e-08, 102
250862401, 0.0, 6.2e-08, 1e-08, 102
251121601, 0.0, 6.4e-08, 1e-08, 102
251899201, 0.0, 7.18e-08, 1e-08, 102
252158401, 0.46, 8.61e-08, 1e-08, 102
252676801, 0.01, 8.09e-08, 1e-08, 0
252936001, 0.0, 5.45e-08, 1e-08, 0
253713601, 0.0, 7.61e-08, 1e-08, 0
254491201, 0.0, 3.62e-08, 1e-08, 102
254750401, 0.0, 7.03e-08, 1e-08, 102
255009601, 0.0, 5.66e-08, 1e-08, 102
255268801, 0.8, 1.19e-07, 1e-08, 0
255787201, 0.0, 8.41e-08, 1e-08, 102
256305601, 0.2, 1.01e-07, 1e-08, 0
256564801, 0.87, 1.29e-07, 1e-08, 0
256824001, 0.13, 8.62e-08, 1e-08, 0
257083201, 0.0, 5.93e-08, 1e-08, 102
257601601, 0.0, 6.78e-08, 1e-08, 102
257860801, 0.0, 5.12e-08, 1e-08, 102
258379201, 0.0, 7.38e-08, 1e-08, 102
258897601, 0.0, 9.68e-08, 1e-08, 102
259156801, 0.0, 7e-08, 1e-08, 102
259416001, 0.54, 8.09e-08, 1e-08, 0
259934401, 0.69, 8.23e-08, 1e-08, 102
260193601, 0.56, 9.79e-08, 1e-08, 0
260452801, 0.0, 7.49e-08, 1e-08, 102
260712001, 0.0, 7.45e-08, 1e-08, 102
260971201, 0.0, 6.63e-08, 1e-08, 102
261230401, 0.0, 7.02e-08, 1e-08, 0
