timestamp, ts, flux, flux_error, photon_index, photon_index_interval, fit_tolerance, fit_convergence
240883201, 5.11, 2.69e-08, 1.55e-08, 3.21, 0.74, 1e-08, 0
243475201, 7.65, 2.18e-08, 1.25e-08, 2.5, 0.45, 1e-08, 0
246067201, 49.27, 3.59e-08, 1.12e-08, 2.12, 0.18, 1e-08, 0
251251201, 22.1, 1.83e-08, 1.1e-08, 2.08, 0.31, 1e-08, 0
253843201, 23.23, 3.67e-08, 1.33e-08, 2.44, 0.3, 1e-08, 0
256435201, 17.29, 2.33e-08, 1.04e-08, 2.18, 0.26, 1e-08, 0
259027201, 21.03, 6.58e-08, 1.91e-08, 2.86, 0.32, 1e-08, 0
261619201, 2.67, 2.23e-08, 1.62e-08, 3.15, 0.69, 1e-08, 0
264211201, 4.43, 2.46e-08, 1.49e-08, 2.89, 0.53, 1e-08, 0
266803201, 12.52, 1.75e-08, 1.25e-08, 2.29, 0.4, 1e-08, 0
269395201, 8.8, 2.83e-08, 1.59e-08, 2.75, 0.44, 1e-08, 0
271987201, 1.75, 1.03e-08, 1.01e-08, 2.5, 0.51, 1e-08, 0
274579201, 5.13, 4.56e-09, 5.52e-09, 1.74, 0.5, 1e-08, 0
292723201, 1.41, 3.11e-10, 4.32e-10, 0.8, 0.78, 1e-08, 0
303091201, 2.76, 9.37e-09, 1.05e-08, 2.18, 0.57, 1e-08, 0
316051201, 1.48, 1.29e-08, 1.38e-08, 2.59, 0.64, 1e-08, 0
318643201, 1.93, 1.93e-08, 1.68e-08, 3.09, 0.82, 1e-08, 0
321235201, 3.9, 3.56e-08, 4.39e-08, 7.29, 19, 1e-08, 0
323827201, 5.06, 4.07e-08, 2.28e-08, 3.05, 0.74, 1e-08, 0
329011201, 3.8, 4.86e-09, 5.08e-09, 1.68, 0.45, 1e-08, 0
336787201, 5.68, 5.89e-09, 7.93e-09, 1.87, 0.54, 1e-08, 0
349747201, 4.42, 2.25e-08, 1.49e-08, 2.5, 0.5, 1e-08, 0
354931201, 1.88, 2.1e-08, 1.91e-08, 2.82, 0.81, 1e-08, 0
360115201, 2.18, 4.58e-09, 5.07e-09, 1.94, 0.47, 1e-08, 0
370483201, 3.53, 3.11e-08, 1.43e-07, 5.9, 0.97, 1e-08, 0
373075201, 1.5, 2.23e-08, 1.98e-08, 3.8, 1.75, 1e-08, 0
391219201, 5.49, 2.03e-08, 1.5e-08, 2.5, 0.51, 1e-08, 0
404179201, 1.2, 2.08e-08, 2.18e-08, 3.4, 1.24, 1e-08, 0
