timestamp, ts, flux_upper_limits, fit_tolerance, fit_convergence
239716801, 0.0, 5.79e-08, 1e-08, 0
239976001, 0.71, 7.18e-08, 1e-08, 0
240235201, 0.0, 5.19e-08, 1e-08, 0
240753601, 0.59, 6.74e-08, 1e-08, 0
241272001, 0.5, 7.98e-08, 1e-08, 0
241790401, 0.0, 7.21e-08, 1e-08, 0
242049601, 0.39, 9.11e-08, 1e-08, 0
242568001, 0.01, 8.03e-08, 1e-08, 0
244382401, 0.59, 9.01e-08, 1e-08, 0
245419201, 0.0, 5.94e-08, 1e-08, 0
287928001, 0.0, 1.03e-07, 1e-08, 0
291297601, 0.02, 8.8e-08, 1e-08, 0
291556801, 0.0, 9.31e-08, 1e-08, 0
292075201, 0.75, 1.2e-07, 1e-08, 0
292593601, 0.03, 1.19e-07, 1e-08, 0
293371201, 0.0, 7.24e-08, 1e-08, 0
293630401, 0.89, 1.33e-07, 1e-08, 0
293889601, 0.09, 9.61e-08, 1e-08, 0
294667201, 0.25, 9.07e-08, 1e-08, 0
294926401, 0.19, 7.71e-08, 1e-08, 0
296740801, 0.0, 7e-08, 1e-08, 0
303739201, 0.73, 1.15e-07, 1e-08, 0
305812801, 0.8, 1.16e-07, 1e-08, 0
311256001, 0.95, 1.38e-07, 1e-08, 0
330177601, 0.0, 6.1e-08, 1e-08, 0
330955201, 0.0, 7.81e-08, 1e-08, 0
332510401, 0.47, 9.18e-08, 1e-08, 0
335620801, 0.24, 6.75e-08, 1e-08, 0
336139201, 0.46, 8.33e-08, 1e-08, 0
337176001, 0.0, 1.25e-07, 1e-08, 0
337953601, 0.29, 1.26e-07, 1e-08, 0
339768001, 0.0, 7.78e-08, 1e-08, 0
340027201, 0.0, 9.3e-08, 1e-08, 0
340286401, 0.57, 1.26e-07, 1e-08, 0
341323201, 0.0, 7.2e-08, 1e-08, 0
341582401, 0.49, 9.54e-08, 1e-08, 0
341841601, 0.0, 8.59e-08, 1e-08, 0
342619201, 0.0, 6.36e-08, 1e-08, 0
342878401, 0.21, 8.31e-08, 1e-08, 0
343396801, 0.0, 7.03e-08, 1e-08, 0
344174401, 0.0, 8.44e-08, 1e-08, 0
344433601, 0.17, 1.06e-07, 1e-08, 0
346248001, 0.0, 6.59e-08, 1e-08, 0
347025601, 0.0, 8.78e-08, 1e-08, 0
348062401, 0.94, 1.08e-07, 1e-08, 0
348580801, 0.3, 1.12e-07, 1e-08, 0
349876801, 0.26, 1.03e-07, 1e-08, 0
350136001, 0.0, 9.82e-08, 1e-08, 0
353505601, 0.44, 1.33e-07, 1e-08, 0
353764801, 0.0, 7.81e-08, 1e-08, 0
354542401, 0.29, 1.07e-07, 1e-08, 0
355060801, 0.22, 8.43e-08, 1e-08, 0
355320001, 0.46, 6.47e-08, 1e-08, 0
355838401, 0.0, 6.67e-08, 1e-08, 0
