timestamp, ts, flux, flux_error, photon_index, photon_index_interval, fit_tolerance, fit_convergence, reasons_for_removal
258379201, 2.51, 1.76e-08, 1.92e-08, 2.68, 0, 1e-08, 0, outlier_in_relative_flux
324216001, 1.0, NaN, NaN, 2.68, 0, 1e-08, 0, missing_flux||missing_flux_error
550756801, 4.74, 1.82e-06, 0, 2.68, 0, 1e-08, 101, zero_flux_error||non_zero_quality
576936001, 1.73, 4.44e-05, 0, 2.68, 0, 1e-08, 0, zero_flux_error
577454401, 11.35, 4.44e-05, 0, 2.68, 0, 1e-08, 0, zero_flux_error
608817601, 4.64, 4.44e-05, 0, 2.68, 0, 1e-08, 0, zero_flux_error
609076801, 2.2, 4.44e-05, 0, 2.68, 0, 1e-08, 0, zero_flux_error
609336001, 1.31, 4.44e-05, 0, 2.68, 0, 1e-08, 0, zero_flux_error
609595201, 1.17, 4.44e-05, 0, 2.68, 0, 1e-08, 0, zero_flux_error
640440001, 1.0, NaN, NaN, 2.68, 0, 1e-08, 0, missing_flux||missing_flux_error
641217601, 11.81, 4.44e-05, 0, 2.68, 0, 1e-08, 0, zero_flux_error
