timestamp, ts, flux, flux_error, photon_index, photon_index_interval, fit_tolerance, fit_convergence
239716801, 14.26, 1.13e-07, 5.29e-08, 2.35, 0, 1e-08, 0
239976001, 19.68, 1.32e-07, 5.13e-08, 2.35, 0, 1e-08, 0
240235201, 17.41, 1.1e-07, 4.4e-08, 2.35, 0, 1e-08, 0
240494401, 1.5, 3.75e-08, 3.77e-08, 2.35, 0, 1e-08, 0
240753601, 15.82, 9.72e-08, 4.1e-08, 2.35, 0, 1e-08, 0
241012801, 8.75, 6.6e-08, 3.5e-08, 2.35, 0, 1e-08, 0
241531201, 1.02, 2.84e-08, 3.54e-08, 2.35, 0, 1e-08, 0
241790401, 2.1, 4.18e-08, 3.8e-08, 2.35, 0, 1e-08, 0
242049601, 3.52, 2.69e-08, 2.28e-08, 2.35, 0, 1e-08, 0
242827201, 7.72, 6.21e-08, 3.36e-08, 2.35, 0, 1e-08, 0
243345601, 1.22, 3.46e-08, 4.22e-08, 2.35, 0, 1e-08, 0
243864001, 3.1, 4.2e-08, 3.8e-08, 2.35, 0, 1e-08, 0
244123201, 5.73, 6.69e-08, 4.49e-08, 2.35, 0, 1e-08, 0
244641601, 4.49, 6.87e-08, 5.34e-08, 2.35, 0, 1e-08, 0
245678401, 4.93, 6.4e-08, 3.92e-08, 2.35, 0, 1e-08, 0
246456001, 1.69, 3.1e-08, 3.13e-08, 2.35, 0, 1e-08, 0
247233601, 1.47, 3.21e-08, 3.28e-08, 2.35, 0, 1e-08, 0
248011201, 1.92, 2.46e-08, 2.65e-08, 2.35, 0, 1e-08, 0
249048001, 3.25, 6.05e-08, 4.97e-08, 2.35, 0, 1e-08, 0
249825601, 4.09, 4.27e-08, 3.18e-08, 2.35, 0, 1e-08, 0
250084801, 7.5, 6.82e-08, 4.06e-08, 2.35, 0, 1e-08, 0
250862401, 7.64, 7.99e-08, 4.72e-08, 2.35, 0, 1e-08, 0
251899201, 4.95, 7.65e-08, 5.04e-08, 2.35, 0, 1e-08, 0
252158401, 9.95, 7.58e-08, 4.62e-08, 2.35, 0, 1e-08, 0
252417601, 1.09, 1.63e-08, 2.17e-08, 2.35, 0, 1e-08, 0
252676801, 1.64, 2.11e-08, 2.55e-08, 2.35, 0, 1e-08, 0
253454401, 2.07, 5.06e-08, 4.79e-08, 2.35, 0, 1e-08, 0
253713601, 5.33, 1.05e-07, 5.79e-08, 2.35, 0, 1e-08, 0
254232001, 1.08, 2.29e-08, 2.71e-08, 2.35, 0, 1e-08, 0
254750401, 1.67, 3.45e-08, 3.79e-08, 2.35, 0, 1e-08, 0
255528001, 3.86, 1.81e-08, 1.86e-08, 2.35, 0, 1e-08, 0
256046401, 1.02, 2.34e-08, 2.98e-08, 2.35, 0, 1e-08, 0
256564801, 5.99, 3.93e-08, 2.98e-08, 2.35, 0, 1e-08, 0
257083201, 20.62, 8.57e-08, 3.53e-08, 2.35, 0, 1e-08, 0
257342401, 4.03, 6.46e-08, 4.03e-08, 2.35, 0, 1e-08, 0
257601601, 25.71, 1.53e-07, 5e-08, 2.35, 0, 1e-08, 0
