timestamp, ts, flux, flux_error, photon_index, photon_index_interval, fit_tolerance, fit_convergence
240883201, 5.28, 7.18e-10, 1.11e-09, 1.27, 0.68, 1e-08, 0
248659201, 39.16, 2.35e-08, 1.22e-08, 1.93, 0.23, 1e-08, 0
251251201, 7.82, 3.92e-08, 1.97e-08, 2.55, 0.34, 1e-08, 0
256435201, 4.77, 2.16e-08, 2.63e-08, 2.4, 0.7, 1e-08, 0
259027201, 1.98, 6.81e-09, 8.01e-09, 1.95, 0.49, 1e-08, 0
269395201, 11.64, 3.34e-08, 1.54e-08, 2.22, 0.28, 1e-08, 0
271987201, 79.42, 7.31e-08, 1.66e-08, 2.14, 0.13, 1e-08, 0
274579201, 14.19, 3.66e-08, 1.81e-08, 2.33, 0.31, 1e-08, 0
277171201, 60.11, 3.37e-08, 1.43e-08, 1.88, 0.2, 1e-08, 0
279763201, 12.42, 2.07e-08, 1.77e-08, 2.19, 0.41, 1e-08, 0
282355201, 25.22, 3.99e-08, 1.57e-08, 2.21, 0.21, 1e-08, 0
284947201, 23.08, 2.94e-08, 1.43e-08, 2.05, 0.24, 1e-08, 0
287539201, 8.55, 2.46e-08, 1.58e-08, 2.32, 0.36, 1e-08, 0
290131201, 2.64, 3.35e-09, 5.07e-09, 1.77, 0.58, 1e-08, 0
292723201, 3.33, 3.65e-08, 2.22e-08, 3.18, 0.65, 1e-08, 0
295315201, 5.35, 3.39e-08, 2.17e-08, 2.6, 0.49, 1e-08, 0
300499201, 6.22, 3.93e-08, 2.07e-08, 2.68, 0.63, 1e-08, 0
303091201, 4.39, 2.88e-08, 1.9e-08, 2.61, 0.42, 1e-08, 0
308275201, 1.49, 1.42e-08, 1.68e-08, 2.49, 0.66, 1e-08, 0
316051201, 2.31, 2.42e-08, 1.93e-08, 2.79, 0.68, 1e-08, 0
321235201, 3.86, 4.08e-08, 2.26e-08, 4.6, 1.49, 1e-08, 0
323827201, 3.6, 2.54e-08, 6.77e-08, 2.63, 4.62, 1e-08, 102
326419201, 6.46, 6.84e-09, 8.44e-09, 1.77, 0.49, 1e-08, 0
