timestamp, ts, flux, flux_error, photon_index, photon_index_interval, fit_tolerance, fit_convergence
240883201, 739.21, 2.12e-07, 1.9e-08, 2.0, 0.07, 1e-08, 0
243475201, 700.55, 1.75e-07, 1.6e-08, 1.93, 0.07, 1e-08, 0
246067201, 567.58, 1.9e-07, 2e-08, 2.03, 0.08, 1e-08, 0
248659201, 525.05, 1.56e-07, 1.6e-08, 2.02, 0.08, 1e-08, 0
251251201, 473.78, 1.51e-07, 1.7e-08, 1.98, 0.08, 1e-08, 0
253843201, 815.57, 2.18e-07, 1.8e-08, 2.03, 0.06, 1e-08, 0
256435201, 1664.87, 3.59e-07, 2.2e-08, 2.02, 0.05, 1e-08, 0
259027201, 1204.56, 3.23e-07, 2.2e-08, 2.06, 0.06, 1e-08, 0
261619201, 2305.75, 4.77e-07, 2.4e-08, 2.07, 0.04, 1e-08, 0
264211201, 857.84, 2.47e-07, 2e-08, 2.01, 0.06, 1e-08, 0
266803201, 653.05, 1.53e-07, 1.6e-08, 1.92, 0.07, 1e-08, 0
269395201, 459.56, 1.51e-07, 1.75e-08, 1.95, 0.08, 1e-08, 0
271987201, 465.74, 1.52e-07, 1.6e-08, 2.1, 0.08, 1e-08, 0
274579201, 347.59, 1.21e-07, 1.7e-08, 1.93, 0.1, 1e-08, 0
277171201, 384.54, 1.38e-07, 1.6e-08, 2.08, 0.09, 1e-08, 0
279763201, 445.44, 1.31e-07, 1.6e-08, 1.99, 0.09, 1e-08, 0
282355201, 931.34, 2.16e-07, 1.8e-08, 1.87, 0.06, 1e-08, 0
284947201, 2406.54, 3.79e-07, 2e-08, 1.89, 0.04, 1e-08, 0
287539201, 2665.69, 5.1e-07, 2.7e-08, 1.85, 0.04, 1e-08, 0
290131201, 3284.63, 5e-07, 2.2e-08, 1.95, 0.03, 1e-08, 0
292723201, 2524.49, 5.64e-07, 2.95e-08, 1.92, 0.04, 1e-08, 0
295315201, 2599.36, 4.34e-07, 2.1e-08, 1.94, 0.04, 1e-08, 0
297907201, 1753.57, 4.14e-07, 2.5e-08, 1.96, 0.05, 1e-08, 0
300499201, 2046.77, 4.11e-07, 2.3e-08, 2.0, 0.04, 1e-08, 0
303091201, 164.81, 5.59e-08, 1.09e-08, 1.93, 0.13, 1e-08, 0
305683201, 246.37, 1.26e-07, 1.8e-08, 2.07, 0.11, 1e-08, 0
308275201, 1437.51, 2.69e-07, 1.75e-08, 1.99, 0.05, 1e-08, 0
310867201, 255.56, 1.51e-07, 2e-08, 2.12, 0.1, 1e-08, 0
313459201, 598.65, 1.42e-07, 1.4e-08, 1.92, 0.07, 1e-08, 0
316051201, 498.21, 1.32e-07, 1.6e-08, 1.77, 0.08, 1e-08, 0
318643201, 325.94, 1.03e-07, 1.48e-08, 1.96, 0.1, 1e-08, 0
321235201, 159.34, 5.96e-08, 1.27e-08, 2.01, 0.14, 1e-08, 0
323827201, 179.29, 6.84e-08, 1.32e-08, 1.87, 0.12, 1e-08, 0
326419201, 66.07, 3.18e-08, 9.2e-09, 2.0, 0.19, 1e-08, 0
329011201, 81.33, 3.41e-08, 1.05e-08, 1.74, 0.18, 1e-08, 0
331603201, 63.96, 4.26e-08, 1.08e-08, 2.12, 0.18, 1e-08, 0
334195201, 99.44, 4.71e-08, 1.43e-08, 1.96, 0.19, 1e-08, 0
336787201, 77.36, 4.37e-08, 1.26e-08, 1.99, 0.19, 1e-08, 0
339379201, 29.07, 2.37e-08, 1.15e-08, 1.96, 0.26, 1e-08, 0
341971201, 51.48, 2.63e-08, 1.21e-08, 1.9, 0.25, 1e-08, 0
344563201, 18.48, 4.93e-09, 3.76e-09, 1.41, 0.4, 1e-08, 0
347155201, 50.34, 3.48e-08, 1.22e-08, 2.02, 0.22, 1e-08, 0
349747201, 125.5, 4.1e-08, 1.06e-08, 1.92, 0.16, 1e-08, 0
352339201, 144.54, 1.07e-07, 2e-08, 2.18, 0.14, 1e-08, 0
354931201, 748.94, 1.45e-07, 1.35e-08, 1.87, 0.07, 1e-08, 0
357523201, 343.98, 1.52e-07, 2e-08, 2.1, 0.1, 1e-08, 0
360115201, 382.06, 1.23e-07, 1.5e-08, 2.04, 0.09, 1e-08, 0
362707201, 189.21, 9.53e-08, 1.47e-08, 2.06, 0.11, 1e-08, 0
365299201, 154.33, 8.22e-08, 1.49e-08, 2.12, 0.13, 1e-08, 0
367891201, 253.35, 1.29e-07, 1.7e-08, 2.27, 0.1, 1e-08, 0
370483201, 240.9, 1.35e-07, 2.1e-08, 2.06, 0.11, 1e-08, 0
373075201, 699.29, 1.55e-07, 1.5e-08, 1.91, 0.07, 1e-08, 0
375667201, 838.22, 2.72e-07, 2.4e-08, 1.97, 0.06, 1e-08, 0
378259201, 3669.39, 5.52e-07, 2.3e-08, 1.94, 0.03, 1e-08, 0
380851201, 1500.06, 3.47e-07, 2.2e-08, 1.99, 0.05, 1e-08, 0
383443201, 991.33, 2.39e-07, 1.8e-08, 2.01, 0.06, 1e-08, 0
386035201, 1060.13, 2.55e-07, 1.9e-08, 2.04, 0.06, 1e-08, 0
388627201, 2326.44, 6.18e-07, 3.1e-08, 2.04, 0.04, 1e-08, 0
391219201, 4024.46, 6.53e-07, 2.55e-08, 1.95, 0.03, 1e-08, 0
393811201, 1028.17, 3.27e-07, 2.4e-08, 2.02, 0.06, 1e-08, 0
396403201, 2638.74, 5.14e-07, 2.3e-08, 2.09, 0.04, 1e-08, 0
398995201, 826.43, 2.62e-07, 2.4e-08, 1.89, 0.07, 1e-08, 0
401587201, 1501.17, 3.18e-07, 2e-08, 1.99, 0.05, 1e-08, 0
404179201, 877.7, 2.51e-07, 2.1e-08, 2.07, 0.06, 1e-08, 0
406771201, 703.82, 2.5e-07, 2.2e-08, 2.09, 0.07, 1e-08, 0
409363201, 2541.76, 4.17e-07, 2e-08, 2.04, 0.04, 1e-08, 0
411955201, 475.8, 2.68e-07, 2.9e-08, 2.03, 0.08, 1e-08, 0
414547201, 1322.24, 2.76e-07, 1.8e-08, 2.0, 0.05, 1e-08, 0
417139201, 654.76, 2.84e-07, 2.5e-08, 2.13, 0.07, 1e-08, 0
419731201, 1009.16, 2.44e-07, 1.9e-08, 1.97, 0.06, 1e-08, 0
422323201, 1148.86, 3.2e-07, 2.2e-08, 2.06, 0.05, 1e-08, 0
424915201, 983.95, 3.18e-07, 2.3e-08, 2.08, 0.06, 1e-08, 0
427507201, 622.36, 2.39e-07, 2.1e-08, 2.18, 0.07, 1e-08, 0
430099201, 152.93, 1.33e-07, 2.2e-08, 2.28, 0.13, 1e-08, 0
432691201, 610.67, 1.78e-07, 1.65e-08, 2.03, 0.07, 1e-08, 0
435283201, 363.61, 2.18e-07, 2.55e-08, 2.15, 0.09, 1e-08, 0
437875201, 258.32, 8.98e-08, 1.45e-08, 2.01, 0.11, 1e-08, 0
440467201, 293.33, 1.67e-07, 2.1e-08, 2.23, 0.1, 1e-08, 0
443059201, 586.84, 1.9e-07, 1.9e-08, 2.09, 0.08, 1e-08, 0
445651201, 546.12, 1.4e-07, 1.5e-08, 1.97, 0.08, 1e-08, 0
448243201, 726.28, 2.49e-07, 2.3e-08, 1.99, 0.07, 1e-08, 0
450835201, 1828.5, 3.25e-07, 1.9e-08, 1.94, 0.04, 1e-08, 0
453427201, 746.29, 2.81e-07, 2.4e-08, 2.03, 0.07, 1e-08, 0
456019201, 1376.94, 3.07e-07, 2e-08, 2.02, 0.05, 1e-08, 0
458611201, 1330.39, 3.75e-07, 2.5e-08, 2.05, 0.05, 1e-08, 0
461203201, 1145.44, 2.99e-07, 2e-08, 2.1, 0.05, 1e-08, 0
463795201, 1790.55, 3.92e-07, 2.2e-08, 2.06, 0.05, 1e-08, 0
466387201, 1168.59, 3.03e-07, 2.2e-08, 2.02, 0.06, 1e-08, 0
468979201, 1466.52, 3.14e-07, 1.9e-08, 2.06, 0.05, 1e-08, 0
471571201, 568.53, 2.77e-07, 2.5e-08, 2.2, 0.08, 1e-08, 0
474163201, 699.76, 2.08e-07, 1.7e-08, 2.2, 0.07, 1e-08, 0
476755201, 126.64, 8.69e-08, 1.78e-08, 2.19, 0.15, 1e-08, 0
479347201, 118.75, 7.13e-08, 1.37e-08, 2.27, 0.15, 1e-08, 0
481939201, 84.4, 7.09e-08, 1.63e-08, 2.36, 0.18, 1e-08, 0
484531201, 876.24, 2.87e-07, 2.3e-08, 2.05, 0.06, 1e-08, 0
487123201, 1323.63, 3.04e-07, 1.9e-08, 2.06, 0.05, 1e-08, 0
489715201, 825.12, 2.74e-07, 2.4e-08, 2.0, 0.07, 1e-08, 0
492307201, 3907.7, 5.12e-07, 1.9e-08, 2.03, 0.03, 1e-08, 0
494899201, 1030.73, 3.06e-07, 2.25e-08, 2.04, 0.06, 1e-08, 0
497491201, 1667.88, 3.24e-07, 1.9e-08, 2.06, 0.05, 1e-08, 0
500083201, 901.95, 2.67e-07, 2.1e-08, 2.01, 0.06, 1e-08, 0
502675201, 1232.25, 3.32e-07, 2.3e-08, 2.02, 0.05, 1e-08, 0
505267201, 2179.97, 4.81e-07, 2.5e-08, 2.03, 0.04, 1e-08, 0
507859201, 1055.82, 3.52e-07, 2.5e-08, 2.14, 0.06, 1e-08, 0
510451201, 1588.87, 3.3e-07, 1.9e-08, 2.08, 0.05, 1e-08, 0
513043201, 650.24, 2.24e-07, 2.2e-08, 1.97, 0.07, 1e-08, 0
515635201, 1242.18, 2.49e-07, 1.7e-08, 1.99, 0.05, 1e-08, 0
518227201, 703.45, 1.94e-07, 1.9e-08, 1.87, 0.07, 1e-08, 0
520819201, 821.17, 2.36e-07, 2e-08, 2.04, 0.07, 1e-08, 0
523411201, 777.39, 1.8e-07, 1.6e-08, 1.93, 0.06, 1e-08, 0
526003201, 687.45, 1.82e-07, 1.8e-08, 1.89, 0.07, 1e-08, 0
528595201, 501.09, 1.25e-07, 1.4e-08, 1.93, 0.08, 1e-08, 0
531187201, 258.1, 7.61e-08, 1.33e-08, 1.75, 0.11, 1e-08, 0
533779201, 344.42, 8.86e-08, 1.22e-08, 1.89, 0.09, 1e-08, 0
536371201, 92.79, 4.97e-08, 1.2e-08, 1.93, 0.16, 1e-08, 0
538963201, 243.41, 6.2e-08, 1.13e-08, 1.73, 0.11, 1e-08, 0
541555201, 1187.56, 2.76e-07, 1.9e-08, 1.98, 0.05, 1e-08, 0
544147201, 116.39, 1.07e-07, 2.58e-08, 1.91, 0.17, 1e-08, 0
546739201, 172.18, 4.02e-08, 9.4e-09, 1.74, 0.14, 1e-08, 0
549331201, 290.16, 7.27e-08, 1.03e-08, 1.95, 0.1, 1e-08, 0
551923201, 418.77, 7.53e-08, 1.03e-08, 1.93, 0.09, 1e-08, 0
554515201, 271.81, 1.25e-07, 1.9e-08, 2.0, 0.11, 1e-08, 0
557107201, 228.62, 6.88e-08, 1.05e-08, 2.0, 0.11, 1e-08, 0
559699201, 149.91, 6.55e-08, 1.6e-08, 1.78, 0.16, 1e-08, 0
562291201, 178.47, 5.37e-08, 9.8e-09, 1.88, 0.12, 1e-08, 0
564883201, 149.26, 7.48e-08, 1.39e-08, 2.09, 0.13, 1e-08, 0
567475201, 53.15, 3.36e-08, 1.19e-08, 1.91, 0.22, 1e-08, 0
570067201, 112.67, 2.77e-08, 8e-09, 1.73, 0.18, 1e-08, 0
572659201, 79.66, 3.35e-08, 9.4e-09, 1.8, 0.18, 1e-08, 0
575251201, 130.97, 6.09e-08, 1.14e-08, 2.04, 0.13, 1e-08, 0
577843201, 302.63, 8.76e-08, 1.17e-08, 1.96, 0.1, 1e-08, 0
580435201, 380.55, 9.76e-08, 1.16e-08, 1.86, 0.09, 1e-08, 0
583027201, 1252.79, 2.16e-07, 1.6e-08, 1.88, 0.05, 1e-08, 0
585619201, 554.17, 1.29e-07, 1.3e-08, 1.9, 0.07, 1e-08, 0
588211201, 551.34, 1.09e-07, 1.12e-08, 1.88, 0.07, 1e-08, 0
590803201, 227.3, 8.35e-08, 1.36e-08, 1.96, 0.11, 1e-08, 0
593395201, 335.56, 1.01e-07, 1.33e-08, 1.99, 0.09, 1e-08, 0
595987201, 313.99, 9.82e-08, 1.36e-08, 2.04, 0.1, 1e-08, 0
598579201, 165.71, 8.03e-08, 1.28e-08, 2.23, 0.12, 1e-08, 0
601171201, 114.81, 6.57e-08, 1.29e-08, 2.23, 0.15, 1e-08, 0
603763201, 216.83, 7.28e-08, 1.29e-08, 1.96, 0.12, 1e-08, 0
606355201, 164.75, 7.12e-08, 1.19e-08, 2.17, 0.13, 1e-08, 0
608947201, 501.63, 1.76e-07, 1.8e-08, 2.1, 0.08, 1e-08, 0
611539201, 749.72, 1.71e-07, 1.5e-08, 2.03, 0.07, 1e-08, 0
614131201, 349.79, 9.79e-08, 1.41e-08, 1.94, 0.1, 1e-08, 0
616723201, 653.24, 1.35e-07, 1.3e-08, 1.89, 0.07, 1e-08, 0
619315201, 544.41, 1.28e-07, 1.4e-08, 1.86, 0.08, 1e-08, 0
621907201, 399.81, 1.44e-07, 1.7e-08, 2.05, 0.09, 1e-08, 0
624499201, 414.33, 1.08e-07, 1.31e-08, 1.97, 0.09, 1e-08, 0
627091201, 318.57, 1.06e-07, 1.51e-08, 2.01, 0.1, 1e-08, 0
629683201, 245.3, 5.95e-08, 9.8e-09, 1.89, 0.11, 1e-08, 0
632275201, 93.1, 6.48e-08, 1.47e-08, 2.23, 0.17, 1e-08, 0
634867201, 140.08, 7.73e-08, 1.29e-08, 2.17, 0.13, 1e-08, 0
637459201, 347.83, 1.21e-07, 1.55e-08, 2.01, 0.09, 1e-08, 0
640051201, 277.54, 9.94e-08, 1.45e-08, 1.98, 0.1, 1e-08, 0
642643201, 560.97, 1.54e-07, 1.4e-08, 2.08, 0.07, 1e-08, 0
645235201, 275.14, 1.12e-07, 1.49e-08, 2.1, 0.1, 1e-08, 0
647827201, 420.7, 8.23e-08, 1.13e-08, 1.81, 0.09, 1e-08, 0
650419201, 113.54, 5.61e-08, 1.2e-08, 1.99, 0.15, 1e-08, 0
653011201, 165.9, 5.41e-08, 1.24e-08, 1.9, 0.15, 1e-08, 0
655603201, 212.62, 7.56e-08, 1.28e-08, 1.95, 0.11, 1e-08, 0
658195201, 154.73, 7.24e-08, 1.41e-08, 2.08, 0.14, 1e-08, 0
660787201, 281.64, 8.33e-08, 1.26e-08, 2.01, 0.11, 1e-08, 0
663379201, 146.15, 5.04e-08, 1.09e-08, 1.89, 0.14, 1e-08, 0
665971201, 386.47, 1e-07, 1.18e-08, 2.03, 0.09, 1e-08, 0
668563201, 143.06, 5.85e-08, 1.32e-08, 1.94, 0.15, 1e-08, 0
671155201, 301.8, 8.31e-08, 1.24e-08, 1.91, 0.1, 1e-08, 0
673747201, 189.54, 4.53e-08, 9.1e-09, 1.79, 0.13, 1e-08, 0
676339201, 114.07, 4.82e-08, 1.04e-08, 1.99, 0.14, 1e-08, 0
678931201, 252.12, 6.79e-08, 1.04e-08, 1.89, 0.11, 1e-08, 0
681523201, 109.32, 2.4e-08, 7.3e-09, 1.64, 0.17, 1e-08, 0
684115201, 166.92, 5.34e-08, 1.11e-08, 1.97, 0.14, 1e-08, 0
