timestamp, ts, flux_upper_limits, fit_tolerance, fit_convergence
240883201, 0.18, 2.66e-08, 1e-08, 0
246067201, 0.0, 1.86e-08, 1e-08, 0
248659201, 0.74, 3.03e-08, 1e-08, 0
251251201, 0.41, 2.75e-08, 1e-08, 0
253843201, 0.67, 2.99e-08, 1e-08, 0
259027201, 0.0, 2.17e-08, 1e-08, 0
261619201, 0.0, 1.51e-08, 1e-08, 0
264211201, 0.03, 2.89e-08, 1e-08, 0
266803201, 0.0, 1.91e-08, 1e-08, 0
269395201, 0.07, 2.39e-08, 1e-08, 0
274579201, 0.0, 2.02e-08, 1e-08, 0
277171201, 0.13, 3.09e-08, 1e-08, 0
279763201, 0.06, 3.05e-08, 1e-08, 0
282355201, 0.0, 2.71e-08, 1e-08, 0
284947201, 0.0, 2.18e-08, 1e-08, 0
287539201, 0.03, 2.97e-08, 1e-08, 0
290131201, 0.0, 2.27e-08, 1e-08, 0
292723201, 0.0, 1.37e-08, 1e-08, 0
295315201, 0.0, 2.27e-08, 1e-08, 0
297907201, 0.0, 2.64e-08, 1e-08, 0
300499201, 0.0, 2.84e-08, 1e-08, 0
310867201, 0.0, 2.23e-08, 1e-08, 0
313459201, 0.0, 1.75e-08, 1e-08, 0
316051201, 0.21, 3.24e-08, 1e-08, 0
318643201, 0.24, 2.86e-08, 1e-08, 0
331603201, 0.05, 2.98e-08, 1e-08, 0
336787201, 0.0, 1.78e-08, 1e-08, 0
339379201, 0.0, 1.91e-08, 1e-08, 0
341971201, 0.35, 3.59e-08, 1e-08, 0
347155201, 0.2, 3.61e-08, 1e-08, 0
349747201, 0.28, 3.06e-08, 1e-08, 0
352339201, 0.0, 2.54e-08, 1e-08, 0
354931201, 0.0, 2.47e-08, 1e-08, 0
360115201, 0.52, 3.63e-08, 1e-08, 0
362707201, 0.56, 3.02e-08, 1e-08, 0
365299201, 0.0, 2.52e-08, 1e-08, 0
367891201, 0.0, 1.84e-08, 1e-08, 0
375667201, 0.23, 3.69e-08, 1e-08, 0
378259201, 0.4, 3.1e-08, 1e-08, 0
383443201, 0.35, 2.94e-08, 1e-08, 0
388627201, 0.86, 4.05e-08, 1e-08, 0
396403201, 0.99, 3.48e-08, 1e-08, 0
398995201, 0.0, 2.96e-08, 1e-08, 0
401587201, 0.99, 3.89e-08, 1e-08, 0
409363201, 0.0, 2.49e-08, 1e-08, 0
411955201, 0.0, 2.85e-08, 1e-08, 0
414547201, 0.1, 2.64e-08, 1e-08, 0
417139201, 0.5, 3.15e-08, 1e-08, 0
419731201, 0.0, 2.48e-08, 1e-08, 0
422323201, 0.03, 3.05e-08, 1e-08, 0
