timestamp, ts, flux, flux_error, photon_index, photon_index_interval, fit_tolerance, fit_convergence
240883201, 4.5, 5.14e-08, 2.55e-08, 2.76, 0, 1e-08, 0
243475201, 1.56, 2.52e-08, 2.12e-08, 2.76, 0, 1e-08, 0
246067201, 3.57, 4.98e-08, 2.75e-08, 2.76, 0, 1e-08, 0
248659201, 2.34, 3.11e-08, 2.14e-08, 2.76, 0, 1e-08, 0
253843201, 5.2, 4.78e-08, 2.31e-08, 2.76, 0, 1e-08, 0
256435201, 3.34, 4.44e-08, 2.53e-08, 2.76, 0, 1e-08, 0
261619201, 11.08, 6.89e-08, 2.29e-08, 2.76, 0, 1e-08, 0
266803201, 1.98, 3.11e-08, 2.31e-08, 2.76, 0, 1e-08, 0
269395201, 6.75, 5.81e-08, 2.44e-08, 2.76, 0, 1e-08, 0
271987201, 9.05, 6.93e-08, 2.47e-08, 2.76, 0, 1e-08, 0
279763201, 1.07, 2.46e-08, 2.47e-08, 2.76, 0, 1e-08, 0
287539201, 5.24, 5.41e-08, 2.48e-08, 2.76, 0, 1e-08, 0
290131201, 8.58, 6.85e-08, 2.56e-08, 2.76, 0, 1e-08, 0
297907201, 2.09, 3.6e-08, 2.6e-08, 2.76, 0, 1e-08, 0
308275201, 1.8, 3.09e-08, 2.39e-08, 2.76, 0, 1e-08, 0
316051201, 2.33, 3.48e-08, 2.42e-08, 2.76, 0, 1e-08, 0
321235201, 3.81, 4.39e-08, 2.38e-08, 2.76, 0, 1e-08, 0
323827201, 1.54, 2.51e-08, 2.14e-08, 2.76, 0, 1e-08, 0
334195201, 3.29, 4.25e-08, 2.45e-08, 2.76, 0, 1e-08, 0
336787201, 1.22, 2.54e-08, 2.38e-08, 2.76, 0, 1e-08, 0
339379201, 1.1, 2.21e-08, 2.25e-08, 2.76, 0, 1e-08, 0
344563201, 3.53, 4.94e-08, 2.76e-08, 2.76, 0, 1e-08, 0
347155201, 1.51, 2.68e-08, 2.28e-08, 2.76, 0, 1e-08, 0
349747201, 8.92, 7.36e-08, 2.64e-08, 2.76, 0, 1e-08, 0
352339201, 2.1, 3.03e-08, 2.18e-08, 2.76, 0, 1e-08, 0
357523201, 2.27, 2.66e-08, 2.1e-08, 2.76, 0, 1e-08, 0
360115201, 1.77, 3.12e-08, 2.46e-08, 2.76, 0, 1e-08, 0
362707201, 4.2, 4.41e-08, 2.26e-08, 2.76, 0, 1e-08, 0
365299201, 7.39, 6.59e-08, 2.57e-08, 2.76, 0, 1e-08, 0
367891201, 2.21, 3.66e-08, 2.55e-08, 2.76, 0, 1e-08, 0
375667201, 5.89, 5.84e-08, 2.55e-08, 2.76, 0, 1e-08, 0
380851201, 1.76, 3.38e-08, 2.64e-08, 2.76, 0, 1e-08, 0
383443201, 3.84, 4.03e-08, 2.19e-08, 2.76, 0, 1e-08, 0
391219201, 7.04, 6.45e-08, 2.57e-08, 2.76, 0, 1e-08, 0
393811201, 3.15, 4.1e-08, 2.41e-08, 2.76, 0, 1e-08, 0
396403201, 13.81, 8.55e-08, 2.55e-08, 2.76, 0, 1e-08, 0
401587201, 7.24, 6.67e-08, 2.61e-08, 2.76, 0, 1e-08, 0
404179201, 4.29, 4.74e-08, 2.41e-08, 2.76, 0, 1e-08, 0
409363201, 2.17, 4.07e-08, 3.01e-08, 2.76, 0, 1e-08, 0
411955201, 3.24, 3.46e-08, 2.01e-08, 2.76, 0, 1e-08, 0
417139201, 1.83, 3.07e-08, 2.35e-08, 2.76, 0, 1e-08, 0
422323201, 1.27, 2.02e-08, 2.03e-08, 2.76, 0, 1e-08, 0
424915201, 1.65, 3.31e-08, 2.66e-08, 2.76, 0, 1e-08, 0
432691201, 16.14, 1.13e-07, 3.01e-08, 2.76, 0, 1e-08, 0
435283201, 19.77, 1.04e-07, 2.58e-08, 2.76, 0, 1e-08, 0
437875201, 1.85, 3.21e-08, 2.49e-08, 2.76, 0, 1e-08, 0
440467201, 4.34, 5.19e-08, 2.62e-08, 2.76, 0, 1e-08, 0
443059201, 1.79, 2.93e-08, 2.29e-08, 2.76, 0, 1e-08, 0
445651201, 8.38, 6.9e-08, 2.59e-08, 2.76, 0, 1e-08, 0
448243201, 6.17, 5.91e-08, 2.52e-08, 2.76, 0, 1e-08, 0
453427201, 1.62, 2.92e-08, 2.36e-08, 2.76, 0, 1e-08, 0
458611201, 4.69, 4.61e-08, 2.31e-08, 2.76, 0, 1e-08, 0
463795201, 4.78, 5.36e-08, 2.57e-08, 2.76, 0, 1e-08, 0
474163201, 4.15, 4.43e-08, 2.28e-08, 2.76, 0, 1e-08, 0
476755201, 1.19, 2.58e-08, 2.43e-08, 2.76, 0, 1e-08, 0
479347201, 2.26, 3.51e-08, 2.46e-08, 2.76, 0, 1e-08, 0
481939201, 2.09, 3.37e-08, 2.45e-08, 2.76, 0, 1e-08, 0
484531201, 1.37, 2.77e-08, 2.45e-08, 2.76, 0, 1e-08, 0
487123201, 8.02, 7.36e-08, 2.82e-08, 2.76, 0, 1e-08, 0
489715201, 1.18, 2.47e-08, 2.37e-08, 2.76, 0, 1e-08, 0
492307201, 4.74, 5.57e-08, 2.73e-08, 2.76, 0, 1e-08, 0
494899201, 2.44, 3.65e-08, 2.42e-08, 2.76, 0, 1e-08, 0
497491201, 10.66, 6.65e-08, 2.17e-08, 2.76, 0, 1e-08, 0
500083201, 3.08, 4.01e-08, 2.41e-08, 2.76, 0, 1e-08, 0
505267201, 1.92, 3.32e-08, 2.5e-08, 2.76, 0, 1e-08, 0
