timestamp, ts, flux, flux_error, photon_index, photon_index_interval, fit_tolerance, fit_convergence, reasons_for_removal
278856001, 1.0, NaN, NaN, 2.76, 0, 1e-08, 0, missing_flux||missing_flux_error
548683201, 22.1, 5.32e-05, 0, 2.76, 0, 1e-08, 0, zero_flux_error
554385601, 1.72, 1.79e-06, 7.44e-06, 2.76, 0, 1e-08, 102, non_zero_quality||outlier_in_relative_flux
561643201, 1.67, 1.56e-06, 1e-08, 2.76, 0, 1e-08, 101, non_zero_quality||outlier_in_relative_flux
567345601, 2.91, 5.32e-05, 0, 2.76, 0, 1e-08, 101, zero_flux_error||non_zero_quality
570196801, 1.0, NaN, NaN, 2.76, 0, 1e-08, 0, missing_flux||missing_flux_error
612705601, 12.24, 5.32e-05, 0, 2.76, 0, 1e-08, 0, zero_flux_error
612964801, 31.37, 5.32e-05, 0, 2.76, 0, 1e-08, 0, zero_flux_error
644587201, 3.54, 5.32e-05, 0, 2.76, 0, 1e-08, 0, zero_flux_error
644846401, 35.56, 5.32e-05, 0, 2.76, 0, 1e-08, 0, zero_flux_error
645883201, 17.85, 5.32e-05, 0, 2.76, 0, 1e-08, 0, zero_flux_error
677246401, 42.12, 5.32e-05, 0, 2.76, 0, 1e-08, 0, zero_flux_error
677505601, 32.1, 5.32e-05, 0, 2.76, 0, 1e-08, 0, zero_flux_error
677764801, 8.94, 5.32e-05, 0, 2.76, 0, 1e-08, 0, zero_flux_error
690465601, 3.83, 3.01e-05, 0, 2.76, 0, 1e-08, 101, zero_flux_error||non_zero_quality
708091201, 1.82, 2.15e-07, 2.56e-07, 2.76, 0, 1e-08, 102, non_zero_quality
709128001, 495.96, 0.00532, 0, 2.76, 0, 1e-08, 0, zero_flux_error
709387201, 365.63, 0.00532, 0, 2.76, 0, 1e-08, 0, zero_flux_error
726494401, 2.05, 3.75e-07, 5.19e-07, 2.76, 0, 1e-08, 102, non_zero_quality
