timestamp, ts, flux, flux_error, photon_index, photon_index_interval, fit_tolerance, fit_convergence
240235201, 5.06, 1.73e-07, 8.59e-08, 2.76, 0, 1e-08, 0
241790401, 2.23, 1.14e-07, 8.48e-08, 2.76, 0, 1e-08, 0
243345601, 1.7, 9.21e-08, 7.7e-08, 2.76, 0, 1e-08, 0
244900801, 3.99, 1.64e-07, 9e-08, 2.76, 0, 1e-08, 0
245419201, 1.52, 9.58e-08, 8.4e-08, 2.76, 0, 1e-08, 0
246974401, 2.9, 1.42e-07, 9.03e-08, 2.76, 0, 1e-08, 0
247752001, 1.45, 8.13e-08, 7.28e-08, 2.76, 0, 1e-08, 0
248011201, 1.4, 7.29e-08, 6.72e-08, 2.76, 0, 1e-08, 0
249307201, 1.21, 8.57e-08, 8.25e-08, 2.76, 0, 1e-08, 0
250084801, 2.28, 1.15e-07, 8.4e-08, 2.76, 0, 1e-08, 0
250603201, 2.28, 1.42e-07, 1.04e-07, 2.76, 0, 1e-08, 0
252417601, 4.04, 1.48e-07, 8.41e-08, 2.76, 0, 1e-08, 0
252936001, 2.8, 1.18e-07, 7.72e-08, 2.76, 0, 1e-08, 0
253195201, 1.01, 7.08e-08, 7.44e-08, 2.76, 0, 1e-08, 0
253713601, 1.59, 9.41e-08, 8e-08, 2.76, 0, 1e-08, 0
254232001, 2.44, 7.49e-08, 6.5e-08, 2.76, 0, 1e-08, 0
255009601, 1.21, 1.05e-07, 1.01e-07, 2.76, 0, 1e-08, 0
255268801, 2.12, 1.57e-07, 1.2e-07, 2.76, 0, 1e-08, 0
255787201, 1.69, 1.11e-07, 9.19e-08, 2.76, 0, 1e-08, 0
256564801, 1.15, 7.95e-08, 7.84e-08, 2.76, 0, 1e-08, 0
256824001, 3.91, 1.52e-07, 8.47e-08, 2.76, 0, 1e-08, 0
260712001, 6.97, 1.8e-07, 8.18e-08, 2.76, 0, 1e-08, 0
261748801, 2.66, 1.15e-07, 7.77e-08, 2.76, 0, 1e-08, 0
262008001, 5.74, 1.85e-07, 8.68e-08, 2.76, 0, 1e-08, 0
262267201, 3.46, 1.33e-07, 7.8e-08, 2.76, 0, 1e-08, 0
262526401, 2.54, 8.71e-08, 6.57e-08, 2.76, 0, 1e-08, 0
267192001, 2.76, 1.27e-07, 8.21e-08, 2.76, 0, 1e-08, 0
267969601, 4.69, 1.64e-07, 9.1e-08, 2.76, 0, 1e-08, 0
268228801, 2.39, 8.08e-08, 6.33e-08, 2.76, 0, 1e-08, 0
268488001, 2.94, 1.18e-07, 7.97e-08, 2.76, 0, 1e-08, 0
269265601, 8.08, 2.77e-07, 1.11e-07, 2.76, 0, 1e-08, 0
270302401, 1.57, 8.9e-08, 7.63e-08, 2.76, 0, 1e-08, 0
270820801, 5.09, 1.54e-07, 7.78e-08, 2.76, 0, 1e-08, 0
271080001, 2.83, 1.32e-07, 8.43e-08, 2.76, 0, 1e-08, 0
271857601, 1.89, 1.05e-07, 8.28e-08, 2.76, 0, 1e-08, 0
272116801, 1.39, 9.81e-08, 8.89e-08, 2.76, 0, 1e-08, 0
272894401, 1.23, 8.85e-08, 8.47e-08, 2.76, 0, 1e-08, 0
273153601, 2.08, 1.1e-07, 8.41e-08, 2.76, 0, 1e-08, 0
273931201, 1.42, 9.11e-08, 8.19e-08, 2.76, 0, 1e-08, 0
274708801, 6.5, 1.98e-07, 8.75e-08, 2.76, 0, 1e-08, 0
277300801, 1.05, 7.7e-08, 7.99e-08, 2.76, 0, 1e-08, 0
278596801, 3.24, 1.38e-07, 8.49e-08, 2.76, 0, 1e-08, 0
281188801, 2.29, 1.58e-07, 1.12e-07, 2.76, 0, 1e-08, 0
281707201, 1.28, 7.23e-08, 6.99e-08, 2.76, 0, 1e-08, 0
282225601, 3.1, 1.25e-07, 7.88e-08, 2.76, 0, 1e-08, 0
284040001, 1.8, 7.63e-08, 6.56e-08, 2.76, 0, 1e-08, 0
285595201, 1.08, 8.13e-08, 8.55e-08, 2.76, 0, 1e-08, 0
286372801, 1.16, 8.09e-08, 8.02e-08, 2.76, 0, 1e-08, 0
286891201, 2.04, 1.1e-07, 8.28e-08, 2.76, 0, 1e-08, 0
287409601, 1.34, 9.04e-08, 8.36e-08, 2.76, 0, 1e-08, 0
288187201, 3.42, 1.49e-07, 8.89e-08, 2.76, 0, 1e-08, 0
288446401, 2.34, 1.18e-07, 8.41e-08, 2.76, 0, 1e-08, 0
288964801, 1.03, 7.59e-08, 8.01e-08, 2.76, 0, 1e-08, 0
289224001, 12.66, 2.75e-07, 9.4e-08, 2.76, 0, 1e-08, 0
290001601, 5.19, 1.96e-07, 9.7e-08, 2.76, 0, 1e-08, 0
291038401, 1.1, 7.99e-08, 8.21e-08, 2.76, 0, 1e-08, 0
291556801, 1.04, 8.27e-08, 8.62e-08, 2.76, 0, 1e-08, 0
292593601, 4.3, 1.7e-07, 9.1e-08, 2.76, 0, 1e-08, 0
294408001, 1.13, 9.34e-08, 9.27e-08, 2.76, 0, 1e-08, 0
296740801, 3.16, 1.24e-07, 7.98e-08, 2.76, 0, 1e-08, 0
299073601, 1.72, 1.28e-07, 1.05e-07, 2.76, 0, 1e-08, 0
300628801, 1.45, 7.73e-08, 7.09e-08, 2.76, 0, 1e-08, 0
