timestamp, ts, flux, flux_error, photon_index, photon_index_interval, fit_tolerance, fit_convergence
239889601, 2.67, 7.81e-08, 5.1e-08, 2.76, 0, 1e-08, 0
240494401, 3.99, 9.98e-08, 5.41e-08, 2.76, 0, 1e-08, 0
241704001, 1.94, 7.51e-08, 5.79e-08, 2.76, 0, 1e-08, 0
243518401, 2.6, 7.3e-08, 4.9e-08, 2.76, 0, 1e-08, 0
244728001, 2.94, 8.36e-08, 5.24e-08, 2.76, 0, 1e-08, 0
247147201, 1.35, 5.85e-08, 5.26e-08, 2.76, 0, 1e-08, 0
247752001, 2.13, 6.04e-08, 4.45e-08, 2.76, 0, 1e-08, 0
248961601, 2.19, 6.18e-08, 4.61e-08, 2.76, 0, 1e-08, 0
250776001, 2.54, 9.84e-08, 6.58e-08, 2.76, 0, 1e-08, 0
252590401, 2.81, 7.75e-08, 4.97e-08, 2.76, 0, 1e-08, 0
253195201, 1.81, 5.86e-08, 4.62e-08, 2.76, 0, 1e-08, 0
253800001, 1.03, 4.82e-08, 4.98e-08, 2.76, 0, 1e-08, 0
254404801, 2.1, 5e-08, 4.3e-08, 2.76, 0, 1e-08, 0
255009601, 1.5, 7.56e-08, 6.53e-08, 2.76, 0, 1e-08, 0
256824001, 3.25, 8.77e-08, 5.14e-08, 2.76, 0, 1e-08, 0
257428801, 1.86, 5.93e-08, 4.66e-08, 2.76, 0, 1e-08, 0
260452801, 1.86, 5.99e-08, 4.82e-08, 2.76, 0, 1e-08, 0
261662401, 1.09, 4.64e-08, 4.69e-08, 2.76, 0, 1e-08, 0
262267201, 11.95, 1.55e-07, 5.2e-08, 2.76, 0, 1e-08, 0
262872001, 1.21, 5.34e-08, 5.15e-08, 2.76, 0, 1e-08, 0
263476801, 1.69, 5.43e-08, 4.66e-08, 2.76, 0, 1e-08, 0
267105601, 2.15, 6.57e-08, 4.74e-08, 2.76, 0, 1e-08, 0
267710401, 1.32, 5.26e-08, 4.92e-08, 2.76, 0, 1e-08, 0
268315201, 5.44, 9.48e-08, 4.8e-08, 2.76, 0, 1e-08, 0
269524801, 5.56, 1.3e-07, 6e-08, 2.76, 0, 1e-08, 0
270129601, 1.24, 5.59e-08, 5.23e-08, 2.76, 0, 1e-08, 0
270734401, 3.44, 8.05e-08, 4.76e-08, 2.76, 0, 1e-08, 0
271339201, 1.39, 5.81e-08, 5.11e-08, 2.76, 0, 1e-08, 0
271944001, 4.1, 1.08e-07, 5.72e-08, 2.76, 0, 1e-08, 0
273153601, 2.07, 7.55e-08, 5.57e-08, 2.76, 0, 1e-08, 0
281016001, 2.2, 9.27e-08, 6.65e-08, 2.76, 0, 1e-08, 0
282225601, 3.48, 8.79e-08, 5.08e-08, 2.76, 0, 1e-08, 0
287064001, 3.07, 8.37e-08, 5.12e-08, 2.76, 0, 1e-08, 0
288273601, 4.56, 1.11e-07, 5.6e-08, 2.76, 0, 1e-08, 0
288878401, 3.08, 8.76e-08, 5.33e-08, 2.76, 0, 1e-08, 0
289483201, 4.05, 8.43e-08, 4.97e-08, 2.76, 0, 1e-08, 0
290088001, 3.1, 9.69e-08, 5.92e-08, 2.76, 0, 1e-08, 0
291297601, 1.56, 6.3e-08, 5.31e-08, 2.76, 0, 1e-08, 0
292507201, 4.71, 1.14e-07, 5.72e-08, 2.76, 0, 1e-08, 0
301579201, 3.04, 8.64e-08, 5.38e-08, 2.76, 0, 1e-08, 0
312465601, 1.18, 6.2e-08, 6.01e-08, 2.76, 0, 1e-08, 0
316094401, 1.04, 4.33e-08, 4.57e-08, 2.76, 0, 1e-08, 0
316699201, 1.52, 6.23e-08, 5.36e-08, 2.76, 0, 1e-08, 0
320328001, 6.07, 1.15e-07, 5.22e-08, 2.76, 0, 1e-08, 0
322747201, 1.68, 8.5e-08, 6.98e-08, 2.76, 0, 1e-08, 0
326376001, 4.23, 1.18e-07, 6.29e-08, 2.76, 0, 1e-08, 0
327585601, 5.37, 1.28e-07, 6.09e-08, 2.76, 0, 1e-08, 0
