timestamp, ts, flux_upper_limits, fit_tolerance, fit_convergence
239716801, 0.16, 1.7e-07, 1e-08, 0
239976001, 0.86, 2.11e-07, 1e-08, 0
240494401, 0.33, 2.04e-07, 1e-08, 0
240753601, 0.95, 2.38e-07, 1e-08, 0
241012801, 0.02, 1.87e-07, 1e-08, 0
241272001, 0.0, 1.65e-07, 1e-08, 0
241531201, 0.42, 2.53e-07, 1e-08, 0
242049601, 0.0, 1.29e-07, 1e-08, 0
242308801, 0.0, 1.6e-07, 1e-08, 0
242568001, 0.39, 1.42e-07, 1e-08, 0
242827201, 0.48, 1.97e-07, 1e-08, 0
243086401, 0.2, 1.71e-07, 1e-08, 0
243604801, 0.78, 2.1e-07, 1e-08, 0
243864001, 0.43, 1.75e-07, 1e-08, 0
244123201, 0.0, 1.12e-07, 1e-08, 0
244382401, 0.0, 1.47e-07, 1e-08, 0
244641601, 0.07, 1.83e-07, 1e-08, 0
245160001, 0.02, 1.74e-07, 1e-08, 0
245678401, 0.0, 2.01e-07, 1e-08, 0
245937601, 0.76, 2.7e-07, 1e-08, 0
246196801, 0.0, 1.65e-07, 1e-08, 0
246456001, 0.0, 1.64e-07, 1e-08, 0
246715201, 0.76, 2.61e-07, 1e-08, 0
247233601, 0.0, 1.6e-07, 1e-08, 0
247492801, 0.67, 1.83e-07, 1e-08, 0
248270401, 0.0, 1.03e-07, 1e-08, 0
248529601, 0.11, 1.68e-07, 1e-08, 0
248788801, 0.26, 1.9e-07, 1e-08, 0
249048001, 0.46, 1.56e-07, 1e-08, 0
249566401, 0.07, 1.58e-07, 1e-08, 0
249825601, 0.0, 1.38e-07, 1e-08, 0
250344001, 0.0, 1.29e-07, 1e-08, 0
250862401, 0.33, 2.51e-07, 1e-08, 0
251121601, 0.0, 1.63e-07, 1e-08, 0
251380801, 0.07, 1.46e-07, 1e-08, 0
251640001, 0.0, 1.12e-07, 1e-08, 0
251899201, 0.0, 1.04e-07, 1e-08, 0
252158401, 0.13, 1.69e-07, 1e-08, 0
252676801, 0.03, 1.55e-07, 1e-08, 0
253454401, 0.0, 1.17e-07, 1e-08, 0
253972801, 0.54, 1.98e-07, 1e-08, 0
254491201, 0.0, 1.62e-07, 1e-08, 0
254750401, 0.15, 1.93e-07, 1e-08, 0
255528001, 0.0, 1.51e-07, 1e-08, 0
256046401, 0.0, 1.77e-07, 1e-08, 0
256305601, 0.0, 1.34e-07, 1e-08, 0
257083201, 0.0, 1.34e-07, 1e-08, 0
257342401, 0.99, 2.05e-07, 1e-08, 0
257601601, 0.88, 1.96e-07, 1e-08, 0
257860801, 0.0, 1.36e-07, 1e-08, 0
258120001, 0.15, 1.82e-07, 1e-08, 0
258379201, 0.0, 1.11e-07, 1e-08, 0
258897601, 0.29, 2.36e-07, 1e-08, 0
259156801, 0.0, 1.14e-07, 1e-08, 0
259416001, 0.0, 1.64e-07, 1e-08, 0
259675201, 0.0, 1.55e-07, 1e-08, 0
259934401, 0.0, 1.84e-07, 1e-08, 0
260193601, 0.23, 2.08e-07, 1e-08, 0
260452801, 0.0, 1.59e-07, 1e-08, 0
260971201, 0.0, 1.06e-07, 1e-08, 0
261230401, 0.03, 1.64e-07, 1e-08, 0
261489601, 0.0, 1.46e-07, 1e-08, 0
262785601, 0.57, 2.02e-07, 1e-08, 0
263044801, 0.26, 2.05e-07, 1e-08, 0
263304001, 0.05, 1.78e-07, 1e-08, 0
263563201, 0.93, 1.89e-07, 1e-08, 0
263822401, 0.31, 1.96e-07, 1e-08, 0
264081601, 0.0, 1.59e-07, 1e-08, 0
264340801, 0.24, 2.43e-07, 1e-08, 0
264600001, 0.36, 2.29e-07, 1e-08, 0
264859201, 0.0, 1.19e-07, 1e-08, 0
265118401, 0.0, 1.33e-07, 1e-08, 0
265377601, 0.0, 1.54e-07, 1e-08, 0
265636801, 0.32, 1.87e-07, 1e-08, 0
265896001, 0.0, 1.31e-07, 1e-08, 0
266155201, 0.0, 1.34e-07, 1e-08, 0
266414401, 0.99, 2.11e-07, 1e-08, 0
266673601, 0.0, 1.34e-07, 1e-08, 0
266932801, 0.33, 1.75e-07, 1e-08, 0
267451201, 0.0, 1.34e-07, 1e-08, 0
267710401, 0.07, 1.83e-07, 1e-08, 0
268747201, 0.0, 1.01e-07, 1e-08, 0
269006401, 0.0, 1.71e-07, 1e-08, 0
269524801, 0.36, 2.19e-07, 1e-08, 0
269784001, 0.77, 2.29e-07, 1e-08, 0
270043201, 0.06, 1.93e-07, 1e-08, 0
270561601, 0.54, 1.86e-07, 1e-08, 0
271339201, 0.0, 1.39e-07, 1e-08, 0
271598401, 0.85, 2.23e-07, 1e-08, 0
272376001, 0.0, 1.13e-07, 1e-08, 0
272635201, 0.51, 1.86e-07, 1e-08, 0
273412801, 0.19, 1.99e-07, 1e-08, 0
273672001, 0.0, 1.37e-07, 1e-08, 0
274190401, 0.0, 1.06e-07, 1e-08, 0
274449601, 0.0, 9.98e-08, 1e-08, 0
274968001, 0.0, 1.43e-07, 1e-08, 0
275227201, 0.0, 1.38e-07, 1e-08, 0
275486401, 0.0, 1.76e-07, 1e-08, 0
275745601, 0.11, 2.27e-07, 1e-08, 0
276004801, 0.14, 2.38e-07, 1e-08, 0
276264001, 0.0, 2.2e-07, 1e-08, 0
276523201, 0.8, 2.47e-07, 1e-08, 0
276782401, 0.96, 2.64e-07, 1e-08, 0
277041601, 0.0, 1.47e-07, 1e-08, 0
277560001, 0.0, 1.69e-07, 1e-08, 0
277819201, 0.17, 1.86e-07, 1e-08, 0
278078401, 0.0, 1.65e-07, 1e-08, 0
278337601, 0.0, 1.26e-07, 1e-08, 0
279115201, 0.0, 1.36e-07, 1e-08, 0
279374401, 0.3, 1.79e-07, 1e-08, 0
279633601, 0.94, 2.15e-07, 1e-08, 0
279892801, 0.0, 1.51e-07, 1e-08, 0
280152001, 0.31, 2.39e-07, 1e-08, 0
280411201, 0.0, 1.13e-07, 1e-08, 0
280670401, 0.0, 1.82e-07, 1e-08, 0
280929601, 0.67, 2.47e-07, 1e-08, 0
281448001, 0.07, 2e-07, 1e-08, 0
281966401, 0.0, 1.48e-07, 1e-08, 0
282484801, 0.0, 1.2e-07, 1e-08, 0
282744001, 0.0, 9.98e-08, 1e-08, 0
283003201, 0.0, 1.38e-07, 1e-08, 0
283262401, 0.0, 1.57e-07, 1e-08, 0
283521601, 0.44, 1.95e-07, 1e-08, 0
283780801, 0.51, 2.03e-07, 1e-08, 0
284299201, 0.0, 1.19e-07, 1e-08, 0
284558401, 0.0, 1.33e-07, 1e-08, 0
284817601, 0.02, 2e-07, 1e-08, 0
285076801, 0.34, 2.29e-07, 1e-08, 0
285336001, 0.0, 2.04e-07, 1e-08, 0
285854401, 0.0, 1.33e-07, 1e-08, 0
286113601, 0.0, 1.46e-07, 1e-08, 0
286632001, 0.0, 1.07e-07, 1e-08, 0
287150401, 0.07, 1.62e-07, 1e-08, 0
287668801, 0.64, 2.08e-07, 1e-08, 0
287928001, 0.01, 1.79e-07, 1e-08, 0
288705601, 0.08, 1.78e-07, 1e-08, 0
289483201, 0.85, 1.97e-07, 1e-08, 0
289742401, 0.0, 1.7e-07, 1e-08, 0
290260801, 0.0, 1.81e-07, 1e-08, 0
290520001, 0.07, 2.05e-07, 1e-08, 0
290779201, 0.0, 1.47e-07, 1e-08, 0
291297601, 0.0, 1.65e-07, 1e-08, 0
291816001, 0.17, 1.86e-07, 1e-08, 0
292075201, 0.0, 9.61e-08, 1e-08, 0
292334401, 0.14, 2.13e-07, 1e-08, 0
292852801, 0.72, 2.11e-07, 1e-08, 0
293112001, 0.0, 8.18e-08, 1e-08, 0
293371201, 0.11, 1.84e-07, 1e-08, 0
293630401, 0.0, 9.73e-08, 1e-08, 0
293889601, 0.0, 1.49e-07, 1e-08, 0
294148801, 0.0, 1.24e-07, 1e-08, 0
294667201, 0.09, 2.1e-07, 1e-08, 0
294926401, 0.0, 1.35e-07, 1e-08, 0
295185601, 0.66, 2.29e-07, 1e-08, 0
295444801, 0.0, 7.74e-08, 1e-08, 0
295704001, 0.0, 1.58e-07, 1e-08, 0
295963201, 0.0, 1.17e-07, 1e-08, 0
296222401, 0.0, 1.59e-07, 1e-08, 0
296481601, 0.05, 1.73e-07, 1e-08, 0
297000001, 0.0, 1.73e-07, 1e-08, 0
297259201, 0.06, 1.61e-07, 1e-08, 0
297518401, 0.18, 1.94e-07, 1e-08, 0
297777601, 0.0, 1.55e-07, 1e-08, 0
298036801, 0.01, 1.85e-07, 1e-08, 0
298296001, 0.0, 1.79e-07, 1e-08, 0
298555201, 0.12, 2.13e-07, 1e-08, 0
298814401, 0.22, 2.31e-07, 1e-08, 0
299332801, 0.0, 1.01e-07, 1e-08, 0
299592001, 0.0, 1.16e-07, 1e-08, 0
299851201, 0.0, 1.22e-07, 1e-08, 0
300110401, 0.0, 1.61e-07, 1e-08, 0
300369601, 0.0, 9.51e-08, 1e-08, 0
300888001, 0.0, 1.17e-07, 1e-08, 0
301147201, 0.0, 1.04e-07, 1e-08, 0
301406401, 0.0, 1.58e-07, 1e-08, 0
302443201, 0.0, 1.31e-07, 1e-08, 0
302702401, 0.0, 1.35e-07, 1e-08, 0
302961601, 0.0, 1.75e-07, 1e-08, 0
303480001, 0.0, 1.83e-07, 1e-08, 0
303739201, 0.0, 1.33e-07, 1e-08, 0
303998401, 0.0, 1.62e-07, 1e-08, 0
304257601, 0.43, 2.52e-07, 1e-08, 0
