timestamp, ts, flux_upper_limits, fit_tolerance, fit_convergence
251251201, 0.61, 6e-08, 1e-08, 0
259027201, 0.0, 3.7e-08, 1e-08, 0
264211201, 0.1, 5.21e-08, 1e-08, 0
274579201, 0.01, 4.96e-08, 1e-08, 0
277171201, 0.37, 6.35e-08, 1e-08, 0
282355201, 0.42, 5.83e-08, 1e-08, 0
284947201, 0.32, 5.59e-08, 1e-08, 0
292723201, 0.0, 4.35e-08, 1e-08, 0
295315201, 0.0, 3.4e-08, 1e-08, 0
300499201, 0.0, 2.67e-08, 1e-08, 0
303091201, 0.14, 5.96e-08, 1e-08, 0
305683201, 0.0, 4.17e-08, 1e-08, 0
310867201, 0.0, 3.4e-08, 1e-08, 0
313459201, 0.46, 6.29e-08, 1e-08, 0
318643201, 0.01, 4.48e-08, 1e-08, 0
326419201, 0.81, 6.9e-08, 1e-08, 0
329011201, 0.11, 5.06e-08, 1e-08, 0
331603201, 0.5, 6.49e-08, 1e-08, 0
341971201, 0.03, 5.2e-08, 1e-08, 0
354931201, 0.0, 2.96e-08, 1e-08, 0
370483201, 0.4, 4.96e-08, 1e-08, 0
373075201, 0.29, 5.85e-08, 1e-08, 0
378259201, 0.35, 6.47e-08, 1e-08, 0
386035201, 0.36, 6.45e-08, 1e-08, 0
388627201, 0.16, 5.07e-08, 1e-08, 0
398995201, 0.14, 4.91e-08, 1e-08, 0
406771201, 0.0, 3.11e-08, 1e-08, 0
414547201, 0.03, 5.55e-08, 1e-08, 0
419731201, 0.09, 5.46e-08, 1e-08, 0
427507201, 0.0, 4.53e-08, 1e-08, 0
430099201, 0.0, 4.11e-08, 1e-08, 0
450835201, 0.44, 6.05e-08, 1e-08, 0
456019201, 0.44, 6.53e-08, 1e-08, 0
461203201, 0.0, 4.14e-08, 1e-08, 0
466387201, 0.0, 4.74e-08, 1e-08, 0
468979201, 0.08, 5.57e-08, 1e-08, 0
471571201, 0.0, 4.26e-08, 1e-08, 0
502675201, 0.79, 6.3e-08, 1e-08, 0
507859201, 0.0, 3.57e-08, 1e-08, 0
513043201, 0.32, 5.85e-08, 1e-08, 0
518227201, 0.18, 5.03e-08, 1e-08, 0
520819201, 0.0, 4.33e-08, 1e-08, 0
523411201, 0.0, 3.82e-08, 1e-08, 0
526003201, 0.0, 4.5e-08, 1e-08, 0
531187201, 0.23, 5.61e-08, 1e-08, 0
533779201, 0.0, 3.77e-08, 1e-08, 0
536371201, 0.07, 4.7e-08, 1e-08, 0
538963201, 0.0, 3.98e-08, 1e-08, 0
546739201, 0.18, 6.63e-08, 1e-08, 0
554515201, 0.2, 5.56e-08, 1e-08, 0
564883201, 0.0, 3.71e-08, 1e-08, 0
567475201, 0.0, 5.32e-08, 1e-08, 0
572659201, 0.0, 4.82e-08, 1e-08, 0
575251201, 0.0, 4.42e-08, 1e-08, 0
583027201, 0.04, 6.55e-08, 1e-08, 0
585619201, 0.0, 4.72e-08, 1e-08, 0
588211201, 0.17, 5e-08, 1e-08, 0
593395201, 0.69, 6.49e-08, 1e-08, 0
598579201, 0.23, 9.35e-08, 1e-08, 0
601171201, 0.0, 4.27e-08, 1e-08, 0
603763201, 0.13, 5.42e-08, 1e-08, 0
606355201, 0.0, 4.93e-08, 1e-08, 0
608947201, 0.12, 5.1e-08, 1e-08, 0
614131201, 0.4, 9.28e-08, 1e-08, 0
619315201, 0.0, 4.3e-08, 1e-08, 0
624499201, 0.03, 5.18e-08, 1e-08, 0
632275201, 0.14, 7.03e-08, 1e-08, 0
634867201, 0.56, 6.49e-08, 1e-08, 0
640051201, 0.0, 4.06e-08, 1e-08, 0
642643201, 0.0, 4.68e-08, 1e-08, 0
647827201, 0.0, 4.69e-08, 1e-08, 0
658195201, 0.0, 5.46e-08, 1e-08, 0
660787201, 0.0, 5.82e-08, 1e-08, 0
665971201, 0.02, 5.04e-08, 1e-08, 0
668563201, 0.0, 4.56e-08, 1e-08, 0
673747201, 0.0, 5.85e-08, 1e-08, 0
676339201, 0.0, 7.5e-08, 1e-08, 0
678931201, 0.0, 5.49e-08, 1e-08, 0
684115201, 0.0, 4.5e-08, 1e-08, 0
686707201, 0.54, 5.84e-08, 1e-08, 0
691891201, 0.29, 9.48e-08, 1e-08, 0
694483201, 0.0, 5.56e-08, 1e-08, 0
699667201, 0.12, 4.84e-08, 1e-08, 0
704851201, 0.9, 7.35e-08, 1e-08, 0
710035201, 0.0, 6.03e-08, 1e-08, 0
712627201, 0.62, 6.58e-08, 1e-08, 0
715219201, 0.13, 5.31e-08, 1e-08, 0
720403201, 0.04, 5.09e-08, 1e-08, 0
722995201, 0.71, 1.03e-07, 1e-08, 0
725587201, 0.33, 7.47e-08, 1e-08, 0
