timestamp, ts, flux, flux_error, photon_index, photon_index_interval, fit_tolerance, fit_convergence
239716801, 1.13, 2.65e-08, 3.9e-08, 1.93, 0.62, 1e-08, 0
239976001, 1.36, 9.21e-08, 1.26e-07, 3.56, 9.34, 1e-08, 102
240235201, 5.1, 1.77e-07, 8.82e-08, 2.83, 0.54, 1e-08, 0
241790401, 4.06, 8.42e-08, 6.86e-08, 2.09, 0.43, 1e-08, 0
242568001, 5.26, 1.28e-08, 1.53e-08, 1.36, 0.51, 1e-08, 0
243345601, 1.7, 9.53e-08, 8.66e-08, 2.83, 0.83, 1e-08, 0
243604801, 1.07, 2.5e-08, 6.33e-08, 2.0, 1.1, 1e-08, 0
244900801, 4.56, 1.47e-07, 8.59e-08, 2.41, 0.4, 1e-08, 0
245419201, 2.24, 1.29e-07, 9.48e-08, 3.54, 1.19, 1e-08, 0
246715201, 1.02, 9.88e-08, 1.05e-07, 3.29, 1.31, 1e-08, 0
246974401, 2.93, 1.37e-07, 9.38e-08, 2.66, 0.58, 1e-08, 0
247492801, 3.9, 8.25e-09, 1.43e-08, 1.35, 0.67, 1e-08, 0
247752001, 1.88, 7.62e-08, 6.69e-08, 2.37, 0.52, 1e-08, 0
248011201, 4.98, 6.04e-08, 4.27e-08, 1.9, 0.33, 1e-08, 0
248529601, 2.06, 9.81e-08, 7.87e-08, 6.41, 7.02, 1e-08, 102
249048001, 1.24, 2.3e-08, 3.77e-08, 2.01, 0.75, 1e-08, 0
249307201, 1.35, 8.28e-08, 7.91e-08, 2.55, 0.54, 1e-08, 0
250084801, 3.53, 1.02e-07, 7.17e-08, 2.2, 0.41, 1e-08, 0
250603201, 2.29, 1.44e-07, 1.09e-07, 2.79, 0.71, 1e-08, 0
251380801, 1.05, 1.36e-08, 2.09e-08, 1.7, 0.68, 1e-08, 0
252417601, 4.04, 1.46e-07, 8.92e-08, 2.73, 0.52, 1e-08, 0
252936001, 3.3, 1.04e-07, 7.09e-08, 2.43, 0.43, 1e-08, 0
253195201, 1.01, 7.01e-08, 7.69e-08, 2.73, 0.93, 1e-08, 0
253713601, 1.95, 1.14e-07, 1.19e-07, 3.53, 7.93, 1e-08, 102
253972801, 1.17, 5.44e-08, 6.08e-08, 2.2, 0.54, 1e-08, 0
254232001, 3.7, 1.46e-08, 2.68e-08, 1.68, 0.78, 1e-08, 0
255009601, 5.3, 2.2e-07, 1.13e-07, 6.78, 4.61, 1e-08, 102
255268801, 2.13, 1.52e-07, 1.23e-07, 2.68, 0.64, 1e-08, 0
255787201, 1.82, 1.24e-07, 1.02e-07, 2.98, 0.68, 1e-08, 0
256564801, 1.49, 7.88e-08, 7.2e-08, 2.4, 0.53, 1e-08, 0
256824001, 4.95, 1.91e-07, 9.58e-08, 3.39, 0.78, 1e-08, 0
257342401, 3.48, 1.48e-07, 9.4e-08, 6.16, 5.4, 1e-08, 102
