timestamp, ts, flux, flux_error, photon_index, photon_index_interval, fit_tolerance, fit_convergence, reasons_for_removal
239976001, 1.36, 9.21e-08, 1.26e-07, 3.56, 9.34, 1e-08, 102, non_zero_quality
248529601, 2.06, 9.81e-08, 7.87e-08, 6.41, 7.02, 1e-08, 102, non_zero_quality
253713601, 1.95, 1.14e-07, 1.19e-07, 3.53, 7.93, 1e-08, 102, non_zero_quality
255009601, 5.3, 2.2e-07, 1.13e-07, 6.78, 4.61, 1e-08, 102, non_zero_quality
257342401, 3.48, 1.48e-07, 9.4e-08, 6.16, 5.4, 1e-08, 102, non_zero_quality
258120001, 2.35, 1.27e-07, 1.03e-07, 5.19, 6.62, 1e-08, 102, non_zero_quality
258897601, 1.18, 1.18e-07, 1.54e-07, 4.82, 9.31, 1e-08, 102, non_zero_quality
270043201, 1.53, 1.06e-07, 1.23e-07, 4.77, 8.2, 1e-08, 102, non_zero_quality
273931201, 4.7, 1.82e-07, 1.11e-07, 4.61, 5.08, 1e-08, 102, non_zero_quality
276004801, 1.07, 1.17e-07, 1.26e-07, 6.09, 9.68, 1e-08, 102, non_zero_quality
278856001, 1.0, NaN, NaN, NaN, NaN, 1e-08, 0, missing_flux||missing_flux_error
280152001, 2.3, 9.62e-08, 8e-08, 10.0, 0, 1e-08, 0, spectral_index_error_too_small
281188801, 3.03, 1.87e-07, 1.35e-07, 4.66, 6.07, 1e-08, 102, non_zero_quality
281448001, 2.86, 1.4e-07, 9.31e-08, 7.43, 6.13, 1e-08, 102, non_zero_quality
285336001, 1.01, 9.68e-08, 1.13e-07, 6.32, 10.1, 1e-08, 102, non_zero_quality
287928001, 2.32, 1.17e-07, 8.99e-08, 6.38, 6.64, 1e-08, 102, non_zero_quality
288964801, 4.67, 1.44e-07, 9e-08, 10.0, 0, 1e-08, 0, spectral_index_error_too_small
299073601, 2.58, 1.53e-07, 1.09e-07, 7.15, 6.42, 1e-08, 102, non_zero_quality
302184001, 3.67, 1.47e-07, 9.38e-08, 5.72, 5.46, 1e-08, 102, non_zero_quality
305812801, 2.61, 1.01e-07, 7.52e-08, 7.89, 6.58, 1e-08, 102, non_zero_quality
309182401, 1.97, 9.96e-08, 8.32e-08, 8.95, 7.38, 1e-08, 102, non_zero_quality
313329601, 2.55, 1.23e-07, 9.71e-08, 10.0, 0, 1e-08, 0, spectral_index_error_too_small
314625601, 1.29, 6.79e-08, 7.02e-08, 10.0, 0, 1e-08, 0, spectral_index_error_too_small
317476801, 3.48, 1.74e-07, 1.23e-07, 4.61, 5.82, 1e-08, 102, non_zero_quality
322660801, 3.77, 2.03e-07, 1.36e-07, 5.96, 5.49, 1e-08, 102, non_zero_quality
327326401, 1.31, 1.13e-07, 1.22e-07, 4.18, 9.28, 1e-08, 102, non_zero_quality
330696001, 2.44, 1.16e-07, 9.21e-08, 10.0, 0, 1e-08, 0, spectral_index_error_too_small
337953601, 1.29, 5.8e-08, 5.69e-08, 9.56, 9.21, 1e-08, 1, non_zero_quality
342619201, 2.07, 1.06e-07, 9.51e-08, 6.64, 7.08, 1e-08, 102, non_zero_quality
343396801, 4.97, 2.07e-07, 1.1e-07, 3.68, 5.17, 1e-08, 102, non_zero_quality
344692801, 1.23, 1.11e-07, 1.24e-07, 5.12, 9, 1e-08, 102, non_zero_quality
344952001, 2.95, 1.74e-07, 1.44e-07, 5.28, 6.12, 1e-08, 102, non_zero_quality
345470401, 2.87, 1.38e-07, 1.04e-07, 10.0, 0, 1e-08, 0, spectral_index_error_too_small
350913601, 1.29, 8.84e-08, 1.1e-07, 5.3, 8.88, 1e-08, 102, non_zero_quality
351432001, 2.48, 1.17e-07, 9.12e-08, 4.91, 6.74, 1e-08, 102, non_zero_quality
353764801, 1.84, 1.13e-07, 1e-07, 6.08, 7.48, 1e-08, 102, non_zero_quality
355838401, 3.14, 1.07e-07, 7.39e-08, 10.0, 0, 1e-08, 0, spectral_index_error_too_small
358948801, 2.99, 1.79e-07, 1.44e-07, 5.04, 6.25, 1e-08, 102, non_zero_quality
364132801, 5.9, 2.53e-07, 1.55e-07, 4.07, 4.54, 1e-08, 102, non_zero_quality
367502401, 1.51, 9.26e-08, 1.05e-07, 4.88, 8.46, 1e-08, 102, non_zero_quality
371649601, 2.73, 1.18e-07, 8.59e-08, 6.62, 6.16, 1e-08, 102, non_zero_quality
375278401, 1.07, 8.81e-08, 9.99e-08, 3.67, 10.8, 1e-08, 102, non_zero_quality
379684801, 3.76, 1.6e-07, 1.2e-07, 4.27, 5.69, 1e-08, 102, non_zero_quality
387460801, 1.61, 1.1e-07, 1.12e-07, 5.9, 8.12, 1e-08, 102, non_zero_quality
392904001, 2.72, 1.19e-07, 8.2e-08, 7.64, 6.17, 1e-08, 102, non_zero_quality
393422401, 3.23, 1.13e-07, 8.01e-08, 6.37, 5.93, 1e-08, 102, non_zero_quality
393940801, 2.45, 1.27e-07, 9.98e-08, 4.9, 6.66, 1e-08, 102, non_zero_quality
394977601, 3.16, 1.31e-07, 9.18e-08, 8.83, 6, 1e-08, 102, non_zero_quality
397051201, 2.12, 1.19e-07, 1.1e-07, 4.82, 7.13, 1e-08, 102, non_zero_quality
397310401, 6.35, 2.13e-07, 1.08e-07, 5.17, 4.43, 1e-08, 102, non_zero_quality
401198401, 6.84, 1.66e-07, 7.81e-08, 9.47, 4.33, 1e-08, 102, non_zero_quality
403531201, 3.84, 1.4e-07, 8.21e-08, 8.06, 5.29, 1e-08, 102, non_zero_quality
404049601, 4.38, 1.04e-07, 6.62e-08, 4.67, 5.04, 1e-08, 102, non_zero_quality
405086401, 1.34, 1.07e-07, 1.21e-07, 5.37, 8.8, 1e-08, 102, non_zero_quality
405604801, 8.21, 2.49e-07, 1.03e-07, 8.12, 3.85, 1e-08, 102, non_zero_quality
410529601, 3.34, 1.75e-07, 1.13e-07, 3.71, 6.29, 1e-08, 102, non_zero_quality
410788801, 1.43, 1.06e-07, 1.37e-07, 4.46, 8.48, 1e-08, 102, non_zero_quality
411825601, 1.44, 8.1e-08, 7.32e-08, 8.56, 8.38, 1e-08, 102, non_zero_quality
413640001, 1.71, 8.92e-08, 8.17e-08, 10.0, 0, 1e-08, 0, spectral_index_error_too_small
414417601, 1.01, 9.02e-08, 1.27e-07, 5.05, 10.2, 1e-08, 102, non_zero_quality
416232001, 2.13, 9.17e-08, 7.53e-08, 6.12, 6.98, 1e-08, 102, non_zero_quality
420120001, 2.05, 8.36e-08, 7.13e-08, 10.0, 0, 1e-08, 0, spectral_index_error_too_small
423748801, 2.22, 1.45e-07, 1.12e-07, 6.51, 6.83, 1e-08, 102, non_zero_quality
425822401, 8.65, 2.26e-07, 9.5e-08, 7.97, 3.79, 1e-08, 102, non_zero_quality
427377601, 1.43, 1.19e-07, 1.34e-07, 5.27, 8.41, 1e-08, 102, non_zero_quality
430488001, 1.9, 6.6e-08, 1.52e-06, 9.68, 7.69, 1e-08, 102, non_zero_quality||outlier_in_relative_flux
431265601, 2.06, 9.83e-08, 7.77e-07, 7.13, 2.66, 1e-08, 0, outlier_in_relative_flux
436190401, 1.44, 8.8e-08, 1.03e-07, 5.12, 8.56, 1e-08, 102, non_zero_quality
437745601, 1.76, 1.19e-07, 1.22e-07, 4.73, 8, 1e-08, 102, non_zero_quality
438523201, 4.3, 1.78e-07, 9.89e-08, 4.18, 5.36, 1e-08, 102, non_zero_quality
439300801, 3.29, 1.56e-07, 1.03e-07, 3.44, 6.6, 1e-08, 102, non_zero_quality
440596801, 1.48, 8.76e-08, 1.76e-06, 7.16, 5.25, 1e-08, 102, non_zero_quality||outlier_in_relative_flux
440856001, 3.61, 1.35e-07, 8.68e-08, 7.73, 5.62, 1e-08, 102, non_zero_quality
441374401, 2.86, 1.3e-07, 9.6e-08, 10.0, 0, 1e-08, 0, spectral_index_error_too_small
441633601, 3.47, 1.94e-07, 1.23e-07, 5.58, 5.71, 1e-08, 102, non_zero_quality
