timestamp, ts, flux, flux_error, photon_index, photon_index_interval, fit_tolerance, fit_convergence, reasons_for_removal
264081601, 1.04, 5.35e-08, 5.43e-08, 7.41, 8.98, 1e-08, 102, non_zero_quality
294926401, 2.03, 7.13e-08, 5.7e-08, 10.0, 0, 1e-08, 0, spectral_index_error_too_small
303998401, 4.37, 1.23e-07, 6.28e-08, 8.13, 4.78, 1e-08, 102, non_zero_quality
345124801, 5.63, 1.53e-07, 7.89e-08, 6.04, 4.31, 1e-08, 102, non_zero_quality
351172801, 7.1, 1.35e-07, 6.82e-08, 4.24, 4.12, 1e-08, 102, non_zero_quality
353592001, 2.37, 7.84e-08, 6.54e-08, 6.26, 6.51, 1e-08, 102, non_zero_quality
356011201, 3.03, 6.67e-08, 1.83e-07, 9.55, 7.16, 1e-08, 1, non_zero_quality
377784001, 1.31, 6.37e-08, 6.31e-08, 10.0, 0, 1e-08, 0, spectral_index_error_too_small
379598401, 2.91, 9.58e-08, 8.31e-08, 3.97, 6.16, 1e-08, 102, non_zero_quality
386251201, 2.36, 1.1e-07, 1.12e-07, 3.82, 6.84, 1e-08, 102, non_zero_quality
397137601, 6.42, 1.35e-07, 6.62e-08, 5.23, 4.16, 1e-08, 102, non_zero_quality
401371201, 6.47, 1.31e-07, 6.99e-08, 5.01, 4.16, 1e-08, 102, non_zero_quality
403790401, 3.84, 6.64e-08, 4.28e-08, 6.59, 5.13, 1e-08, 102, non_zero_quality
404395201, 3.02, 1.06e-07, 7.09e-08, 8.14, 5.92, 1e-08, 102, non_zero_quality
405604801, 5.49, 1.23e-07, 6.31e-08, 7.07, 4.4, 1e-08, 102, non_zero_quality
425563201, 3.53, 9.42e-08, 5.46e-08, 8.54, 5.41, 1e-08, 102, non_zero_quality
441892801, 2.23, 8.27e-08, 5.75e-08, 8.68, 6.45, 1e-08, 102, non_zero_quality
444312001, 3.01, 8.19e-08, 5.09e-08, 7.96, 5.76, 1e-08, 102, non_zero_quality
444916801, 9.75, 1.24e-07, 4.71e-08, 8.65, 3.45, 1e-08, 102, non_zero_quality
447940801, 2.91, 8.8e-08, 6.42e-08, 4.37, 6.11, 1e-08, 102, non_zero_quality
463665601, 15.53, 1.74e-07, 5.6e-08, 7.73, 2.8, 1e-08, 102, non_zero_quality
473947201, 1.59, 4.92e-08, 5.16e-08, 5.65, 8, 1e-08, 102, non_zero_quality
479995201, 7.77, 1.44e-07, 6.88e-08, 4.66, 3.85, 1e-08, 102, non_zero_quality
486043201, 8.45, 1.27e-07, 4.9e-08, 8.55, 3.55, 1e-08, 102, non_zero_quality
501768001, 1.42, 6.27e-08, 5.61e-08, 7.64, 7.94, 1e-08, 102, non_zero_quality
507211201, 2.77, 5.63e-08, 4.13e-08, 10.0, 0, 1e-08, 0, spectral_index_error_too_small
515678401, 6.8, 1.49e-07, 7.19e-08, 5.01, 4.14, 1e-08, 102, non_zero_quality
518702401, 1.68, 5.5e-08, 5.19e-08, 6.95, 7.72, 1e-08, 102, non_zero_quality
521726401, 1.22, 6.27e-08, 5.51e-07, 5.71, 3.03, 1e-08, 0, outlier_in_relative_flux
530193601, 2.97, 6.75e-08, 4.53e-08, 8.53, 5.91, 1e-08, 102, non_zero_quality
530798401, 2.47, 6.24e-08, 4.74e-08, 10.0, 0, 1e-08, 0, spectral_index_error_too_small
533217601, 4.0, 1.26e-07, 7.73e-08, 5.78, 5.15, 1e-08, 102, non_zero_quality
537451201, 1.75, 5.86e-08, 5.32e-08, 10.0, 0, 1e-08, 0, spectral_index_error_too_small
548337601, 70.24, 1.58, 0, 10.0, 0, 1e-08, 0, zero_flux_error||spectral_index_error_too_small
563457601, 2.17, 1.56e-07, 1.26e-07, 5.07, 7.03, 1e-08, 102, non_zero_quality
570715201, 5.92, 1.45e-07, 6.58e-08, 3.36, 5.02, 1e-08, 102, non_zero_quality
573739201, 1.62, 6.29e-08, 5.83e-08, 10.0, 0, 1e-08, 0, spectral_index_error_too_small
582206401, 2.25, 1.24e-07, 1.01e-07, 6.73, 6.76, 1e-08, 102, non_zero_quality
