timestamp, ts, flux_upper_limits, fit_tolerance, fit_convergence
240494401, 0.39, 2.04e-07, 1e-08, 0
240753601, 0.97, 2.38e-07, 1e-08, 0
241012801, 0.19, 1.87e-07, 1e-08, 0
241272001, 0.03, 1.65e-07, 1e-08, 0
241531201, 0.61, 2.53e-07, 1e-08, 0
242049601, 0.0, 1.29e-07, 1e-08, 0
242308801, 0.05, 1.6e-07, 1e-08, 0
242827201, 0.84, 1.97e-07, 1e-08, 0
243086401, 0.3, 1.71e-07, 1e-08, 0
243864001, 0.56, 1.75e-07, 1e-08, 0
244123201, 0.0, 1.12e-07, 1e-08, 102
244382401, 0.31, 1.47e-07, 1e-08, 0
244641601, 0.11, 1.83e-07, 1e-08, 0
245160001, 0.25, 1.74e-07, 1e-08, 0
245678401, 0.26, 2.01e-07, 1e-08, 0
245937601, 0.77, 2.7e-07, 1e-08, 0
246196801, 0.02, 1.65e-07, 1e-08, 0
246456001, 0.0, 1.64e-07, 1e-08, 102
247233601, 0.19, 1.6e-07, 1e-08, 0
248270401, 0.0, 1.03e-07, 1e-08, 102
248788801, 0.64, 1.9e-07, 1e-08, 0
249566401, 0.09, 1.58e-07, 1e-08, 0
249825601, 0.0, 1.38e-07, 1e-08, 102
250344001, 0.0, 1.29e-07, 1e-08, 102
250862401, 0.96, 2.51e-07, 1e-08, 102
251121601, 0.0, 1.63e-07, 1e-08, 102
251640001, 0.0, 1.12e-07, 1e-08, 0
251899201, 0.0, 1.04e-07, 1e-08, 102
252158401, 0.5, 1.69e-07, 1e-08, 0
252676801, 0.42, 1.55e-07, 1e-08, 0
253454401, 0.0, 1.17e-07, 1e-08, 0
254491201, 0.36, 1.62e-07, 1e-08, 0
254750401, 0.21, 1.93e-07, 1e-08, 0
255528001, 0.0, 1.51e-07, 1e-08, 102
256046401, 0.45, 1.77e-07, 1e-08, 102
256305601, 0.0, 1.34e-07, 1e-08, 102
257083201, 0.0, 1.34e-07, 1e-08, 102
257860801, 0.0, 1.36e-07, 1e-08, 102
258379201, 0.0, 1.11e-07, 1e-08, 102
259156801, 0.0, 1.14e-07, 1e-08, 102
259416001, 0.0, 1.64e-07, 1e-08, 102
259675201, 0.0, 1.55e-07, 1e-08, 102
259934401, 0.0, 1.84e-07, 1e-08, 102
260193601, 0.86, 2.08e-07, 1e-08, 102
260452801, 0.0, 1.59e-07, 1e-08, 102
261230401, 0.23, 1.64e-07, 1e-08, 0
261489601, 0.0, 1.46e-07, 1e-08, 102
262785601, 0.91, 2.02e-07, 1e-08, 0
263044801, 0.27, 2.05e-07, 1e-08, 0
263304001, 0.09, 1.78e-07, 1e-08, 0
263822401, 0.31, 1.96e-07, 1e-08, 0
264081601, 0.26, 1.59e-07, 1e-08, 0
264859201, 0.26, 1.19e-07, 1e-08, 0
265118401, 0.0, 1.33e-07, 1e-08, 102
265377601, 0.24, 1.54e-07, 1e-08, 0
265636801, 0.6, 1.87e-07, 1e-08, 0
265896001, 0.0, 1.31e-07, 1e-08, 102
266155201, 0.0, 1.34e-07, 1e-08, 102
266414401, 0.99, 2.11e-07, 1e-08, 0
266673601, 0.01, 1.34e-07, 1e-08, 1
266932801, 0.89, 1.75e-07, 1e-08, 0
267451201, 0.09, 1.34e-07, 1e-08, 0
267710401, 0.12, 1.83e-07, 1e-08, 0
268747201, 0.0, 1.01e-07, 1e-08, 0
269006401, 0.34, 1.71e-07, 1e-08, 0
269524801, 0.36, 2.19e-07, 1e-08, 0
269784001, 0.8, 2.29e-07, 1e-08, 0
271339201, 0.0, 1.39e-07, 1e-08, 102
272376001, 0.09, 1.13e-07, 1e-08, 0
273412801, 0.35, 1.99e-07, 1e-08, 0
273672001, 0.2, 1.37e-07, 1e-08, 102
274190401, 0.01, 1.06e-07, 1e-08, 0
274449601, 0.0, 9.98e-08, 1e-08, 102
274968001, 0.13, 1.43e-07, 1e-08, 0
275227201, 0.0, 1.38e-07, 1e-08, 0
275486401, 0.0, 1.76e-07, 1e-08, 0
275745601, 0.79, 2.27e-07, 1e-08, 0
276264001, 0.0, 2.2e-07, 1e-08, 102
276523201, 0.8, 2.47e-07, 1e-08, 0
276782401, 0.98, 2.64e-07, 1e-08, 0
277041601, 0.0, 1.47e-07, 1e-08, 102
277560001, 0.35, 1.69e-07, 1e-08, 0
277819201, 0.2, 1.86e-07, 1e-08, 0
278078401, 0.04, 1.65e-07, 1e-08, 0
278337601, 0.0, 1.26e-07, 1e-08, 0
279115201, 0.45, 1.36e-07, 1e-08, 0
279374401, 0.32, 1.79e-07, 1e-08, 0
279892801, 0.0, 1.51e-07, 1e-08, 102
280411201, 0.0, 1.13e-07, 1e-08, 102
280670401, 0.0, 1.82e-07, 1e-08, 102
281966401, 0.0, 1.48e-07, 1e-08, 102
282484801, 0.0, 1.2e-07, 1e-08, 0
282744001, 0.0, 9.98e-08, 1e-08, 0
283003201, 0.0, 1.38e-07, 1e-08, 102
283262401, 0.0, 1.57e-07, 1e-08, 102
284299201, 0.0, 1.19e-07, 1e-08, 102
284817601, 0.02, 2e-07, 1e-08, 0
285854401, 0.0, 1.33e-07, 1e-08, 0
286113601, 0.03, 1.46e-07, 1e-08, 0
286632001, 0.0, 1.07e-07, 1e-08, 102
287150401, 0.14, 1.62e-07, 1e-08, 0
287668801, 0.66, 2.08e-07, 1e-08, 0
288705601, 0.55, 1.78e-07, 1e-08, 0
289742401, 0.03, 1.7e-07, 1e-08, 0
290260801, 0.04, 1.81e-07, 1e-08, 0
290520001, 0.8, 2.05e-07, 1e-08, 0
290779201, 0.0, 1.47e-07, 1e-08, 102
291297601, 0.63, 1.65e-07, 1e-08, 0
291816001, 0.19, 1.86e-07, 1e-08, 0
292075201, 0.0, 9.61e-08, 1e-08, 102
292334401, 0.17, 2.13e-07, 1e-08, 0
292852801, 0.72, 2.11e-07, 1e-08, 0
293112001, 0.0, 8.18e-08, 1e-08, 102
293371201, 0.12, 1.84e-07, 1e-08, 0
293630401, 0.0, 9.73e-08, 1e-08, 102
293889601, 0.0, 1.49e-07, 1e-08, 102
294148801, 0.46, 1.24e-07, 1e-08, 102
294667201, 0.26, 2.1e-07, 1e-08, 0
294926401, 0.0, 1.35e-07, 1e-08, 0
295185601, 0.7, 2.29e-07, 1e-08, 0
295444801, 0.0, 7.74e-08, 1e-08, 102
295704001, 0.0, 1.58e-07, 1e-08, 102
295963201, 0.0, 1.17e-07, 1e-08, 102
296222401, 0.26, 1.59e-07, 1e-08, 0
296481601, 0.12, 1.73e-07, 1e-08, 0
297000001, 0.11, 1.73e-07, 1e-08, 0
297259201, 0.19, 1.61e-07, 1e-08, 0
297518401, 0.58, 1.94e-07, 1e-08, 0
297777601, 0.0, 1.55e-07, 1e-08, 102
298036801, 0.4, 1.85e-07, 1e-08, 0
298296001, 0.67, 1.79e-07, 1e-08, 0
298555201, 0.12, 2.13e-07, 1e-08, 0
298814401, 0.34, 2.31e-07, 1e-08, 0
299332801, 0.0, 1.01e-07, 1e-08, 102
299592001, 0.0, 1.16e-07, 1e-08, 102
299851201, 0.0, 1.22e-07, 1e-08, 102
300110401, 0.31, 1.61e-07, 1e-08, 0
300369601, 0.0, 9.51e-08, 1e-08, 102
300888001, 0.0, 1.17e-07, 1e-08, 0
301147201, 0.0, 1.04e-07, 1e-08, 102
301406401, 0.14, 1.58e-07, 1e-08, 0
