timestamp, ts, flux_upper_limits, fit_tolerance, fit_convergence
259027201, 0.0, 3.7e-08, 1e-08, 102
264211201, 0.72, 5.21e-08, 1e-08, 0
277171201, 0.62, 6.35e-08, 1e-08, 0
282355201, 0.47, 5.83e-08, 1e-08, 0
292723201, 0.0, 4.35e-08, 1e-08, 102
295315201, 0.0, 3.4e-08, 1e-08, 102
300499201, 0.0, 2.67e-08, 1e-08, 102
305683201, 0.23, 4.17e-08, 1e-08, 102
310867201, 0.0, 3.4e-08, 1e-08, 102
313459201, 0.91, 6.29e-08, 1e-08, 0
318643201, 0.22, 4.48e-08, 1e-08, 0
329011201, 0.35, 5.06e-08, 1e-08, 102
331603201, 0.82, 6.49e-08, 1e-08, 0
341971201, 0.09, 5.2e-08, 1e-08, 102
354931201, 0.0, 2.96e-08, 1e-08, 102
370483201, 0.43, 4.96e-08, 1e-08, 0
373075201, 0.59, 5.85e-08, 1e-08, 0
388627201, 0.17, 5.07e-08, 1e-08, 0
406771201, 0.0, 3.11e-08, 1e-08, 0
419731201, 0.13, 5.46e-08, 1e-08, 0
427507201, 0.0, 4.53e-08, 1e-08, 102
456019201, 0.48, 6.53e-08, 1e-08, 0
461203201, 0.0, 4.14e-08, 1e-08, 102
468979201, 0.1, 5.57e-08, 1e-08, 0
471571201, 0.0, 4.26e-08, 1e-08, 102
502675201, 0.95, 6.3e-08, 1e-08, 0
507859201, 0.0, 3.57e-08, 1e-08, 0
520819201, 0.4, 4.33e-08, 1e-08, 0
523411201, 0.1, 3.82e-08, 1e-08, 102
526003201, 0.25, 4.5e-08, 1e-08, 102
533779201, 0.05, 3.77e-08, 1e-08, 102
536371201, 0.6, 4.7e-08, 1e-08, 0
538963201, 0.0, 3.98e-08, 1e-08, 102
546739201, 0.29, 6.63e-08, 1e-08, 0
564883201, 0.0, 3.71e-08, 1e-08, 102
567475201, 0.0, 5.32e-08, 1e-08, 102
572659201, 0.03, 4.82e-08, 1e-08, 1
575251201, 0.0, 4.42e-08, 1e-08, 102
583027201, 0.65, 6.55e-08, 1e-08, 0
588211201, 0.17, 5e-08, 1e-08, 0
593395201, 0.72, 6.49e-08, 1e-08, 0
598579201, 0.47, 9.35e-08, 1e-08, 0
601171201, 0.01, 4.27e-08, 1e-08, 102
603763201, 0.4, 5.42e-08, 1e-08, 0
606355201, 0.13, 4.93e-08, 1e-08, 0
614131201, 0.49, 9.28e-08, 1e-08, 0
624499201, 0.19, 5.18e-08, 1e-08, 0
632275201, 0.92, 7.03e-08, 1e-08, 0
634867201, 0.59, 6.49e-08, 1e-08, 0
640051201, 0.0, 4.06e-08, 1e-08, 102
642643201, 0.0, 4.68e-08, 1e-08, 102
647827201, 0.0, 4.69e-08, 1e-08, 102
658195201, 0.03, 5.46e-08, 1e-08, 0
660787201, 0.02, 5.82e-08, 1e-08, 102
665971201, 0.02, 5.04e-08, 1e-08, 1
668563201, 0.0, 4.56e-08, 1e-08, 102
676339201, 0.49, 7.5e-08, 1e-08, 0
678931201, 0.21, 5.49e-08, 1e-08, 0
684115201, 0.12, 4.5e-08, 1e-08, 0
686707201, 0.72, 5.84e-08, 1e-08, 0
691891201, 0.66, 9.48e-08, 1e-08, 0
694483201, 0.0, 5.56e-08, 1e-08, 102
699667201, 0.54, 4.84e-08, 1e-08, 0
710035201, 0.46, 6.03e-08, 1e-08, 102
712627201, 0.63, 6.58e-08, 1e-08, 0
715219201, 0.13, 5.31e-08, 1e-08, 0
720403201, 0.66, 5.09e-08, 1e-08, 0
