timestamp, ts, flux_upper_limits, fit_tolerance, fit_convergence
241099201, 0.0, 1e-07, 1e-08, 102
242913601, 0.17, 1.02e-07, 1e-08, 0
244123201, 0.0, 7.58e-08, 1e-08, 102
245937601, 0.97, 1.77e-07, 1e-08, 0
246542401, 0.0, 1.05e-07, 1e-08, 102
248356801, 0.45, 9.17e-08, 1e-08, 0
249566401, 0.01, 9.85e-08, 1e-08, 0
250171201, 0.58, 1.13e-07, 1e-08, 0
251380801, 0.43, 6.84e-08, 1e-08, 0
251985601, 0.0, 7.71e-08, 1e-08, 102
255614401, 0.27, 1.47e-07, 1e-08, 0
256219201, 0.0, 8.77e-08, 1e-08, 102
258033601, 0.0, 7.16e-08, 1e-08, 102
258638401, 0.37, 1.5e-07, 1e-08, 0
259243201, 0.05, 7.89e-08, 1e-08, 0
259848001, 0.0, 1.14e-07, 1e-08, 102
264686401, 0.11, 9.09e-08, 1e-08, 0
265291201, 0.0, 6.71e-08, 1e-08, 102
265896001, 0.42, 1.25e-07, 1e-08, 0
266500801, 0.0, 9.3e-08, 1e-08, 1
268920001, 0.0, 8.06e-08, 1e-08, 0
274363201, 0.0, 7.98e-08, 1e-08, 102
274968001, 0.3, 1.16e-07, 1e-08, 0
276177601, 0.84, 1.53e-07, 1e-08, 0
276782401, 0.9, 1.58e-07, 1e-08, 0
277387201, 0.9, 1.21e-07, 1e-08, 0
277992001, 0.29, 1.17e-07, 1e-08, 0
278596801, 0.43, 1.27e-07, 1e-08, 0
279201601, 0.78, 1.16e-07, 1e-08, 0
279806401, 0.37, 1.2e-07, 1e-08, 0
280411201, 0.0, 8.89e-08, 1e-08, 0
281620801, 0.8, 1.13e-07, 1e-08, 0
282830401, 0.0, 5.14e-08, 1e-08, 102
284644801, 0.54, 8.69e-08, 1e-08, 0
285854401, 0.27, 1.14e-07, 1e-08, 0
286459201, 0.0, 8.46e-08, 1e-08, 102
287668801, 0.56, 1.32e-07, 1e-08, 0
291902401, 0.0, 7.16e-08, 1e-08, 102
293112001, 0.0, 6.66e-08, 1e-08, 102
293716801, 0.0, 6.91e-08, 1e-08, 102
294321601, 0.71, 1.19e-07, 1e-08, 0
