timestamp, ts, flux, flux_error, photon_index, photon_index_interval, fit_tolerance, fit_convergence
239716801, 15.73, 5.71e-07, 2.02e-07, 3.8, 0, 1e-08, 0
239976001, 29.87, 8.21e-07, 2.27e-07, 3.8, 0, 1e-08, 0
240235201, 9.11, 4.8e-07, 2.33e-07, 3.8, 0, 1e-08, 0
240494401, 28.08, 8.88e-07, 2.54e-07, 3.8, 0, 1e-08, 0
240753601, 8.56, 4.98e-07, 2.39e-07, 3.8, 0, 1e-08, 0
241012801, 1.59, 2.29e-07, 2.49e-07, 3.8, 0, 1e-08, 0
241531201, 5.54, 4.55e-07, 2.81e-07, 3.8, 0, 1e-08, 0
241790401, 13.92, 6.85e-07, 2.64e-07, 3.8, 0, 1e-08, 0
242049601, 4.84, 3.81e-07, 2.29e-07, 3.8, 0, 1e-08, 0
242308801, 3.25, 3.06e-07, 2.33e-07, 3.8, 0, 1e-08, 0
242568001, 7.58, 4.5e-07, 2.26e-07, 3.8, 0, 1e-08, 0
242827201, 4.53, 3.29e-07, 2.1e-07, 3.8, 0, 1e-08, 0
243086401, 35.72, 9e-07, 2.11e-07, 3.8, 0, 1e-08, 0
243345601, 23.26, 7.14e-07, 2.23e-07, 3.8, 0, 1e-08, 0
243604801, 15.86, 6.2e-07, 2.19e-07, 3.8, 0, 1e-08, 0
243864001, 53.08, 1.09e-06, 2.29e-07, 3.8, 0, 1e-08, 0
244123201, 41.96, 1.01e-06, 2.31e-07, 3.8, 0, 1e-08, 0
244382401, 15.0, 6.48e-07, 2.32e-07, 3.8, 0, 1e-08, 0
244641601, 40.37, 9.6e-07, 2.21e-07, 3.8, 0, 1e-08, 0
244900801, 27.5, 8.96e-07, 2.45e-07, 3.8, 0, 1e-08, 0
245160001, 86.98, 1.73e-06, 2.8e-07, 3.8, 0, 1e-08, 0
245419201, 15.01, 7.15e-07, 2.81e-07, 3.8, 0, 1e-08, 0
245678401, 17.55, 7.88e-07, 2.64e-07, 3.8, 0, 1e-08, 0
245937601, 4.2, 4.15e-07, 2.86e-07, 3.8, 0, 1e-08, 0
246196801, 15.82, 7.47e-07, 2.83e-07, 3.8, 0, 1e-08, 0
246456001, 19.13, 8.02e-07, 2.87e-07, 3.8, 0, 1e-08, 0
246715201, 1.85, 2.49e-07, 2.39e-07, 3.8, 0, 1e-08, 0
