timestamp, ts, flux, flux_error, photon_index, photon_index_interval, fit_tolerance, fit_convergence
240883201, 97.78, 5.28e-07, 7.4e-08, 3.8, 0, 1e-08, 0
243475201, 213.0, 7.22e-07, 7.1e-08, 3.8, 0, 1e-08, 0
246067201, 210.18, 8.27e-07, 8.2e-08, 3.8, 0, 1e-08, 0
248659201, 257.1, 7.9e-07, 7.2e-08, 3.8, 0, 1e-08, 0
251251201, 64.15, 4.34e-07, 7.7e-08, 3.8, 0, 1e-08, 0
253843201, 339.5, 9.35e-07, 7.5e-08, 3.8, 0, 1e-08, 0
256435201, 713.23, 1.44e-06, 8e-08, 3.8, 0, 1e-08, 0
259027201, 305.65, 9.85e-07, 8.45e-08, 3.8, 0, 1e-08, 0
261619201, 191.39, 6.61e-07, 6.9e-08, 3.8, 0, 1e-08, 0
264211201, 236.79, 8.8e-07, 8.5e-08, 3.8, 0, 1e-08, 0
266803201, 541.67, 1.21e-06, 8e-08, 3.8, 0, 1e-08, 0
269395201, 362.16, 1.05e-06, 8.15e-08, 3.8, 0, 1e-08, 0
271987201, 186.65, 7.11e-07, 7.2e-08, 3.8, 0, 1e-08, 0
274579201, 62.63, 4.6e-07, 8.3e-08, 3.8, 0, 1e-08, 0
277171201, 100.01, 6.08e-07, 8.4e-08, 3.8, 0, 1e-08, 0
279763201, 44.12, 3.86e-07, 8.2e-08, 3.8, 0, 1e-08, 0
282355201, 115.45, 6.41e-07, 8.6e-08, 3.8, 0, 1e-08, 0
284947201, 17.48, 2.41e-07, 8e-08, 3.8, 0, 1e-08, 0
287539201, 129.23, 6.28e-07, 8e-08, 3.8, 0, 1e-08, 0
290131201, 83.43, 5.38e-07, 8.2e-08, 3.8, 0, 1e-08, 0
292723201, 78.25, 4.95e-07, 8e-08, 3.8, 0, 1e-08, 0
295315201, 150.99, 6.95e-07, 8.2e-08, 3.8, 0, 1e-08, 0
297907201, 150.07, 7.62e-07, 8.9e-08, 3.8, 0, 1e-08, 0
300499201, 237.1, 9.15e-07, 8.6e-08, 3.8, 0, 1e-08, 0
303091201, 70.73, 5.18e-07, 8.7e-08, 3.8, 0, 1e-08, 0
305683201, 118.16, 6.38e-07, 8.1e-08, 3.8, 0, 1e-08, 0
308275201, 238.67, 8.1e-07, 7.7e-08, 3.8, 0, 1e-08, 0
310867201, 30.36, 3.03e-07, 7.7e-08, 3.8, 0, 1e-08, 0
313459201, 37.44, 3.74e-07, 8.5e-08, 3.8, 0, 1e-08, 0
316051201, 105.56, 6.05e-07, 8.6e-08, 3.8, 0, 1e-08, 0
318643201, 129.12, 6.24e-07, 7.8e-08, 3.8, 0, 1e-08, 0
321235201, 129.01, 6.35e-07, 8.1e-08, 3.8, 0, 1e-08, 0
323827201, 515.59, 1.53e-06, 9e-08, 3.8, 0, 1e-08, 0
326419201, 113.9, 6.71e-07, 9e-08, 3.8, 0, 1e-08, 0
329011201, 300.48, 1.02e-06, 8.9e-08, 3.8, 0, 1e-08, 0
331603201, 135.98, 7.21e-07, 8.9e-08, 3.8, 0, 1e-08, 0
334195201, 49.78, 3.78e-07, 7.6e-08, 3.8, 0, 1e-08, 0
336787201, 73.75, 4.83e-07, 8e-08, 3.8, 0, 1e-08, 0
339379201, 15.73, 2.2e-07, 8.4e-08, 3.8, 0, 1e-08, 0
341971201, 29.53, 3.09e-07, 8.1e-08, 3.8, 0, 1e-08, 0
344563201, 24.3, 2.9e-07, 8.4e-08, 3.8, 0, 1e-08, 0
347155201, 72.07, 4.73e-07, 8e-08, 3.8, 0, 1e-08, 0
349747201, 77.08, 5.41e-07, 8.8e-08, 3.8, 0, 1e-08, 0
352339201, 145.42, 6.72e-07, 8.1e-08, 3.8, 0, 1e-08, 0
354931201, 227.03, 9.37e-07, 9.2e-08, 3.8, 0, 1e-08, 0
357523201, 55.67, 4.51e-07, 8.6e-08, 3.8, 0, 1e-08, 0
360115201, 42.95, 3.85e-07, 8.3e-08, 3.8, 0, 1e-08, 0
362707201, 182.96, 7.27e-07, 7.4e-08, 3.8, 0, 1e-08, 0
365299201, 22.93, 2.68e-07, 7.7e-08, 3.8, 0, 1e-08, 0
367891201, 471.81, 1.23e-06, 9e-08, 3.8, 0, 1e-08, 0
370483201, 275.34, 8.42e-07, 7.5e-08, 3.8, 0, 1e-08, 0
373075201, 155.28, 7.35e-07, 8.6e-08, 3.8, 0, 1e-08, 0
375667201, 238.99, 9.07e-07, 8.6e-08, 3.8, 0, 1e-08, 0
378259201, 368.03, 1.23e-06, 1e-07, 3.8, 0, 1e-08, 0
380851201, 296.76, 1.05e-06, 8.8e-08, 3.8, 0, 1e-08, 0
383443201, 2285.33, 3.04e-06, 1e-07, 3.8, 0, 1e-08, 0
386035201, 738.87, 1.79e-06, 1e-07, 3.8, 0, 1e-08, 0
388627201, 771.71, 1.62e-06, 9e-08, 3.8, 0, 1e-08, 0
391219201, 252.17, 1.04e-06, 9.05e-08, 3.8, 0, 1e-08, 0
393811201, 222.3, 8.78e-07, 8.5e-08, 3.8, 0, 1e-08, 0
396403201, 38.14, 3.52e-07, 8e-08, 3.8, 0, 1e-08, 0
398995201, 14.92, 2.28e-07, 8.2e-08, 3.8, 0, 1e-08, 0
401587201, 145.9, 6.58e-07, 8e-08, 3.8, 0, 1e-08, 0
404179201, 561.12, 1.37e-06, 8e-08, 3.8, 0, 1e-08, 0
406771201, 256.82, 9.58e-07, 9e-08, 3.8, 0, 1e-08, 0
409363201, 104.05, 7.48e-07, 1.03e-07, 3.8, 0, 1e-08, 0
411955201, 179.78, 6.31e-07, 6.5e-08, 3.8, 0, 1e-08, 0
414547201, 31.97, 3.58e-07, 8.9e-08, 3.8, 0, 1e-08, 0
417139201, 188.68, 8.01e-07, 8e-08, 3.8, 0, 1e-08, 0
419731201, 131.89, 6.76e-07, 8.6e-08, 3.8, 0, 1e-08, 0
422323201, 59.29, 4.49e-07, 8.25e-08, 3.8, 0, 1e-08, 0
424915201, 43.8, 4.03e-07, 8.6e-08, 3.8, 0, 1e-08, 0
427507201, 37.03, 3.43e-07, 7.9e-08, 3.8, 0, 1e-08, 0
430099201, 450.67, 1.17e-06, 8e-08, 3.8, 0, 1e-08, 0
432691201, 24.77, 3.09e-07, 8.6e-08, 3.8, 0, 1e-08, 0
435283201, 42.0, 3.65e-07, 7.9e-08, 3.8, 0, 1e-08, 0
437875201, 38.83, 3.67e-07, 8.2e-08, 3.8, 0, 1e-08, 0
440467201, 45.8, 3.94e-07, 8.3e-08, 3.8, 0, 1e-08, 0
443059201, 103.74, 5.98e-07, 8.4e-08, 3.8, 0, 1e-08, 0
445651201, 45.34, 4.07e-07, 8.7e-08, 3.8, 0, 1e-08, 0
448243201, 68.01, 4.69e-07, 8.1e-08, 3.8, 0, 1e-08, 0
450835201, 32.36, 3.55e-07, 8.8e-08, 3.8, 0, 1e-08, 0
453427201, 25.33, 2.71e-07, 7.6e-08, 3.8, 0, 1e-08, 0
456019201, 28.37, 3.43e-07, 9e-08, 3.8, 0, 1e-08, 0
458611201, 34.65, 3.25e-07, 7.8e-08, 3.8, 0, 1e-08, 0
461203201, 15.68, 2.16e-07, 7.6e-08, 3.8, 0, 1e-08, 0
463795201, 23.49, 2.56e-07, 7.5e-08, 3.8, 0, 1e-08, 0
466387201, 60.89, 4.02e-07, 7.4e-08, 3.8, 0, 1e-08, 0
468979201, 74.8, 5.26e-07, 8.5e-08, 3.8, 0, 1e-08, 0
471571201, 172.57, 7.73e-07, 8.6e-08, 3.8, 0, 1e-08, 0
474163201, 160.14, 6.53e-07, 7.3e-08, 3.8, 0, 1e-08, 0
476755201, 9.6, 1.71e-07, 7.8e-08, 3.8, 0, 1e-08, 0
479347201, 99.83, 5.8e-07, 8.2e-08, 3.8, 0, 1e-08, 0
481939201, 32.93, 3.32e-07, 8.1e-08, 3.8, 0, 1e-08, 0
484531201, 153.97, 7.3e-07, 8.6e-08, 3.8, 0, 1e-08, 0
487123201, 92.52, 6.12e-07, 9.2e-08, 3.8, 0, 1e-08, 0
489715201, 91.65, 5.6e-07, 8.5e-08, 3.8, 0, 1e-08, 0
492307201, 138.89, 6.76e-07, 8.3e-08, 3.8, 0, 1e-08, 0
494899201, 160.11, 6.86e-07, 7.9e-08, 3.8, 0, 1e-08, 0
497491201, 1858.44, 2.25e-06, 8e-08, 3.8, 0, 1e-08, 0
500083201, 272.68, 9.46e-07, 8.4e-08, 3.8, 0, 1e-08, 0
502675201, 118.32, 6.28e-07, 8.4e-08, 3.8, 0, 1e-08, 0
505267201, 200.91, 8.56e-07, 9e-08, 3.8, 0, 1e-08, 0
507859201, 61.45, 4.31e-07, 7.8e-08, 3.8, 0, 1e-08, 0
510451201, 88.21, 5.09e-07, 7.7e-08, 3.8, 0, 1e-08, 0
513043201, 153.21, 7.64e-07, 8.9e-08, 3.8, 0, 1e-08, 0
515635201, 73.79, 5.03e-07, 8.1e-08, 3.8, 0, 1e-08, 0
518227201, 61.92, 4.43e-07, 7.9e-08, 3.8, 0, 1e-08, 0
520819201, 183.79, 8.62e-07, 8.8e-08, 3.8, 0, 1e-08, 0
523411201, 100.99, 5.79e-07, 8.1e-08, 3.8, 0, 1e-08, 0
526003201, 163.79, 6.81e-07, 7.9e-08, 3.8, 0, 1e-08, 0
528595201, 125.25, 6.17e-07, 7.9e-08, 3.8, 0, 1e-08, 0
531187201, 364.05, 1.08e-06, 8.25e-08, 3.8, 0, 1e-08, 0
533779201, 91.81, 5.83e-07, 8.7e-08, 3.8, 0, 1e-08, 0
536371201, 57.51, 4.43e-07, 8.2e-08, 3.8, 0, 1e-08, 0
538963201, 34.84, 3.48e-07, 8.2e-08, 3.8, 0, 1e-08, 0
541555201, 280.79, 9.54e-07, 8.4e-08, 3.8, 0, 1e-08, 0
544147201, 2.04, 6.09e-07, 5.71e-07, 3.8, 0, 1e-08, 0
546739201, 93.08, 6.94e-07, 1.03e-07, 3.8, 0, 1e-08, 0
549331201, 22.07, 1.19e-06, 3.61e-07, 3.8, 0, 1e-08, 0
551923201, 16.68, 3.17e-07, 1.07e-07, 3.8, 0, 1e-08, 0
554515201, 11.45, 2.5e-07, 1.01e-07, 3.8, 0, 1e-08, 0
557107201, 27.59, 3.08e-07, 8.1e-08, 3.8, 0, 1e-08, 0
559699201, 224.19, 7.53e-07, 7.2e-08, 3.8, 0, 1e-08, 0
562291201, 1967.31, 4.16e-06, 1.4e-07, 3.8, 0, 1e-08, 0
564883201, 74.7, 5.67e-07, 9.3e-08, 3.8, 0, 1e-08, 0
567475201, 97.37, 7.74e-07, 1.16e-07, 3.8, 0, 1e-08, 0
570067201, 237.7, 9.64e-07, 8.65e-08, 3.8, 0, 1e-08, 0
572659201, 291.72, 1.11e-06, 1e-07, 3.8, 0, 1e-08, 0
575251201, 154.86, 7.85e-07, 9.1e-08, 3.8, 0, 1e-08, 0
577843201, 73.66, 4.86e-07, 8e-08, 3.8, 0, 1e-08, 0
580435201, 45.48, 5.67e-07, 1.18e-07, 3.8, 0, 1e-08, 0
583027201, 11.12, 2.41e-07, 1e-07, 3.8, 0, 1e-08, 0
585619201, 23.98, 3.51e-07, 9.9e-08, 3.8, 0, 1e-08, 0
588211201, 230.96, 7.95e-07, 7.7e-08, 3.8, 0, 1e-08, 0
590803201, 342.08, 9.55e-07, 7.6e-08, 3.8, 0, 1e-08, 0
593395201, 374.06, 1.15e-06, 9e-08, 3.8, 0, 1e-08, 0
595987201, 67.85, 6.9e-07, 1.23e-07, 3.8, 0, 1e-08, 0
598579201, 42.07, 6.48e-07, 1.43e-07, 3.8, 0, 1e-08, 0
601171201, 162.62, 8.38e-07, 9.1e-08, 3.8, 0, 1e-08, 0
603763201, 233.63, 9.03e-07, 8.7e-08, 3.8, 0, 1e-08, 0
606355201, 116.16, 7.19e-07, 9.2e-08, 3.8, 0, 1e-08, 0
608947201, 75.6, 4.77e-07, 7.8e-08, 3.8, 0, 1e-08, 0
611539201, 75.35, 6.11e-07, 1.01e-07, 3.8, 0, 1e-08, 0
614131201, 93.15, 9.47e-07, 1.36e-07, 3.8, 0, 1e-08, 0
616723201, 88.03, 6.18e-07, 9.25e-08, 3.8, 0, 1e-08, 0
619315201, 173.24, 7.44e-07, 8.2e-08, 3.8, 0, 1e-08, 0
621907201, 198.66, 6.91e-07, 7.2e-08, 3.8, 0, 1e-08, 0
624499201, 451.35, 1.24e-06, 9e-08, 3.8, 0, 1e-08, 0
627091201, 80.14, 7.62e-07, 1.25e-07, 3.8, 0, 1e-08, 0
629683201, 93.08, 7.15e-07, 1.07e-07, 3.8, 0, 1e-08, 0
632275201, 97.71, 7.8e-07, 1.15e-07, 3.8, 0, 1e-08, 0
634867201, 293.46, 1.01e-06, 8.95e-08, 3.8, 0, 1e-08, 0
637459201, 418.23, 1.31e-06, 1e-07, 3.8, 0, 1e-08, 0
640051201, 362.64, 1.14e-06, 9e-08, 3.8, 0, 1e-08, 0
642643201, 136.62, 7.24e-07, 8.9e-08, 3.8, 0, 1e-08, 0
645235201, 53.55, 8.32e-07, 1.65e-07, 3.8, 0, 1e-08, 0
647827201, 246.72, 1.12e-06, 1e-07, 3.8, 0, 1e-08, 0
650419201, 92.07, 5.55e-07, 8.2e-08, 3.8, 0, 1e-08, 0
653011201, 184.63, 6.98e-07, 7.5e-08, 3.8, 0, 1e-08, 0
655603201, 209.88, 7.82e-07, 7.5e-08, 3.8, 0, 1e-08, 0
658195201, 87.35, 6.79e-07, 1.07e-07, 3.8, 0, 1e-08, 0
660787201, 23.32, 3.4e-07, 9.8e-08, 3.8, 0, 1e-08, 0
663379201, 36.36, 5.71e-07, 1.34e-07, 3.8, 0, 1e-08, 0
665971201, 121.32, 6.58e-07, 8.5e-08, 3.8, 0, 1e-08, 0
668563201, 285.7, 1.02e-06, 9e-08, 3.8, 0, 1e-08, 0
671155201, 81.93, 5.35e-07, 8.2e-08, 3.8, 0, 1e-08, 0
673747201, 90.93, 6.16e-07, 9.2e-08, 3.8, 0, 1e-08, 0
676339201, 103.64, 9.83e-07, 1.38e-07, 3.8, 0, 1e-08, 0
678931201, 413.26, 1.39e-06, 1e-07, 3.8, 0, 1e-08, 0
681523201, 146.98, 6.93e-07, 7.7e-08, 3.8, 0, 1e-08, 0
684115201, 313.12, 9.5e-07, 7.2e-08, 3.8, 0, 1e-08, 0
686707201, 49.13, 3.6e-07, 7.4e-08, 3.8, 0, 1e-08, 0
689299201, 89.38, 5.8e-07, 8.4e-08, 3.8, 0, 1e-08, 0
694483201, 70.73, 8.32e-07, 1.34e-07, 3.8, 0, 1e-08, 0
697075201, 38.9, 3.42e-07, 8e-08, 3.8, 0, 1e-08, 0
699667201, 104.42, 5.16e-07, 6.9e-08, 3.8, 0, 1e-08, 0
702259201, 112.4, 6.52e-07, 8.3e-08, 3.8, 0, 1e-08, 0
704851201, 79.37, 5.11e-07, 8.1e-08, 3.8, 0, 1e-08, 0
707443201, 63.7, 6.06e-07, 1.04e-07, 3.8, 0, 1e-08, 0
710035201, 51.61, 5.6e-07, 1.08e-07, 3.8, 0, 1e-08, 0
712627201, 110.27, 6.07e-07, 7.8e-08, 3.8, 0, 1e-08, 0
715219201, 39.7, 3.18e-07, 7.6e-08, 3.8, 0, 1e-08, 0
717811201, 60.34, 3.8e-07, 7.1e-08, 3.8, 0, 1e-08, 0
720403201, 47.69, 3.67e-07, 7.7e-08, 3.8, 0, 1e-08, 0
722995201, 74.61, 8.55e-07, 1.44e-07, 3.8, 0, 1e-08, 0
725587201, 457.27, 2.01e-06, 1.35e-07, 3.8, 0, 1e-08, 0
728179201, 32.39, 3.52e-07, 9.1e-08, 3.8, 0, 1e-08, 0
730771201, 17.52, 2.03e-07, 7.1e-08, 3.8, 0, 1e-08, 0
733363201, 8.71, 1.57e-07, 8.08e-08, 3.8, 0, 1e-08, 0
735955201, 166.38, 8.01e-07, 8.6e-08, 3.8, 0, 1e-08, 0
738547201, 85.22, 6.09e-07, 9.1e-08, 3.8, 0, 1e-08, 0
