timestamp, ts, flux, flux_error, photon_index, photon_index_interval, fit_tolerance, fit_convergence
239716801, 18.03, 5.82e-07, 1.57e-07, 3.47, 0.52, 1e-08, 0
239976001, 35.52, 8.12e-07, 1.65e-07, 4.43, 0.52, 1e-08, 0
240235201, 10.86, 4.99e-07, 1.7e-07, 3.31, 0.54, 1e-08, 0
240494401, 32.26, 8.91e-07, 1.88e-07, 3.73, 0.49, 1e-08, 0
240753601, 10.71, 4.7e-07, 1.74e-07, 5.15, 1.01, 1e-08, 0
241012801, 3.16, 2.42e-07, 1.6e-07, 7.1, 1.85, 1e-08, 0
241272001, 1.34, 1.7e-07, 1.66e-07, 5.85, 2.33, 1e-08, 0
241531201, 6.58, 4.29e-07, 2.04e-07, 4.72, 1.3, 1e-08, 0
241790401, 16.12, 6.87e-07, 2e-07, 3.74, 0.7, 1e-08, 0
242049601, 5.75, 3.71e-07, 1.82e-07, 4.34, 1.1, 1e-08, 0
242308801, 4.15, 2.94e-07, 1.68e-07, 4.93, 1.51, 1e-08, 0
242568001, 9.5, 4.23e-07, 1.66e-07, 5.25, 1.01, 1e-08, 0
242827201, 7.2, 3.31e-07, 1.45e-07, 6.29, 1.1, 1e-08, 0
243086401, 40.63, 9e-07, 1.69e-07, 3.81, 0.45, 1e-08, 0
243345601, 26.86, 7.21e-07, 1.61e-07, 3.54, 0.43, 1e-08, 0
243604801, 20.43, 5.62e-07, 1.53e-07, 6.24, 0.87, 1e-08, 0
243864001, 60.47, 1.08e-06, 1.71e-07, 4.07, 0.43, 1e-08, 0
244123201, 48.74, 1.01e-06, 1.77e-07, 3.89, 0.45, 1e-08, 0
244382401, 17.76, 6.44e-07, 1.78e-07, 3.99, 0.6, 1e-08, 0
244641601, 47.16, 9.43e-07, 1.68e-07, 4.34, 0.51, 1e-08, 0
244900801, 32.7, 8.83e-07, 1.89e-07, 4.08, 0.61, 1e-08, 0
245160001, 102.2, 1.74e-06, 2.1e-07, 3.61, 0.28, 1e-08, 0
245419201, 17.47, 7.25e-07, 1.99e-07, 3.57, 0.52, 1e-08, 0
245678401, 21.0, 8.01e-07, 2.07e-07, 3.5, 0.54, 1e-08, 0
245937601, 5.0, 4.11e-07, 2.13e-07, 3.96, 1.07, 1e-08, 0
246196801, 18.25, 7.5e-07, 2.06e-07, 3.71, 0.6, 1e-08, 0
246456001, 23.12, 7.87e-07, 1.99e-07, 4.57, 0.66, 1e-08, 0
246715201, 2.13, 2.55e-07, 1.95e-07, 3.51, 1.8, 1e-08, 0
246974401, 18.34, 5.65e-07, 1.62e-07, 5.99, 0.86, 1e-08, 0
247233601, 56.04, 1.14e-06, 1.82e-07, 3.72, 0.39, 1e-08, 0
247492801, 16.05, 5.03e-07, 1.55e-07, 4.94, 0.9, 1e-08, 0
247752001, 155.34, 1.77e-06, 1.8e-07, 3.73, 0.24, 1e-08, 0
248011201, 107.91, 1.56e-06, 1.8e-07, 3.58, 0.26, 1e-08, 0
248270401, 47.92, 9.74e-07, 1.68e-07, 4.02, 0.42, 1e-08, 0
248529601, 16.8, 5.98e-07, 1.65e-07, 3.36, 0.46, 1e-08, 0
249048001, 12.2, 4.94e-07, 1.66e-07, 3.78, 0.74, 1e-08, 0
249307201, 28.47, 7.67e-07, 1.68e-07, 3.7, 0.45, 1e-08, 0
249566401, 20.89, 6.77e-07, 1.75e-07, 3.98, 0.62, 1e-08, 0
249825601, 14.28, 5.51e-07, 1.78e-07, 4.51, 0.89, 1e-08, 0
250084801, 15.71, 6.57e-07, 1.9e-07, 3.43, 0.53, 1e-08, 0
250344001, 6.24, 3.3e-07, 1.66e-07, 7.51, 3.38, 1e-08, 0
250603201, 33.92, 9.69e-07, 2.09e-07, 4.18, 0.61, 1e-08, 0
251121601, 17.25, 6.62e-07, 1.92e-07, 4.29, 0.78, 1e-08, 0
251640001, 3.67, 2.91e-07, 1.73e-07, 3.61, 1.08, 1e-08, 0
251899201, 9.93, 4.78e-07, 1.79e-07, 3.98, 0.85, 1e-08, 0
252158401, 2.84, 2.42e-07, 1.56e-07, 3.21, 1.07, 1e-08, 0
252417601, 20.38, 6.36e-07, 1.66e-07, 3.76, 0.56, 1e-08, 0
252676801, 6.74, 3.69e-07, 1.59e-07, 3.26, 0.7, 1e-08, 0
252936001, 14.59, 5.32e-07, 1.64e-07, 4.37, 0.7, 1e-08, 0
253195201, 41.68, 8.03e-07, 1.56e-07, 4.85, 0.6, 1e-08, 0
253454401, 55.46, 9.93e-07, 1.66e-07, 4.32, 0.45, 1e-08, 0
253713601, 52.42, 1.02e-06, 1.7e-07, 3.84, 0.39, 1e-08, 0
253972801, 85.38, 1.36e-06, 1.8e-07, 3.79, 0.34, 1e-08, 0
254232001, 39.1, 9.95e-07, 1.86e-07, 3.35, 0.33, 1e-08, 0
254491201, 19.34, 6.58e-07, 1.82e-07, 4.29, 0.74, 1e-08, 0
254750401, 64.27, 1.37e-06, 2.1e-07, 3.99, 0.43, 1e-08, 0
255009601, 70.3, 1.57e-06, 2.4e-07, 3.83, 0.4, 1e-08, 0
255268801, 98.22, 2.17e-06, 2.9e-07, 3.85, 0.35, 1e-08, 0
255528001, 171.47, 2.67e-06, 2.65e-07, 3.77, 0.28, 1e-08, 0
255787201, 185.28, 2.55e-06, 2.4e-07, 3.56, 0.21, 1e-08, 0
256046401, 87.18, 1.54e-06, 2.1e-07, 3.85, 0.35, 1e-08, 0
256305601, 43.02, 9.94e-07, 1.84e-07, 3.77, 0.44, 1e-08, 0
256564801, 56.71, 1.06e-06, 1.79e-07, 4.58, 0.56, 1e-08, 0
