timestamp, ts, flux, flux_error, photon_index, photon_index_interval, fit_tolerance, fit_convergence, reasons_for_removal
279892801, 3.32, 2.28e-07, 1.84e-06, 10.0, 0, 1e-08, 102, non_zero_quality||spectral_index_error_too_small
294926401, 1.82, 2.32e-07, 2.09e-07, 3.3, 9.02, 1e-08, 102, non_zero_quality
322401601, 9.05, 4.5e-07, 2.28e-06, 10.0, 0, 1e-08, 102, non_zero_quality||spectral_index_error_too_small
335361601, 1.33, 1.99e-07, 3.22e-07, 3.18, 9.72, 1e-08, 102, non_zero_quality
346248001, 1.07, 1.99e-07, 2.71e-07, 3.29, 11.6, 1e-08, 102, non_zero_quality
348840001, 1.69, 2.44e-07, 2.76e-07, 3.37, 9.41, 1e-08, 102, non_zero_quality
356356801, 1.74, 4.1e-07, 3.57e-07, 10.0, 0, 1e-08, 0, spectral_index_error_too_small
361022401, 10.27, 3.48e-07, 1.68e-06, 10.0, 0.01, 1e-08, 102, non_zero_quality||outlier_in_relative_flux
401198401, 6.33, 2.92e-07, 1.74e-06, 10.0, 0, 1e-08, 102, non_zero_quality||spectral_index_error_too_small
422712001, 2.23, 1.96e-07, 1.91e-06, 10.0, 0.01, 1e-08, 102, non_zero_quality||outlier_in_relative_flux
432302401, 1.54, 2.36e-07, 2.9e-07, 3.53, 10, 1e-08, 102, non_zero_quality
432561601, 1.5, 2.37e-07, 3.29e-07, 3.38, 9.73, 1e-08, 102, non_zero_quality
436968001, 1.65, 2.31e-07, 2.66e-07, 3.36, 9.52, 1e-08, 102, non_zero_quality
440856001, 4.4, 2.75e-07, 1.94e-06, 10.0, 0, 1e-08, 102, non_zero_quality||spectral_index_error_too_small
452520001, 2.63, 1.77e-07, 1.58e-06, 10.0, 0.01, 1e-08, 102, non_zero_quality||outlier_in_relative_flux
455630401, 2.5, 2.07e-07, 1.93e-06, 10.0, 0, 1e-08, 102, non_zero_quality||spectral_index_error_too_small
457185601, 1.31, 1.97e-07, 1.84e-07, 3.46, 11.8, 1e-08, 102, non_zero_quality
457704001, 5.75, 2.55e-07, 1.62e-06, 10.0, 0, 1e-08, 102, non_zero_quality||spectral_index_error_too_small
461851201, 1.81, 2.12e-07, 1.76e-07, 3.53, 10, 1e-08, 102, non_zero_quality
475329601, 1.31, 1.73e-07, 1.58e-07, 3.62, 12.1, 1e-08, 102, non_zero_quality
493473601, 1.11, 1.74e-07, 3.21e-07, 3.19, 10.9, 1e-08, 102, non_zero_quality
510062401, 4.9, 2.41e-07, 1.62e-06, 10.0, 0, 1e-08, 102, non_zero_quality||spectral_index_error_too_small
516024001, 1.7, 2.3e-07, 2.68e-07, 3.42, 9.41, 1e-08, 102, non_zero_quality
538574401, 1.05, 1.93e-07, 3.99e-07, 3.15, 10.8, 1e-08, 102, non_zero_quality
549460801, 7.06, 1.05e-06, 5.1e-07, 10.0, 0, 1e-08, 0, spectral_index_error_too_small
564494401, 1.43, 1.97e-07, 3.04e-07, 3.2, 9.36, 1e-08, 102, non_zero_quality
580564801, 1.01, 2.51e-07, 3.75e-06, 10.0, 0, 1e-08, 102, non_zero_quality||spectral_index_error_too_small
610891201, 1.59, 1.63e-07, 1.87e-06, 10.0, 0, 1e-08, 102, non_zero_quality||spectral_index_error_too_small
612705601, 3.15, 6.43e-06, 4.77e-06, 10.0, 0, 1e-08, 0, spectral_index_error_too_small
612964801, 1.41, 3.11e-06, 4.38e-05, 10.0, 0.01, 1e-08, 102, non_zero_quality||outlier_in_relative_flux
617112001, 10.27, 4.24e-07, 2.03e-06, 10.0, 0.01, 1e-08, 102, non_zero_quality||outlier_in_relative_flux
629035201, 1.27, 2.16e-07, 2.32e-07, 3.36, 10.8, 1e-08, 102, non_zero_quality
630331201, 5.21, 4.51e-07, 3.37e-06, 10.0, 0, 1e-08, 102, non_zero_quality||spectral_index_error_too_small
644846401, 2.94, 5.93e-06, 4.37e-06, 10.0, 0, 1e-08, 0, spectral_index_error_too_small
645624001, 125.99, 99.9, 0, 0.0, 0, 1e-08, 0, zero_flux_error||spectral_index_error_too_small
647697601, 1.37, 2.19e-07, 1.93e-07, 3.72, 11.6, 1e-08, 102, non_zero_quality
665323201, 3.33, 2.36e-07, 1.92e-06, 10.0, 0, 1e-08, 102, non_zero_quality||spectral_index_error_too_small
682171201, 10.18, 3.34e-07, 1.61e-06, 10.0, 0, 1e-08, 102, non_zero_quality||spectral_index_error_too_small
704203201, 3.77, 2.07e-07, 1.58e-06, 10.0, 0, 1e-08, 102, non_zero_quality||spectral_index_error_too_small
705499201, 5.17, 3.24e-07, 2.15e-06, 10.0, 0, 1e-08, 102, non_zero_quality||spectral_index_error_too_small
708868801, 831.0, 9990.0, 0, 0.0, 0, 1e-08, 0, zero_flux_error||spectral_index_error_too_small
716385601, 1.04, 1.8e-07, 3.08e-07, 3.07, 11.2, 1e-08, 102, non_zero_quality
728308801, 1.09, 1.83e-07, 2.39e-07, 3.23, 11.6, 1e-08, 102, non_zero_quality
740232001, 347.68, 9990.0, 0, 0.0, 0, 1e-08, 0, zero_flux_error||spectral_index_error_too_small
