timestamp, ts, flux, flux_error, photon_index, photon_index_interval, fit_tolerance, fit_convergence, reasons_for_removal
311256001, 1.39, 1.2e-07, 1.09e-07, 4.03, 12.5, 1e-08, 102, non_zero_quality
313070401, 1.79, 1.63e-07, 2.56e-07, 3.21, 8.27, 1e-08, 102, non_zero_quality||outlier_in_relative_flux
340286401, 2.1, 1.7e-07, 1.63e-07, 3.28, 8.1, 1e-08, 102, non_zero_quality
340891201, 1.22, 1.29e-07, 1.4e-07, 3.36, 11, 1e-08, 102, non_zero_quality
361454401, 2.84, 1.93e-07, 1.33e-07, 3.27, 7.41, 1e-08, 102, non_zero_quality
364478401, 2.43, 1.78e-07, 1.16e-07, 3.74, 8.79, 1e-08, 102, non_zero_quality
365688001, 1.43, 8.48e-08, 9.93e-07, 10.0, 0, 1e-08, 102, non_zero_quality||spectral_index_error_too_small
398347201, 1.67, 1.43e-07, 1.14e-07, 3.35, 9.94, 1e-08, 102, non_zero_quality
456408001, 1.2, 1.61e-07, 1.57e-07, 3.37, 11.3, 1e-08, 102, non_zero_quality
460036801, 1.33, 1.34e-07, 3.27e-07, 3.03, 8.7, 1e-08, 102, non_zero_quality||outlier_in_relative_flux
509025601, 4.77, 2.39e-07, 1.21e-07, 3.44, 5.98, 1e-08, 102, non_zero_quality
534427201, 1.52, 1.39e-07, 1.36e-07, 3.63, 11.3, 1e-08, 102, non_zero_quality
555595201, 4.39, 2.52e-07, 2.04e-07, 3.36, 5.74, 1e-08, 102, non_zero_quality||outlier_in_relative_flux
608817601, 1.29, 1.29e-07, 2.88e-07, 3.05, 9.1, 1e-08, 102, non_zero_quality||outlier_in_relative_flux
659620801, 1.0, NaN, NaN, NaN, NaN, 1e-08, 0, missing_flux||missing_flux_error
677160001, 39.6, 4.22e-05, 1.17e-05, 4.96, 0.86, 1e-08, 0, outlier_in_relative_flux
708609601, 29.22, 0.000278, 8.5e-05, 3.99, 0.7, 1e-08, 0, outlier_in_relative_flux
709214401, 25.79, 3.06e-05, 9.9e-06, 4.56, 1.08, 1e-08, 0, outlier_in_relative_flux
