timestamp, ts, flux, flux_error, photon_index, photon_index_interval, fit_tolerance, fit_convergence
240883201, 114.56, 5.2e-07, 5.7e-08, 4.15, 0.27, 1e-08, 0
243475201, 248.71, 7.11e-07, 5.4e-08, 4.2, 0.2, 1e-08, 0
246067201, 245.5, 8.25e-07, 6.3e-08, 3.86, 0.19, 1e-08, 0
248659201, 298.1, 7.9e-07, 5.4e-08, 3.8, 0.16, 1e-08, 0
251251201, 74.68, 4.33e-07, 5.8e-08, 3.85, 0.28, 1e-08, 0
253843201, 396.35, 9.31e-07, 5.7e-08, 3.91, 0.15, 1e-08, 0
256435201, 834.59, 1.44e-06, 6e-08, 3.81, 0.11, 1e-08, 0
259027201, 355.68, 9.82e-07, 6.55e-08, 3.89, 0.16, 1e-08, 0
261619201, 224.37, 6.47e-07, 5.2e-08, 4.36, 0.21, 1e-08, 0
264211201, 274.45, 8.84e-07, 6.35e-08, 3.7, 0.16, 1e-08, 0
266803201, 632.26, 1.21e-06, 6e-08, 3.94, 0.12, 1e-08, 0
269395201, 422.11, 1.04e-06, 6.15e-08, 4.06, 0.16, 1e-08, 0
271987201, 220.54, 6.99e-07, 5.7e-08, 4.28, 0.21, 1e-08, 0
274579201, 72.37, 4.64e-07, 6.3e-08, 3.64, 0.27, 1e-08, 0
277171201, 115.45, 6.09e-07, 6.6e-08, 3.77, 0.24, 1e-08, 0
279763201, 51.97, 3.76e-07, 6.1e-08, 4.43, 0.4, 1e-08, 0
282355201, 134.89, 6.43e-07, 6.5e-08, 3.75, 0.21, 1e-08, 0
284947201, 20.55, 2.34e-07, 5.95e-08, 4.41, 0.73, 1e-08, 0
287539201, 152.96, 6.14e-07, 6e-08, 4.23, 0.26, 1e-08, 0
290131201, 96.2, 5.41e-07, 6.3e-08, 3.69, 0.31, 1e-08, 0
292723201, 95.07, 4.72e-07, 5.9e-08, 4.82, 0.33, 1e-08, 0
295315201, 175.5, 6.93e-07, 6.2e-08, 3.86, 0.2, 1e-08, 0
297907201, 175.1, 7.54e-07, 6.8e-08, 4.07, 0.22, 1e-08, 0
300499201, 279.39, 9.02e-07, 6.6e-08, 4.22, 0.2, 1e-08, 0
303091201, 81.02, 5.2e-07, 6.6e-08, 3.71, 0.25, 1e-08, 0
305683201, 141.8, 6.5e-07, 6.3e-08, 3.53, 0.19, 1e-08, 0
308275201, 276.34, 8.03e-07, 5.8e-08, 4.03, 0.18, 1e-08, 0
310867201, 37.29, 2.92e-07, 5.6e-08, 4.75, 0.42, 1e-08, 0
313459201, 43.18, 3.7e-07, 6.5e-08, 4.08, 0.36, 1e-08, 0
316051201, 121.14, 6.07e-07, 6.4e-08, 3.75, 0.23, 1e-08, 0
318643201, 155.6, 6.02e-07, 5.9e-08, 4.79, 0.27, 1e-08, 0
321235201, 153.78, 6.17e-07, 6e-08, 4.62, 0.26, 1e-08, 0
323827201, 706.21, 1.62e-06, 7e-08, 3.19, 0.07, 1e-08, 0
326419201, 130.56, 6.69e-07, 6.8e-08, 3.92, 0.23, 1e-08, 0
329011201, 351.46, 1.02e-06, 6.8e-08, 4.03, 0.17, 1e-08, 0
331603201, 157.52, 7.18e-07, 6.8e-08, 3.94, 0.22, 1e-08, 0
334195201, 57.23, 3.79e-07, 5.8e-08, 3.78, 0.31, 1e-08, 0
336787201, 84.92, 4.81e-07, 6.1e-08, 3.86, 0.28, 1e-08, 0
339379201, 19.28, 2.36e-07, 5.8e-08, 3.17, 0.44, 1e-08, 0
341971201, 34.07, 3.12e-07, 6.05e-08, 3.68, 0.35, 1e-08, 0
344563201, 28.42, 2.84e-07, 6.1e-08, 4.41, 0.5, 1e-08, 0
347155201, 83.64, 4.67e-07, 6e-08, 4.05, 0.3, 1e-08, 0
349747201, 87.71, 5.4e-07, 6.7e-08, 3.88, 0.27, 1e-08, 0
352339201, 170.54, 6.65e-07, 6.1e-08, 3.98, 0.23, 1e-08, 0
354931201, 267.2, 9.25e-07, 6.9e-08, 4.32, 0.2, 1e-08, 0
357523201, 64.03, 4.51e-07, 6.5e-08, 3.78, 0.29, 1e-08, 0
360115201, 49.62, 3.76e-07, 6.3e-08, 4.26, 0.42, 1e-08, 0
362707201, 216.7, 7.36e-07, 5.8e-08, 3.59, 0.16, 1e-08, 0
365299201, 27.97, 2.51e-07, 5.6e-08, 5.07, 0.61, 1e-08, 0
367891201, 544.33, 1.23e-06, 6e-08, 3.87, 0.13, 1e-08, 0
370483201, 320.57, 8.31e-07, 5.65e-08, 4.12, 0.18, 1e-08, 0
373075201, 178.44, 7.37e-07, 6.4e-08, 3.72, 0.18, 1e-08, 0
375667201, 278.36, 9.09e-07, 6.5e-08, 3.76, 0.17, 1e-08, 0
378259201, 428.97, 1.24e-06, 7e-08, 3.6, 0.13, 1e-08, 0
380851201, 345.54, 1.06e-06, 6.9e-08, 3.61, 0.14, 1e-08, 0
383443201, 2853.67, 3.05e-06, 7e-08, 3.58, 0.06, 1e-08, 0
386035201, 857.96, 1.79e-06, 8e-08, 3.77, 0.11, 1e-08, 0
388627201, 899.7, 1.61e-06, 7e-08, 4.09, 0.12, 1e-08, 0
391219201, 294.66, 1.04e-06, 7.2e-08, 4.15, 0.19, 1e-08, 0
393811201, 265.75, 8.57e-07, 6.5e-08, 4.37, 0.22, 1e-08, 0
396403201, 44.6, 3.48e-07, 6e-08, 4.11, 0.34, 1e-08, 0
398995201, 19.25, 2.19e-07, 5.8e-08, 5.19, 0.69, 1e-08, 0
401587201, 169.45, 6.49e-07, 5.9e-08, 4.14, 0.22, 1e-08, 0
404179201, 684.52, 1.4e-06, 6e-08, 3.46, 0.1, 1e-08, 0
406771201, 300.96, 9.5e-07, 6.85e-08, 4.06, 0.18, 1e-08, 0
409363201, 122.14, 7.44e-07, 8e-08, 4.14, 0.29, 1e-08, 0
411955201, 215.21, 6.13e-07, 5.1e-08, 4.44, 0.22, 1e-08, 0
414547201, 36.58, 3.54e-07, 6.8e-08, 4.04, 0.39, 1e-08, 0
417139201, 227.45, 8.19e-07, 6.35e-08, 3.48, 0.16, 1e-08, 0
419731201, 153.59, 6.67e-07, 6.5e-08, 4.2, 0.25, 1e-08, 0
422323201, 68.33, 4.42e-07, 6.3e-08, 4.1, 0.32, 1e-08, 0
424915201, 53.55, 3.92e-07, 6.3e-08, 4.64, 0.38, 1e-08, 0
427507201, 43.17, 3.39e-07, 6e-08, 4.13, 0.35, 1e-08, 0
430099201, 538.68, 1.18e-06, 6e-08, 3.66, 0.12, 1e-08, 0
432691201, 29.19, 3.02e-07, 6.5e-08, 4.43, 0.52, 1e-08, 0
435283201, 49.12, 3.6e-07, 6e-08, 4.05, 0.36, 1e-08, 0
437875201, 44.94, 3.65e-07, 6.3e-08, 3.9, 0.34, 1e-08, 0
440467201, 55.12, 3.81e-07, 6.1e-08, 4.6, 0.39, 1e-08, 0
443059201, 121.02, 6.03e-07, 6.4e-08, 3.65, 0.21, 1e-08, 0
445651201, 52.15, 4.07e-07, 6.5e-08, 3.77, 0.3, 1e-08, 0
448243201, 83.64, 4.47e-07, 5.9e-08, 4.9, 0.34, 1e-08, 0
450835201, 37.43, 3.61e-07, 6.6e-08, 3.48, 0.31, 1e-08, 0
453427201, 30.86, 2.62e-07, 5.5e-08, 4.67, 0.5, 1e-08, 0
456019201, 32.91, 3.35e-07, 6.8e-08, 4.3, 0.49, 1e-08, 0
458611201, 41.09, 3.13e-07, 5.8e-08, 4.56, 0.43, 1e-08, 0
463795201, 32.48, 2.48e-07, 5.1e-08, 5.72, 0.53, 1e-08, 0
466387201, 70.71, 3.91e-07, 5.5e-08, 4.28, 0.33, 1e-08, 0
468979201, 86.6, 5.33e-07, 6.5e-08, 3.52, 0.23, 1e-08, 0
471571201, 203.69, 7.82e-07, 6.4e-08, 3.6, 0.18, 1e-08, 0
474163201, 191.91, 6.73e-07, 5.6e-08, 3.37, 0.15, 1e-08, 0
476755201, 11.71, 1.59e-07, 5.4e-08, 5.12, 0.91, 1e-08, 0
479347201, 114.65, 5.76e-07, 6.4e-08, 3.99, 0.26, 1e-08, 0
481939201, 38.2, 3.35e-07, 6.2e-08, 3.65, 0.33, 1e-08, 0
484531201, 183.29, 7.15e-07, 6.4e-08, 4.43, 0.24, 1e-08, 0
487123201, 106.11, 6.09e-07, 6.9e-08, 3.92, 0.25, 1e-08, 0
489715201, 106.94, 5.54e-07, 6.3e-08, 4.01, 0.27, 1e-08, 0
492307201, 160.19, 6.79e-07, 6.2e-08, 3.69, 0.19, 1e-08, 0
494899201, 186.91, 6.8e-07, 5.9e-08, 4.03, 0.21, 1e-08, 0
497491201, 2345.26, 2.28e-06, 6e-08, 3.45, 0.05, 1e-08, 0
