timestamp, ts, flux_upper_limits, fit_tolerance, fit_convergence
293716801, 0.42, 2.58e-07, 1e-08, 0
339681601, 0.3, 2.3e-07, 1e-08, 0
341496001, 0.0, 2.1e-07, 1e-08, 0
344520001, 0.0, 2.27e-07, 1e-08, 0
357825601, 0.63, 3.01e-07, 1e-08, 102
359640001, 0.7, 3.11e-07, 1e-08, 0
396532801, 0.0, 1.65e-07, 1e-08, 0
415281601, 0.0, 2.71e-07, 1e-08, 0
432820801, 0.09, 2.78e-07, 1e-08, 102
477576001, 0.0, 2.47e-07, 1e-08, 0
516283201, 0.69, 2.91e-07, 1e-08, 102
545313601, 0.14, 1.06e-05, 1e-08, 0
548337601, 0.0, 2.44e-06, 1e-08, 0
550152001, 0.05, 1.14e-06, 1e-08, 0
551361601, 0.36, 3.23e-07, 1e-08, 102
553780801, 0.0, 3.69e-07, 1e-08, 0
567086401, 0.0, 6.68e-06, 1e-08, 0
580392001, 0.94, 3.72e-07, 1e-08, 102
580996801, 0.0, 5.86e-07, 1e-08, 0
584020801, 0.0, 2.5e-07, 1e-08, 102
584625601, 0.21, 3.73e-07, 1e-08, 102
599140801, 0.0, 1.3e-05, 1e-08, 0
599745601, 0.36, 4.21e-06, 1e-08, 0
613656001, 0.0, 3.1e-05, 1e-08, 0
630590401, 0.0, 2.62e-06, 1e-08, 0
631195201, 0.0, 2.73e-06, 1e-08, 0
645105601, 0.21, 4.34e-06, 1e-08, 0
645710401, 0.0, 5.02e-06, 1e-08, 0
660225601, 0.56, 3.17e-07, 1e-08, 0
662040001, 0.77, 3.88e-07, 1e-08, 102
662644801, 0.07, 2.15e-06, 1e-08, 0
691070401, 0.06, 2.14e-06, 1e-08, 0
696513601, 0.0, 1.84e-07, 1e-08, 102
722520001, 0.87, 1.95e-06, 1e-08, 0
723124801, 0.21, 1.32e-06, 1e-08, 102
730382401, 0.73, 2.01e-07, 1e-08, 102
734011201, 0.87, 2.51e-07, 1e-08, 0
740059201, 0.0, 2.88e-06, 1e-08, 102
740664001, 0.0, 2.89e-06, 1e-08, 102
