timestamp, ts, flux, flux_error, photon_index, photon_index_interval, fit_tolerance, fit_convergence
240883201, 1.07, 8.88e-10, 1.24e-09, 1.63, 0, 1e-08, 0
243475201, 7.14, 3.9e-09, 2.59e-09, 1.63, 0, 1e-08, 0
246067201, 2.45, 4.81e-09, 3.78e-09, 1.63, 0, 1e-08, 0
248659201, 38.52, 1.04e-08, 3.72e-09, 1.63, 0, 1e-08, 0
251251201, 14.11, 4.48e-09, 2.43e-09, 1.63, 0, 1e-08, 0
253843201, 31.52, 1.03e-08, 3.79e-09, 1.63, 0, 1e-08, 0
256435201, 7.21, 3.72e-09, 2.63e-09, 1.63, 0, 1e-08, 0
259027201, 20.62, 1e-08, 4.61e-09, 1.63, 0, 1e-08, 0
261619201, 46.01, 8.47e-09, 3.03e-09, 1.63, 0, 1e-08, 0
264211201, 18.42, 6.54e-09, 3.07e-09, 1.63, 0, 1e-08, 0
266803201, 17.02, 6.48e-09, 3.01e-09, 1.63, 0, 1e-08, 0
269395201, 22.2, 7.44e-09, 3.44e-09, 1.63, 0, 1e-08, 0
271987201, 20.98, 7.69e-09, 3.33e-09, 1.63, 0, 1e-08, 0
274579201, 13.21, 3.56e-09, 2.13e-09, 1.63, 0, 1e-08, 0
277171201, 9.08, 3.45e-09, 2.33e-09, 1.63, 0, 1e-08, 0
279763201, 57.31, 1.39e-08, 3.9e-09, 1.63, 0, 1e-08, 0
282355201, 10.43, 2.7e-09, 1.96e-09, 1.63, 0, 1e-08, 0
284947201, 28.35, 4.37e-09, 2.09e-09, 1.63, 0, 1e-08, 0
290131201, 7.9, 4.18e-09, 2.42e-09, 1.63, 0, 1e-08, 0
292723201, 58.23, 1.18e-08, 3.8e-09, 1.63, 0, 1e-08, 0
295315201, 64.77, 1.2e-08, 3.49e-09, 1.63, 0, 1e-08, 0
297907201, 20.55, 7.25e-09, 3.15e-09, 1.63, 0, 1e-08, 0
300499201, 12.78, 8.18e-09, 3.82e-09, 1.63, 0, 1e-08, 0
303091201, 42.13, 1.28e-08, 3.92e-09, 1.63, 0, 1e-08, 0
305683201, 17.87, 4.27e-09, 2.49e-09, 1.63, 0, 1e-08, 0
308275201, 8.16, 4.69e-09, 2.78e-09, 1.63, 0, 1e-08, 0
310867201, 1.98, 2.15e-09, 2.2e-09, 1.63, 0, 1e-08, 0
313459201, 15.97, 3.99e-09, 2.09e-09, 1.63, 0, 1e-08, 0
316051201, 13.93, 4.59e-09, 2.54e-09, 1.63, 0, 1e-08, 0
318643201, 16.22, 3.91e-09, 2.37e-09, 1.63, 0, 1e-08, 0
321235201, 23.5, 7.26e-09, 3.05e-09, 1.63, 0, 1e-08, 0
323827201, 1.15, 1.61e-09, 2.14e-09, 1.63, 0, 1e-08, 0
326419201, 24.93, 7.47e-09, 2.95e-09, 1.63, 0, 1e-08, 0
329011201, 24.61, 6.77e-09, 3.05e-09, 1.63, 0, 1e-08, 0
331603201, 19.37, 5.95e-09, 2.63e-09, 1.63, 0, 1e-08, 0
334195201, 49.71, 9.17e-09, 3.23e-09, 1.63, 0, 1e-08, 0
339379201, 13.55, 4.45e-09, 2.72e-09, 1.63, 0, 1e-08, 0
341971201, 13.36, 5.46e-09, 2.9e-09, 1.63, 0, 1e-08, 0
344563201, 13.16, 3.2e-09, 1.96e-09, 1.63, 0, 1e-08, 0
347155201, 19.94, 5.06e-09, 2.73e-09, 1.63, 0, 1e-08, 0
349747201, 14.59, 3.98e-09, 2.03e-09, 1.63, 0, 1e-08, 0
352339201, 11.37, 3.31e-09, 2.56e-09, 1.63, 0, 1e-08, 0
354931201, 31.5, 9.17e-09, 3.2e-09, 1.63, 0, 1e-08, 0
357523201, 35.35, 8.46e-09, 3.35e-09, 1.63, 0, 1e-08, 0
360115201, 44.64, 9.79e-09, 3.2e-09, 1.63, 0, 1e-08, 0
365299201, 13.32, 7e-09, 3.38e-09, 1.63, 0, 1e-08, 0
367891201, 3.87, 2.92e-09, 2.28e-09, 1.63, 0, 1e-08, 0
370483201, 19.49, 1.08e-08, 4.21e-09, 1.63, 0, 1e-08, 0
373075201, 6.63, 2.55e-09, 1.86e-09, 1.63, 0, 1e-08, 0
378259201, 11.45, 5.38e-09, 2.76e-09, 1.63, 0, 1e-08, 0
380851201, 22.97, 7.06e-09, 2.93e-09, 1.63, 0, 1e-08, 0
383443201, 16.22, 7.18e-09, 3.13e-09, 1.63, 0, 1e-08, 0
386035201, 7.69, 2.93e-09, 1.9e-09, 1.63, 0, 1e-08, 0
388627201, 14.95, 4.94e-09, 2.7e-09, 1.63, 0, 1e-08, 0
391219201, 36.83, 8.04e-09, 3.05e-09, 1.63, 0, 1e-08, 0
393811201, 15.73, 6.36e-09, 3.19e-09, 1.63, 0, 1e-08, 0
396403201, 18.41, 6.92e-09, 3.15e-09, 1.63, 0, 1e-08, 0
398995201, 8.16, 3.85e-09, 2.58e-09, 1.63, 0, 1e-08, 0
401587201, 39.5, 9.52e-09, 3.3e-09, 1.63, 0, 1e-08, 0
404179201, 2.89, 1.71e-09, 1.6e-09, 1.63, 0, 1e-08, 0
406771201, 20.35, 7.86e-09, 3.33e-09, 1.63, 0, 1e-08, 0
409363201, 19.55, 6.41e-09, 2.5e-09, 1.63, 0, 1e-08, 0
411955201, 6.16, 6.63e-09, 4.29e-09, 1.63, 0, 1e-08, 0
414547201, 28.93, 9.62e-09, 3.46e-09, 1.63, 0, 1e-08, 0
417139201, 45.54, 1.21e-08, 4.08e-09, 1.63, 0, 1e-08, 0
419731201, 10.41, 2.92e-09, 1.86e-09, 1.63, 0, 1e-08, 0
422323201, 33.42, 1.04e-08, 3.39e-09, 1.63, 0, 1e-08, 0
424915201, 18.02, 7.3e-09, 3.11e-09, 1.63, 0, 1e-08, 0
427507201, 14.31, 6.19e-09, 3.15e-09, 1.63, 0, 1e-08, 0
430099201, 12.64, 6.38e-09, 3.63e-09, 1.63, 0, 1e-08, 0
435283201, 26.65, 4.2e-09, 2.42e-09, 1.63, 0, 1e-08, 0
437875201, 7.74, 3.01e-09, 2.18e-09, 1.63, 0, 1e-08, 0
440467201, 1.19, 1.8e-09, 2e-09, 1.63, 0, 1e-08, 0
443059201, 4.65, 5.02e-09, 3.06e-09, 1.63, 0, 1e-08, 0
448243201, 4.0, 2.19e-09, 1.92e-09, 1.63, 0, 1e-08, 0
450835201, 36.0, 7.67e-09, 2.92e-09, 1.63, 0, 1e-08, 0
456019201, 17.64, 5.69e-09, 2.64e-09, 1.63, 0, 1e-08, 0
458611201, 1.07, 2.85e-09, 3.15e-09, 1.63, 0, 1e-08, 0
461203201, 28.82, 7.46e-09, 3.04e-09, 1.63, 0, 1e-08, 0
466387201, 1.31, 2.66e-09, 2.88e-09, 1.63, 0, 1e-08, 0
468979201, 1.31, 2.14e-09, 2.31e-09, 1.63, 0, 1e-08, 0
474163201, 2.48, 2.01e-09, 2.02e-09, 1.63, 0, 1e-08, 0
476755201, 5.02, 4.2e-09, 2.99e-09, 1.63, 0, 1e-08, 0
479347201, 6.82, 3.42e-09, 2.39e-09, 1.63, 0, 1e-08, 0
481939201, 2.16, 2.23e-09, 2.07e-09, 1.63, 0, 1e-08, 0
484531201, 1.77, 1.17e-09, 1.39e-09, 1.63, 0, 1e-08, 0
487123201, 10.23, 3.48e-09, 2.12e-09, 1.63, 0, 1e-08, 0
494899201, 28.78, 9.05e-09, 3.46e-09, 1.63, 0, 1e-08, 0
497491201, 18.79, 6.53e-09, 3.17e-09, 1.63, 0, 1e-08, 0
500083201, 6.8, 4e-09, 2.52e-09, 1.63, 0, 1e-08, 0
502675201, 5.6, 3.69e-09, 2.73e-09, 1.63, 0, 1e-08, 0
505267201, 9.66, 5.39e-09, 2.98e-09, 1.63, 0, 1e-08, 0
507859201, 19.01, 6.74e-09, 3.26e-09, 1.63, 0, 1e-08, 0
510451201, 24.14, 1.08e-08, 3.59e-09, 1.63, 0, 1e-08, 0
513043201, 6.23, 1.88e-09, 1.76e-09, 1.63, 0, 1e-08, 0
515635201, 11.49, 4.56e-09, 2.56e-09, 1.63, 0, 1e-08, 0
518227201, 25.78, 1.08e-08, 3.71e-09, 1.63, 0, 1e-08, 0
520819201, 7.94, 4.25e-09, 2.54e-09, 1.63, 0, 1e-08, 0
523411201, 49.57, 1.02e-08, 3.38e-09, 1.63, 0, 1e-08, 0
526003201, 31.3, 1.14e-08, 4.22e-09, 1.63, 0, 1e-08, 0
528595201, 21.63, 6.13e-09, 2.75e-09, 1.63, 0, 1e-08, 0
531187201, 11.39, 6.12e-09, 3.23e-09, 1.63, 0, 1e-08, 0
533779201, 9.45, 3.58e-09, 2.02e-09, 1.63, 0, 1e-08, 0
536371201, 24.28, 7.5e-09, 3.18e-09, 1.63, 0, 1e-08, 0
538963201, 17.72, 5.8e-09, 2.63e-09, 1.63, 0, 1e-08, 0
541555201, 47.3, 9.61e-09, 3.39e-09, 1.63, 0, 1e-08, 0
544147201, 11.82, 9.99e-09, 5.09e-09, 1.63, 0, 1e-08, 0
546739201, 95.81, 1.25e-08, 3.22e-09, 1.63, 0, 1e-08, 0
549331201, 75.53, 1.02e-08, 2.68e-09, 1.63, 0, 1e-08, 0
551923201, 121.93, 1.71e-08, 3.3e-09, 1.63, 0, 1e-08, 0
554515201, 12.85, 5.14e-09, 2.85e-09, 1.63, 0, 1e-08, 0
557107201, 4.72, 2.2e-09, 1.81e-09, 1.63, 0, 1e-08, 0
559699201, 35.14, 1.44e-08, 5.4e-09, 1.63, 0, 1e-08, 0
562291201, 77.79, 1.01e-08, 2.78e-09, 1.63, 0, 1e-08, 0
564883201, 66.88, 1.24e-08, 3.78e-09, 1.63, 0, 1e-08, 0
567475201, 16.61, 6.62e-09, 3.06e-09, 1.63, 0, 1e-08, 0
570067201, 16.97, 7.37e-09, 3.03e-09, 1.63, 0, 1e-08, 0
572659201, 29.1, 7.48e-09, 3.11e-09, 1.63, 0, 1e-08, 0
575251201, 1.71, 3.3e-09, 2.94e-09, 1.63, 0, 1e-08, 0
577843201, 19.08, 4.43e-09, 2.1e-09, 1.63, 0, 1e-08, 0
580435201, 32.93, 1.12e-08, 3.48e-09, 1.63, 0, 1e-08, 0
583027201, 83.9, 1.43e-08, 3.5e-09, 1.63, 0, 1e-08, 0
585619201, 40.59, 1.2e-08, 3.32e-09, 1.63, 0, 1e-08, 0
588211201, 27.96, 7.08e-09, 2.9e-09, 1.63, 0, 1e-08, 0
590803201, 111.24, 2.46e-08, 5e-09, 1.63, 0, 1e-08, 0
593395201, 79.51, 1.83e-08, 4.35e-09, 1.63, 0, 1e-08, 0
595987201, 46.21, 1e-08, 3.07e-09, 1.63, 0, 1e-08, 0
598579201, 36.08, 9.5e-09, 3.2e-09, 1.63, 0, 1e-08, 0
601171201, 40.02, 1.06e-08, 3.32e-09, 1.63, 0, 1e-08, 0
603763201, 117.92, 1.98e-08, 4.2e-09, 1.63, 0, 1e-08, 0
606355201, 61.66, 1.25e-08, 3.32e-09, 1.63, 0, 1e-08, 0
608947201, 127.58, 2.38e-08, 4.7e-09, 1.63, 0, 1e-08, 0
611539201, 63.89, 1.31e-08, 3.38e-09, 1.63, 0, 1e-08, 0
614131201, 77.37, 1.72e-08, 3.9e-09, 1.63, 0, 1e-08, 0
