timestamp, ts, flux_upper_limits, fit_tolerance, fit_convergence
240753601, 0.0, 4.6e-08, 1e-08, 0
241012801, 0.55, 7.48e-08, 1e-08, 0
241272001, 0.0, 5.86e-08, 1e-08, 0
242568001, 0.0, 4.05e-08, 1e-08, 102
244123201, 0.0, 5.07e-08, 1e-08, 1
244900801, 0.0, 3.85e-08, 1e-08, 0
245937601, 0.0, 5.59e-08, 1e-08, 0
246196801, 0.0, 6.35e-08, 1e-08, 102
246456001, 0.82, 7.18e-08, 1e-08, 0
248270401, 0.21, 6.09e-08, 1e-08, 0
248788801, 0.47, 6.36e-08, 1e-08, 0
250084801, 0.08, 5.63e-08, 1e-08, 0
250603201, 0.77, 6.32e-08, 1e-08, 0
251121601, 0.0, 4.85e-08, 1e-08, 102
251380801, 0.16, 5.8e-08, 1e-08, 102
252158401, 0.0, 2.83e-08, 1e-08, 0
253195201, 0.87, 5.27e-08, 1e-08, 0
253972801, 0.0, 4.57e-08, 1e-08, 0
254750401, 0.0, 6.02e-08, 1e-08, 1
255268801, 0.47, 1.27e-07, 1e-08, 0
255528001, 0.45, 5.94e-08, 1e-08, 0
255787201, 0.57, 6.42e-08, 1e-08, 0
256564801, 0.46, 5.31e-08, 1e-08, 0
256824001, 0.05, 5.47e-08, 1e-08, 0
257083201, 0.0, 3.61e-08, 1e-08, 102
257342401, 0.7, 4.28e-08, 1e-08, 102
257860801, 0.0, 4.62e-08, 1e-08, 0
258120001, 0.0, 2.75e-08, 1e-08, 0
258897601, 0.0, 5.29e-08, 1e-08, 102
259675201, 0.0, 3.46e-08, 1e-08, 0
260193601, 0.0, 4.57e-08, 1e-08, 0
260452801, 0.0, 4.58e-08, 1e-08, 102
260712001, 0.0, 3.02e-08, 1e-08, 0
260971201, 0.02, 5.81e-08, 1e-08, 0
261230401, 0.0, 3.62e-08, 1e-08, 0
261748801, 0.01, 5.44e-08, 1e-08, 102
262008001, 0.0, 4.18e-08, 1e-08, 0
264859201, 0.78, 5.09e-08, 1e-08, 0
265118401, 0.19, 6.38e-08, 1e-08, 0
265636801, 0.14, 4.43e-08, 1e-08, 0
266155201, 0.33, 5.85e-08, 1e-08, 0
267710401, 0.0, 4.24e-08, 1e-08, 102
268488001, 0.2, 6.54e-08, 1e-08, 0
270043201, 0.25, 6.35e-08, 1e-08, 0
270820801, 0.42, 4.36e-08, 1e-08, 0
273412801, 0.66, 5.75e-08, 1e-08, 0
273931201, 0.72, 5.84e-08, 1e-08, 0
274190401, 0.0, 4.5e-08, 1e-08, 0
275227201, 0.8, 6.39e-08, 1e-08, 0
276004801, 0.3, 6.18e-08, 1e-08, 0
276523201, 0.04, 4.8e-08, 1e-08, 102
277041601, 0.0, 4.52e-08, 1e-08, 102
277300801, 0.0, 4.04e-08, 1e-08, 0
277819201, 0.0, 4.13e-08, 1e-08, 0
278337601, 0.0, 5.23e-08, 1e-08, 0
280152001, 0.86, 6.32e-08, 1e-08, 0
280670401, 0.0, 5.09e-08, 1e-08, 0
282484801, 0.0, 4.47e-08, 1e-08, 0
283262401, 0.41, 5.68e-08, 1e-08, 0
285076801, 0.01, 5.19e-08, 1e-08, 0
285595201, 0.79, 5.58e-08, 1e-08, 0
286632001, 0.24, 5.53e-08, 1e-08, 0
290260801, 0.57, 5.95e-08, 1e-08, 0
291297601, 0.0, 4.1e-08, 1e-08, 102
291816001, 0.0, 3.25e-08, 1e-08, 0
292852801, 0.0, 4.56e-08, 1e-08, 102
293371201, 0.0, 3.92e-08, 1e-08, 102
294148801, 0.03, 6.43e-08, 1e-08, 0
295185601, 0.0, 5.93e-08, 1e-08, 102
295444801, 0.02, 5.17e-08, 1e-08, 0
297777601, 0.0, 5.42e-08, 1e-08, 0
301406401, 0.13, 6.49e-08, 1e-08, 0
302184001, 0.0, 3.53e-08, 1e-08, 0
304257601, 0.36, 5.11e-08, 1e-08, 0
304516801, 0.0, 4.4e-08, 1e-08, 0
306590401, 0.0, 4.55e-08, 1e-08, 102
307368001, 0.0, 3.24e-08, 1e-08, 0
307627201, 0.31, 4.22e-08, 1e-08, 102
307886401, 0.16, 6.29e-08, 1e-08, 0
