timestamp, ts, flux_upper_limits, fit_tolerance, fit_convergence
240883201, 0.0, 1.54e-08, 1e-08, 102
248659201, 0.03, 2.01e-08, 1e-08, 0
251251201, 0.59, 2.13e-08, 1e-08, 0
256435201, 0.0, 1.58e-08, 1e-08, 102
259027201, 0.0, 2.1e-08, 1e-08, 0
261619201, 0.06, 2.36e-08, 1e-08, 0
264211201, 0.0, 1.48e-08, 1e-08, 102
266803201, 0.08, 2.38e-08, 1e-08, 102
269395201, 0.0, 1.26e-08, 1e-08, 102
271987201, 0.0, 1.39e-08, 1e-08, 102
274579201, 0.05, 1.97e-08, 1e-08, 0
277171201, 0.03, 2.15e-08, 1e-08, 0
279763201, 0.51, 2.45e-08, 1e-08, 0
282355201, 0.0, 1.25e-08, 1e-08, 1
287539201, 0.0, 1.48e-08, 1e-08, 102
295315201, 0.0, 1.61e-08, 1e-08, 102
300499201, 0.0, 1.61e-08, 1e-08, 102
303091201, 0.0, 1.49e-08, 1e-08, 102
305683201, 0.12, 2.28e-08, 1e-08, 0
308275201, 0.3, 1.76e-08, 1e-08, 0
313459201, 0.0, 1.4e-08, 1e-08, 0
321235201, 0.0, 1.5e-08, 1e-08, 102
326419201, 0.0, 1.77e-08, 1e-08, 0
329011201, 0.01, 1.65e-08, 1e-08, 1
334195201, 0.0, 2.05e-08, 1e-08, 102
339379201, 0.0, 2.05e-08, 1e-08, 102
341971201, 0.42, 2.42e-08, 1e-08, 0
360115201, 0.0, 2.22e-08, 1e-08, 102
362707201, 0.0, 1.81e-08, 1e-08, 102
365299201, 0.46, 2.37e-08, 1e-08, 0
370483201, 0.0, 9.72e-09, 1e-08, 0
373075201, 0.66, 2.29e-08, 1e-08, 0
378259201, 0.87, 1.95e-08, 1e-08, 0
380851201, 0.0, 1.5e-08, 1e-08, 102
386035201, 0.63, 2.51e-08, 1e-08, 0
391219201, 0.0, 1.62e-08, 1e-08, 102
396403201, 0.0, 1.41e-08, 1e-08, 102
398995201, 0.0, 2.11e-08, 1e-08, 102
401587201, 0.0, 1.29e-08, 1e-08, 102
404179201, 0.0, 1.73e-08, 1e-08, 102
417139201, 0.0, 1.86e-08, 1e-08, 0
422323201, 0.2, 2.49e-08, 1e-08, 0
424915201, 0.49, 2.2e-08, 1e-08, 0
427507201, 0.0, 1.61e-08, 1e-08, 102
430099201, 0.0, 1.59e-08, 1e-08, 102
432691201, 0.0, 1.12e-08, 1e-08, 102
435283201, 0.9, 2.89e-08, 1e-08, 0
440467201, 0.0, 2.01e-08, 1e-08, 102
448243201, 0.15, 2.12e-08, 1e-08, 102
453427201, 0.87, 2.59e-08, 1e-08, 0
463795201, 0.84, 2.27e-08, 1e-08, 0
471571201, 0.0, 1.3e-08, 1e-08, 0
474163201, 0.11, 2.09e-08, 1e-08, 0
481939201, 0.0, 1.66e-08, 1e-08, 102
484531201, 0.0, 1.79e-08, 1e-08, 102
487123201, 0.63, 2.32e-08, 1e-08, 0
492307201, 0.72, 2.42e-08, 1e-08, 0
497491201, 0.0, 1.4e-08, 1e-08, 102
500083201, 0.16, 2.33e-08, 1e-08, 0
505267201, 0.83, 2.29e-08, 1e-08, 0
507859201, 0.73, 2.88e-08, 1e-08, 0
513043201, 0.06, 2.18e-08, 1e-08, 0
515635201, 0.27, 2.66e-08, 1e-08, 0
518227201, 0.0, 1.47e-08, 1e-08, 102
520819201, 0.0, 1.97e-08, 1e-08, 102
523411201, 0.0, 1.84e-08, 1e-08, 102
526003201, 0.0, 1.8e-08, 1e-08, 1
528595201, 0.34, 2.23e-08, 1e-08, 0
541555201, 0.0, 1.11e-08, 1e-08, 102
544147201, 0.0, 3.46e-07, 1e-08, 102
551923201, 0.59, 3e-08, 1e-08, 0
557107201, 0.0, 2.15e-08, 1e-08, 0
562291201, 0.0, 1.95e-08, 1e-08, 102
564883201, 0.15, 1.77e-08, 1e-08, 102
570067201, 0.72, 2.23e-08, 1e-08, 0
